indicator,level,label,threshold,band_at_or_above,reference_seasons,values_per_season,n_pooled,geometric_mean,log_sd,use_t,fitted_through,underpowered
Allston/Brighton,0.5,IT50,43.17201700312734,moderate,2022-23 2023-24 2024-25,10,30,43.17201700312734,0.39204145123646034,True,2025-05-31,False
Allston/Brighton,0.9,IT90,72.80812661818143,high,2022-23 2023-24 2024-25,10,30,43.17201700312734,0.39204145123646034,True,2025-05-31,False
Allston/Brighton,0.98,IT98,101.71188922331822,very high,2022-23 2023-24 2024-25,10,30,43.17201700312734,0.39204145123646034,True,2025-05-31,False
Back Bay/Beacon Hill/Downtown/North End/West End,0.5,IT50,32.35361456388361,moderate,2022-23 2023-24 2024-25,10,30,32.35361456388361,0.41621256535112733,True,2025-05-31,False
Back Bay/Beacon Hill/Downtown/North End/West End,0.9,IT90,56.35007606954225,high,2022-23 2023-24 2024-25,10,30,32.35361456388361,0.41621256535112733,True,2025-05-31,False
Back Bay/Beacon Hill/Downtown/North End/West End,0.98,IT98,80.35966190257739,very high,2022-23 2023-24 2024-25,10,30,32.35361456388361,0.41621256535112733,True,2025-05-31,False
Charlestown,0.5,IT50,44.544403832795176,moderate,2022-23 2023-24 2024-25,10,30,44.544403832795176,0.39590314365328205,True,2025-05-31,False
Charlestown,0.9,IT90,75.51034339625782,high,2022-23 2023-24 2024-25,10,30,44.544403832795176,0.39590314365328205,True,2025-05-31,False
Charlestown,0.98,IT98,105.83479691598406,very high,2022-23 2023-24 2024-25,10,30,44.544403832795176,0.39590314365328205,True,2025-05-31,False
Dorchester,0.5,IT50,157.0086457734027,moderate,2022-23 2023-24 2024-25,10,30,157.0086457734027,0.3905465426659869,True,2025-05-31,False
Dorchester,0.9,IT90,264.26252974322875,high,2022-23 2023-24 2024-25,10,30,157.0086457734027,0.3905465426659869,True,2025-05-31,False
Dorchester,0.98,IT98,368.7005757586777,very high,2022-23 2023-24 2024-25,10,30,157.0086457734027,0.3905465426659869,True,2025-05-31,False
East Boston,0.5,IT50,32.38969817502224,moderate,2022-23 2023-24 2024-25,10,30,32.38969817502224,0.4237450928800795,True,2025-05-31,False
East Boston,0.9,IT90,56.982258100156095,high,2022-23 2023-24 2024-25,10,30,32.38969817502224,0.4237450928800795,True,2025-05-31,False
East Boston,0.98,IT98,81.78485877953806,very high,2022-23 2023-24 2024-25,10,30,32.38969817502224,0.4237450928800795,True,2025-05-31,False
Fenway,0.5,IT50,19.789042860168028,moderate,2022-23 2023-24 2024-25,10,30,19.789042860168028,0.3538739378535531,True,2025-05-31,False
Fenway,0.9,IT90,31.717921949528318,high,2022-23 2023-24 2024-25,10,30,19.789042860168028,0.3538739378535531,True,2025-05-31,False
Fenway,0.98,IT98,42.89052071415166,very high,2022-23 2023-24 2024-25,10,30,19.789042860168028,0.3538739378535531,True,2025-05-31,False
Hyde Park,0.5,IT50,59.73762940735334,moderate,2022-23 2023-24 2024-25,10,30,59.73762940735334,0.37666717866551325,True,2025-05-31,False
Hyde Park,0.9,IT90,98.70163927662223,high,2022-23 2023-24 2024-25,10,30,59.73762940735334,0.37666717866551325,True,2025-05-31,False
Hyde Park,0.98,IT98,136.08880333365826,very high,2022-23 2023-24 2024-25,10,30,59.73762940735334,0.37666717866551325,True,2025-05-31,False
Jamaica Plain,0.5,IT50,30.1329000930458,moderate,2022-23 2023-24 2024-25,10,30,30.1329000930458,0.36369446576848746,True,2025-05-31,False
Jamaica Plain,0.9,IT90,48.93353508945714,high,2022-23 2023-24 2024-25,10,30,30.1329000930458,0.36369446576848746,True,2025-05-31,False
Jamaica Plain,0.98,IT98,66.72678487426273,very high,2022-23 2023-24 2024-25,10,30,30.1329000930458,0.36369446576848746,True,2025-05-31,False
Mattapan,0.5,IT50,75.36060630157071,moderate,2022-23 2023-24 2024-25,10,30,75.36060630157071,0.31328900091066403,True,2025-05-31,False
Mattapan,0.9,IT90,114.4266389550119,high,2022-23 2023-24 2024-25,10,30,75.36060630157071,0.31328900091066403,True,2025-05-31,False
Mattapan,0.98,IT98,149.46970387636378,very high,2022-23 2023-24 2024-25,10,30,75.36060630157071,0.31328900091066403,True,2025-05-31,False
Roslindale,0.5,IT50,83.12526323754497,moderate,2022-23 2023-24 2024-25,10,30,83.12526323754497,0.3562442401434647,True,2025-05-31,False
Roslindale,0.9,IT90,133.65502394030972,high,2022-23 2023-24 2024-25,10,30,83.12526323754497,0.3562442401434647,True,2025-05-31,False
Roslindale,0.98,IT98,181.10052866383202,very high,2022-23 2023-24 2024-25,10,30,83.12526323754497,0.3562442401434647,True,2025-05-31,False
Roxbury,0.5,IT50,138.88545502174753,moderate,2022-23 2023-24 2024-25,10,30,138.88545502174753,0.38471275081014816,True,2025-05-31,False
Roxbury,0.9,IT90,231.9483227351807,high,2022-23 2023-24 2024-25,10,30,138.88545502174753,0.38471275081014816,True,2025-05-31,False
Roxbury,0.98,IT98,322.0096816211373,very high,2022-23 2023-24 2024-25,10,30,138.88545502174753,0.38471275081014816,True,2025-05-31,False
South Boston,0.5,IT50,31.63670795756643,moderate,2022-23 2023-24 2024-25,10,30,31.63670795756643,0.4824690725488961,True,2025-05-31,False
South Boston,0.9,IT90,60.18982141922808,high,2022-23 2023-24 2024-25,10,30,31.63670795756643,0.4824690725488961,True,2025-05-31,False
South Boston,0.98,IT98,90.82483767314203,very high,2022-23 2023-24 2024-25,10,30,31.63670795756643,0.4824690725488961,True,2025-05-31,False
South End,0.5,IT50,82.00792145914704,moderate,2022-23 2023-24 2024-25,10,30,82.00792145914704,0.36834327583587806,True,2025-05-31,False
South End,0.9,IT90,134.00251631923587,high,2022-23 2023-24 2024-25,10,30,82.00792145914704,0.36834327583587806,True,2025-05-31,False
South End,0.98,IT98,183.45444562568642,very high,2022-23 2023-24 2024-25,10,30,82.00792145914704,0.36834327583587806,True,2025-05-31,False
