model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error
arima,post_covid,4,Allston/Brighton,2024-25,0.5,IT50,43.17201700312734,9,,,,,,2025-06-15,2025-06-22,1.0,5.7,14.910774959869393,9.210774959869394
arima,post_covid,4,Allston/Brighton,2024-25,0.9,IT90,72.80812661818143,9,,,,,,2025-06-15,2025-06-22,1.0,5.7,14.910774959869393,9.210774959869394
arima,post_covid,4,Allston/Brighton,2024-25,0.98,IT98,101.71188922331822,9,,,,,,2025-06-15,2025-06-22,1.0,5.7,14.910774959869393,9.210774959869394
arima,post_covid,4,Allston/Brighton,2025-26,0.5,IT50,43.17201700312734,40,2025-12-14,2026-01-18,5.0,-5.0,2026-01-18,2025-12-21,2026-02-01,6.0,80.6,46.80387092139499,-33.796129078605006
arima,post_covid,4,Allston/Brighton,2025-26,0.9,IT90,72.80812661818143,40,2025-12-21,,,,,2025-12-21,2026-02-01,6.0,80.6,46.80387092139499,-33.796129078605006
arima,post_covid,4,Allston/Brighton,2025-26,0.98,IT98,101.71188922331822,40,,,,,,2025-12-21,2026-02-01,6.0,80.6,46.80387092139499,-33.796129078605006
arima,post_covid,4,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.5,IT50,32.35361456388361,8,,,,,,2025-06-08,2025-06-15,1.0,3.4,10.977458134646264,7.577458134646264
arima,post_covid,4,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.9,IT90,56.35007606954225,8,,,,,,2025-06-08,2025-06-15,1.0,3.4,10.977458134646264,7.577458134646264
arima,post_covid,4,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.98,IT98,80.35966190257739,8,,,,,,2025-06-08,2025-06-15,1.0,3.4,10.977458134646264,7.577458134646264
arima,post_covid,4,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.5,IT50,32.35361456388361,38,2025-12-21,2026-01-18,4.0,-4.0,2026-01-18,2025-12-21,2026-01-18,4.0,58.1,32.40145783747034,-25.698542162529662
arima,post_covid,4,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.9,IT90,56.35007606954225,38,2025-12-21,,,,,2025-12-21,2026-01-18,4.0,58.1,32.40145783747034,-25.698542162529662
arima,post_covid,4,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.98,IT98,80.35966190257739,38,,,,,,2025-12-21,2026-01-18,4.0,58.1,32.40145783747034,-25.698542162529662
arima,post_covid,4,Charlestown,2024-25,0.5,IT50,44.544403832795176,3,,,,,,2025-06-01,2025-06-01,0.0,10.3,18.40665186541492,8.106651865414918
arima,post_covid,4,Charlestown,2024-25,0.9,IT90,75.51034339625782,3,,,,,,2025-06-01,2025-06-01,0.0,10.3,18.40665186541492,8.106651865414918
arima,post_covid,4,Charlestown,2024-25,0.98,IT98,105.83479691598406,3,,,,,,2025-06-01,2025-06-01,0.0,10.3,18.40665186541492,8.106651865414918
arima,post_covid,4,Charlestown,2025-26,0.5,IT50,44.544403832795176,32,2025-12-14,2026-01-18,5.0,-5.0,2026-01-18,2025-12-14,2026-01-25,6.0,92.8,45.8242785528728,-46.9757214471272
arima,post_covid,4,Charlestown,2025-26,0.9,IT90,75.51034339625782,32,2025-12-14,,,,,2025-12-14,2026-01-25,6.0,92.8,45.8242785528728,-46.9757214471272
arima,post_covid,4,Charlestown,2025-26,0.98,IT98,105.83479691598406,32,,,,,,2025-12-14,2026-01-25,6.0,92.8,45.8242785528728,-46.9757214471272
arima,post_covid,4,Dorchester,2024-25,0.5,IT50,157.0086457734027,9,,,,,,2025-06-01,2025-06-29,4.0,24.3,53.42647298495742,29.12647298495742
arima,post_covid,4,Dorchester,2024-25,0.9,IT90,264.26252974322875,9,,,,,,2025-06-01,2025-06-29,4.0,24.3,53.42647298495742,29.12647298495742
arima,post_covid,4,Dorchester,2024-25,0.98,IT98,368.7005757586777,9,,,,,,2025-06-01,2025-06-29,4.0,24.3,53.42647298495742,29.12647298495742
arima,post_covid,4,Dorchester,2025-26,0.5,IT50,157.0086457734027,40,2025-12-14,2026-01-11,4.0,-4.0,2026-01-11,2025-12-21,2026-01-18,4.0,256.15,214.0770154676447,-42.072984532355264
arima,post_covid,4,Dorchester,2025-26,0.9,IT90,264.26252974322875,40,,,,,,2025-12-21,2026-01-18,4.0,256.15,214.0770154676447,-42.072984532355264
arima,post_covid,4,Dorchester,2025-26,0.98,IT98,368.7005757586777,40,,,,,,2025-12-21,2026-01-18,4.0,256.15,214.0770154676447,-42.072984532355264
arima,post_covid,4,East Boston,2024-25,0.5,IT50,32.38969817502224,6,,,,,,2025-06-15,2025-06-01,-2.0,3.1,11.666812584538288,8.566812584538289
arima,post_covid,4,East Boston,2024-25,0.9,IT90,56.982258100156095,6,,,,,,2025-06-15,2025-06-01,-2.0,3.1,11.666812584538288,8.566812584538289
arima,post_covid,4,East Boston,2024-25,0.98,IT98,81.78485877953806,6,,,,,,2025-06-15,2025-06-01,-2.0,3.1,11.666812584538288,8.566812584538289
arima,post_covid,4,East Boston,2025-26,0.5,IT50,32.38969817502224,38,2025-12-14,,,,,2025-12-28,2026-01-25,4.0,59.3,31.76115216367893,-27.538847836321068
arima,post_covid,4,East Boston,2025-26,0.9,IT90,56.982258100156095,38,2025-12-28,,,,,2025-12-28,2026-01-25,4.0,59.3,31.76115216367893,-27.538847836321068
arima,post_covid,4,East Boston,2025-26,0.98,IT98,81.78485877953806,38,,,,,,2025-12-28,2026-01-25,4.0,59.3,31.76115216367893,-27.538847836321068
arima,post_covid,4,Fenway,2024-25,0.5,IT50,19.789042860168028,7,,,,,,2025-06-01,2025-06-29,4.0,5.3,8.143352460849162,2.843352460849162
arima,post_covid,4,Fenway,2024-25,0.9,IT90,31.717921949528318,7,,,,,,2025-06-01,2025-06-29,4.0,5.3,8.143352460849162,2.843352460849162
arima,post_covid,4,Fenway,2024-25,0.98,IT98,42.89052071415166,7,,,,,,2025-06-01,2025-06-29,4.0,5.3,8.143352460849162,2.843352460849162
arima,post_covid,4,Fenway,2025-26,0.5,IT50,19.789042860168028,36,2025-12-14,,,,,2026-01-04,2026-02-01,4.0,21.1,12.135391464794788,-8.964608535205214
arima,post_covid,4,Fenway,2025-26,0.9,IT90,31.717921949528318,36,,,,,,2026-01-04,2026-02-01,4.0,21.1,12.135391464794788,-8.964608535205214
arima,post_covid,4,Fenway,2025-26,0.98,IT98,42.89052071415166,36,,,,,,2026-01-04,2026-02-01,4.0,21.1,12.135391464794788,-8.964608535205214
