model,neighborhood,peak_week_actual,peak_week_pred,peak_weeks_late,peak_actual,peak_pred
gnn_st,Allston/Brighton,2025-12-21,2026-01-11,3.0,80.60000610351562,52.8249397277832
gnn_st,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-18,4.0,58.09999465942383,38.62284851074219
gnn_st,Charlestown,2025-12-14,2026-01-11,4.0,92.8000030517578,62.86554336547851
gnn_st,Dorchester,2025-12-21,2026-01-11,3.0,256.1499938964844,195.67507934570312
gnn_st,East Boston,2025-12-28,2026-01-11,2.0,59.29999923706055,37.727413177490234
gnn_st,Fenway,2026-01-04,2026-01-11,1.0,21.100000381469727,21.624666213989254
gnn_st,Hyde Park,2025-12-21,2026-01-11,3.0,94.5999984741211,71.48394775390625
gnn_st,Jamaica Plain,2025-12-21,2026-01-18,4.0,61.10000228881836,35.115238189697266
gnn_st,Mattapan,2025-12-28,2026-01-11,2.0,110.3000030517578,77.70215606689453
gnn_st,Roslindale,2025-12-28,2026-01-11,2.0,170.10000610351562,92.63150024414062
gnn_st,Roxbury,2025-12-21,2026-01-11,3.0,254.70001220703125,165.78102111816406
gnn_st,South Boston,2025-12-28,2026-01-11,2.0,57.0,41.97239303588867
gnn_st,South End,2025-12-14,2026-01-11,4.0,132.3000030517578,116.3851089477539
gnn_st,West Roxbury,2025-12-21,2026-01-18,4.0,88.0,45.49833679199219
gnn_st + de-lag,Allston/Brighton,2025-12-21,2026-01-11,3.0,80.60000610351562,48.067331314086914
gnn_st + de-lag,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-11,3.0,58.09999465942383,32.89338493347168
gnn_st + de-lag,Charlestown,2025-12-14,2026-01-11,4.0,92.8000030517578,51.121316909790025
gnn_st + de-lag,Dorchester,2025-12-21,2026-01-11,3.0,256.1499938964844,173.69731903076172
gnn_st + de-lag,East Boston,2025-12-28,2026-01-11,2.0,59.29999923706055,31.470088958740234
gnn_st + de-lag,Fenway,2026-01-04,2026-01-11,1.0,21.100000381469727,19.545728683471673
gnn_st + de-lag,Hyde Park,2025-12-21,2026-01-11,3.0,94.5999984741211,64.95548248291016
gnn_st + de-lag,Jamaica Plain,2025-12-21,2026-01-11,3.0,61.10000228881836,31.003673553466797
gnn_st + de-lag,Mattapan,2025-12-28,2026-01-11,2.0,110.3000030517578,70.96601104736328
gnn_st + de-lag,Roslindale,2025-12-28,2026-01-11,2.0,170.10000610351562,82.00098419189453
gnn_st + de-lag,Roxbury,2025-12-21,2026-01-11,3.0,254.70001220703125,148.70535278320312
gnn_st + de-lag,South Boston,2025-12-28,2026-01-11,2.0,57.0,35.782142639160156
gnn_st + de-lag,South End,2025-12-14,2026-01-11,4.0,132.3000030517578,105.24100875854492
gnn_st + de-lag,West Roxbury,2025-12-21,2026-01-11,3.0,88.0,34.22567558288574
