model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
dualtopo_no_bg,post_covid,overall,neighborhood,Allston/Brighton,4,49,18.199773618363373,193.4560108357029,12.953634320473185,0.5304308025480176,49.0,-0.005331147480260423,0.7207313582876085,0.011732150404851649,89.79591836734694
dualtopo_no_bg,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,46,12.357470283219973,191.03634120031728,8.437163581018863,0.5791099625655297,46.0,0.014050426424417672,0.7596277057835034,0.01497977997651023,93.47826086956522
dualtopo_no_bg,post_covid,overall,neighborhood,Charlestown,4,35,21.848893077068837,119.69916868250874,14.039171954563686,0.33214083588162047,35.0,0.00796177717915425,0.48209643687906134,0.00842026370738058,88.57142857142857
dualtopo_no_bg,post_covid,overall,neighborhood,Dorchester,4,49,56.48937943928355,254.87973744834895,43.32593341749541,0.5787556341684014,49.0,-0.06938903847018874,0.8136942271583208,0.014693270953753891,57.14285714285714
dualtopo_no_bg,post_covid,overall,neighborhood,East Boston,4,44,12.92120488450767,212.7905511804442,9.404675527052445,0.4717737551115999,44.0,0.0011699585464963747,0.5861449106231037,0.012539009394564617,90.9090909090909
dualtopo_no_bg,post_covid,overall,neighborhood,Fenway,4,43,5.710181574361899,174.0984029349001,4.913592804309934,0.6800417213429624,43.0,-0.10195254302138967,0.768480307988267,0.020893486684153105,100.0
dualtopo_no_bg,post_covid,overall,neighborhood,Hyde Park,4,46,21.11302562393225,258.76478907681945,16.28795341823412,0.44798172176668527,46.0,-0.08760851287239158,0.6624431381092707,0.01157294796047548,91.30434782608695
dualtopo_no_bg,post_covid,overall,neighborhood,Jamaica Plain,4,46,13.834807089112893,227.94607190824001,9.938976661018703,0.49969586329700544,46.0,-0.010066779547088567,0.6818224386617292,0.00988065531800679,91.30434782608695
dualtopo_no_bg,post_covid,overall,neighborhood,Mattapan,4,47,25.270050935746987,305.46220368182355,21.67075015128927,0.5223686695424283,47.0,-0.24572413588426456,0.7562259968555164,0.012058347528400659,93.61702127659575
dualtopo_no_bg,post_covid,overall,neighborhood,Roslindale,4,42,38.66425464782403,165.38326118642135,25.883288519723074,0.44249275991697223,42.0,0.006927896789321597,0.5882762663645495,0.008061713934551181,90.47619047619048
dualtopo_no_bg,post_covid,overall,neighborhood,Roxbury,4,49,51.0072913037731,233.1336546420385,37.80364951308893,0.5187769748536695,49.0,-0.03550161841583166,0.7348657715883158,0.0131676465680844,65.3061224489796
dualtopo_no_bg,post_covid,overall,neighborhood,South Boston,4,42,13.147086845112575,186.73841623909883,9.458548046293712,0.5119951324423478,42.0,0.005656401528736921,0.6494684254377471,0.013275387712195707,90.47619047619048
dualtopo_no_bg,post_covid,overall,neighborhood,South End,4,49,32.409894976414186,222.50549118179674,24.1609779669314,0.5189077190058871,49.0,-0.0270052499572091,0.7269375615604362,0.012103831662588625,89.79591836734694
dualtopo_no_bg,post_covid,overall,neighborhood,West Roxbury,4,40,19.23186766513903,111.62196456248327,10.872797203063964,0.38032939368635776,40.0,0.005192888540314855,0.5813162233861864,0.006440381262782987,92.5
dualtopo_no_bg,post_covid,overall,macro,AVERAGE,4,627,24.443227283132888,204.1082903400674,17.796508077468335,0.5010572104378205,627.0,-0.038687119760013045,0.6794379120488298,0.012129919504878564,87.4769781826976
dualtopo_no_bg,post_covid,overall,pooled,ALL,4,627,29.024302833973113,207.5284532715451,18.250030920646218,0.40991348407635086,627.0,0.12850515612086388,0.5138117059344663,0.33692615123999725,87.08133971291866
dualtopo_no_bg,post_covid,overall,cross_week,ALL,4,49,,,,,,,0.7179594867183836,0.44525049779870274,
dualtopo_no_bg,post_covid,flu_season,neighborhood,Allston/Brighton,4,26,22.126577992199525,72.88726777892549,14.075287415431095,0.3515481257666182,26.0,-0.07045054260017602,0.39300598711573625,0.004320752202881321,80.76923076923077
dualtopo_no_bg,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,26,14.77749319513055,79.44566745024173,9.115563245920034,0.41241915431553683,26.0,-0.13366907251326365,0.42069681027699357,0.005863100837204905,88.46153846153845
dualtopo_no_bg,post_covid,flu_season,neighborhood,Charlestown,4,21,26.9576714591038,110.87559707017873,17.404736745925177,0.1446102503652103,21.0,-0.03703751980897274,0.25377820809994994,0.001669679356882558,80.95238095238095
dualtopo_no_bg,post_covid,flu_season,neighborhood,Dorchester,4,26,63.465063440420735,81.65913063489178,41.058641286996696,0.3829940313170044,26.0,-0.02171998274364917,0.4229059829059829,0.006426131501813078,73.07692307692307
dualtopo_no_bg,post_covid,flu_season,neighborhood,East Boston,4,25,15.356563693708356,135.32403308318973,10.286832046508788,0.2560148705130164,25.0,-0.06011207269580998,0.1986123704571642,0.003557080707049565,84.0
dualtopo_no_bg,post_covid,flu_season,neighborhood,Fenway,4,25,5.459265242295037,75.8860044362681,4.304841766357422,0.5846120369375565,25.0,-0.008840743403237816,0.5794287177550476,0.01316274975553781,100.0
dualtopo_no_bg,post_covid,flu_season,neighborhood,Hyde Park,4,25,24.251248185482265,113.90194046499762,16.520080108642578,0.21516181110202168,25.0,-0.0013205833192062588,0.13496687920373326,0.003429130201888013,84.0
dualtopo_no_bg,post_covid,flu_season,neighborhood,Jamaica Plain,4,24,17.139673282074927,138.47293747566195,11.200171033541361,0.28554232640677085,24.0,-0.05799427682220415,0.15965189036297178,0.0028178481033592543,83.33333333333334
dualtopo_no_bg,post_covid,flu_season,neighborhood,Mattapan,4,26,26.72964278087024,149.97124024291543,20.580755600562462,0.3807733608636613,26.0,-0.0006189958118643091,0.44616124715320493,0.00685051191377025,88.46153846153845
dualtopo_no_bg,post_covid,flu_season,neighborhood,Roslindale,4,26,46.40484928382416,120.47950188430985,30.465586075415978,0.3228598182651903,26.0,-0.037784762655612036,0.30232705841995244,0.0038243256679450477,84.61538461538461
dualtopo_no_bg,post_covid,flu_season,neighborhood,Roxbury,4,26,59.8900751439771,91.2871024825834,38.923048166128304,0.3073111829425493,26.0,-0.03115015367585472,0.2739125830903589,0.004766971807486484,73.07692307692307
dualtopo_no_bg,post_covid,flu_season,neighborhood,South Boston,4,25,15.465013047943076,137.2443511648844,10.318829917907715,0.4057891640102876,25.0,-0.051612956708485536,0.38192933531527135,0.006553004733735626,84.0
dualtopo_no_bg,post_covid,flu_season,neighborhood,South End,4,26,38.892114359280235,133.2836957865078,25.968269421504093,0.3512146187089781,26.0,-0.034549227975418706,0.3356853203120923,0.004775870366630349,80.76923076923077
dualtopo_no_bg,post_covid,flu_season,neighborhood,West Roxbury,4,25,23.434656743472996,78.56712541964284,12.869577598571777,0.2946287578398796,25.0,-0.05691386226404305,0.43007505504692045,0.0030352492105470224,88.0
dualtopo_no_bg,post_covid,flu_season,macro,AVERAGE,4,352,28.596421989270215,108.52039966965707,18.79230145924382,0.3353913935253057,352.0,-0.0431267680712713,0.3380812461082415,0.0050751718833379495,83.82260596546311
dualtopo_no_bg,post_covid,flu_season,pooled,ALL,4,352,33.4410927699961,108.3215288775113,18.967822567983106,0.5029140730531763,352.0,0.23001192733338915,0.5278688614494791,0.3633705967468118,83.80681818181817
dualtopo_no_bg,post_covid,flu_season,cross_week,ALL,4,26,,,,,,,0.7400862758791328,0.5960131780046702,
dualtopo_no_bg,post_covid,off_season,neighborhood,Allston/Brighton,4,23,12.33787810919126,329.7511116824947,11.685678647912066,0.5089797439621953,23.0,-8.350016483765444,0.160767697742341,0.004163206065472647,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,20,8.206075095303493,336.10421707541553,7.555244016647339,0.5828572729659969,20.0,-5.272264607140936,0.47572724962955426,0.007296211688483657,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Charlestown,4,14,10.16667329992937,132.93452610100377,8.990824767521449,0.6240135234530565,14.0,-2.6713438216921506,0.5836329422930054,0.01644317511274058,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Dorchester,4,23,47.38293504381171,450.69433645486566,45.88895930414615,0.7113965776774521,23.0,-14.074480751929798,0.4634387351778656,0.004397613524121439,39.130434782608695
dualtopo_no_bg,post_covid,off_season,neighborhood,East Boston,4,19,8.737488370276589,314.7201802557789,8.24394326460989,0.5011990209765839,19.0,-6.316110396990159,0.26541588408070815,0.0060870145037316805,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Fenway,4,18,6.041412825382654,310.5045119607778,5.759080357021755,0.3528280249886414,18.0,-8.439311705355406,0.28756723147750074,0.0029215756396394135,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Hyde Park,4,21,16.621668562748777,431.2205612337503,16.011612120128813,0.601893717066066,21.0,-12.086377158435978,0.5642210425254655,0.004523360731432074,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Jamaica Plain,4,22,8.929128038682249,325.5531276528705,8.56312825463035,0.6940024667349285,22.0,-10.785165340164426,0.4118814447540882,0.004666302508318434,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Mattapan,4,21,23.336797438972678,497.9748250823765,23.020267214093888,0.5732012087814878,21.0,-33.521852900532814,0.4419177620492043,0.0021402430344969327,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Roslindale,4,16,20.61275653327256,238.35187005235255,18.437054991722107,0.5539065341788507,16.0,-3.8413328658802586,0.4978251466443852,0.006728767103003152,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,Roxbury,4,23,38.57691127543757,393.481930996205,36.53824234008789,0.5868194715299683,23.0,-7.4464613739606165,0.4274226435016559,0.005297798524543919,56.52173913043478
dualtopo_no_bg,post_covid,off_season,neighborhood,South Boston,4,17,8.67844446354743,259.5238060541201,8.193427646861357,0.22199700104200804,17.0,-8.03219756412133,0.05935725999172713,0.002301995142364222,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,South End,4,23,22.976502916267812,323.3649120634277,22.117952844370965,0.5784084183010667,23.0,-11.930151122532978,0.5552283397065298,0.004152689407947023,100.0
dualtopo_no_bg,post_covid,off_season,neighborhood,West Roxbury,4,15,8.42619304497073,166.71336313388395,7.544829877217611,0.19302469099554861,15.0,-3.9790751830760698,0.1076763804116331,0.0028499697483634,100.0
dualtopo_no_bg,post_covid,off_season,macro,AVERAGE,4,275,17.21649035841392,322.2066628428088,16.32501754621226,0.5203234051895608,275.0,-9.76758151968417,0.3787199828561189,0.00528356590961847,92.54658385093168
dualtopo_no_bg,post_covid,off_season,pooled,ALL,4,275,22.119281086010645,334.51331649590816,17.331257612054998,0.5891052354982764,275.0,-5.738745938146247,0.6348054331628824,0.25827598175878497,91.27272727272727
dualtopo_no_bg,post_covid,off_season,cross_week,ALL,4,23,,,,,,,0.6929465946236234,0.2748231201745655,
