model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_corrbinary,post_covid,overall,neighborhood,Allston/Brighton,4,49,24.678829770766093,155.32238514148239,16.167439689441604,0.3351499893865742,49.0,-0.8485293149123534,0.5687924181204834,0.3073702416604478,87.75510204081633
gnn_corrbinary,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,46,17.78569227215643,151.7052149236187,11.874165042586949,0.39283405941861055,46.0,-1.0423826594513046,0.5856201915678153,0.34288359675006796,97.82608695652173
gnn_corrbinary,post_covid,overall,neighborhood,Charlestown,4,35,33.85111589165826,183.45721455739496,23.604890864236015,0.1180418811818209,35.0,-1.381307601107967,0.4370135228822647,0.10483284806611663,80.0
gnn_corrbinary,post_covid,overall,neighborhood,Dorchester,4,49,85.35531434409728,150.78625171434248,52.57489537219612,0.3719295233593297,49.0,-1.4415365866799168,0.7036403992187361,0.31241965074864075,73.46938775510205
gnn_corrbinary,post_covid,overall,neighborhood,East Boston,4,44,20.421400069618144,208.05306619304423,14.103600426153703,0.27503213882233474,44.0,-1.4949198558441843,0.46281327495127844,0.23349770956379595,90.9090909090909
gnn_corrbinary,post_covid,overall,neighborhood,Fenway,4,43,10.566023105429478,194.60945678056524,6.846973765728086,0.3473674944076621,43.0,-2.772994580439849,0.4960011910130374,0.25195953678445904,100.0
gnn_corrbinary,post_covid,overall,neighborhood,Hyde Park,4,46,32.38475479736838,169.5641498450746,20.92768132168314,0.33158194502011124,46.0,-1.558897248928703,0.6020346976464105,0.2749678800697094,76.08695652173914
gnn_corrbinary,post_covid,overall,neighborhood,Jamaica Plain,4,46,18.060624616159178,165.08613537422727,12.104683337004289,0.3501603608751942,46.0,-0.7213508659470063,0.5862715325837418,0.3215258294902306,95.65217391304348
gnn_corrbinary,post_covid,overall,neighborhood,Mattapan,4,47,36.782454375617505,212.20627678351755,22.717531143350804,0.32273637534658856,47.0,-1.6393139575813582,0.5396225358369149,0.2627566312393252,80.85106382978722
gnn_corrbinary,post_covid,overall,neighborhood,Roslindale,4,42,49.42338372221346,169.86934391718498,33.28422406741551,0.3226977449674274,42.0,-0.6226558255113175,0.5444109137288774,0.30460233610603515,71.42857142857143
gnn_corrbinary,post_covid,overall,neighborhood,Roxbury,4,49,76.7008492683209,159.58725054960453,51.60619692899743,0.3407281683846333,49.0,-1.3414592220766859,0.5203486354097993,0.2941733741588439,65.3061224489796
gnn_corrbinary,post_covid,overall,neighborhood,South Boston,4,42,19.193188004980765,167.4601309228496,12.86270090511867,0.3109601240803422,42.0,-1.1191985179414519,0.5072637318125962,0.2759737317860415,90.47619047619048
gnn_corrbinary,post_covid,overall,neighborhood,South End,4,49,44.44721746796308,182.87905839841693,29.666743103338746,0.3647691911322168,49.0,-0.9315527966152521,0.43552007402384435,0.3275524656321486,75.51020408163265
gnn_corrbinary,post_covid,overall,neighborhood,West Roxbury,4,40,27.448655889628302,170.79799211359182,18.336457538604737,0.15106338152010712,40.0,-1.026460411542781,0.5179798093516966,0.13922042636075882,90.0
gnn_corrbinary,post_covid,overall,macro,AVERAGE,4,627,35.50710739971266,174.38456622963682,23.334155964703985,0.3096465984216395,627.0,-1.281611388898581,0.5362380662962497,0.2681240184583301,83.94792502581966
gnn_corrbinary,post_covid,overall,pooled,ALL,4,627,42.35397907898885,173.9545806238921,23.75909319125484,0.45933359907829113,627.0,-0.8557935304305824,0.6282799526033438,0.411204913130254,83.73205741626795
gnn_corrbinary,post_covid,overall,cross_week,ALL,4,49,,,,,,,0.6183046846834521,0.4242910216265396,
gnn_corrbinary,post_covid,flu_season,neighborhood,Allston/Brighton,4,26,23.583792480652825,97.07924478064994,17.677281819857082,0.3389547572390075,26.0,-0.21608923772431798,0.41858230782644335,0.3345192396023636,92.3076923076923
gnn_corrbinary,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,26,16.35374328105268,96.1862466122934,12.169690343049856,0.38221901389768753,26.0,-0.38841446092664667,0.5184456359371163,0.37001116164225495,100.0
gnn_corrbinary,post_covid,flu_season,neighborhood,Charlestown,4,21,38.86477877524798,198.120502638516,28.85132884979248,0.0029491842896596184,21.0,-1.1554706281533842,0.3157910768879902,0.0027581718089962222,71.42857142857143
gnn_corrbinary,post_covid,flu_season,neighborhood,Dorchester,4,26,79.31048043736956,83.39269818062951,54.74503971980168,0.375517073748612,26.0,-0.5955984304288562,0.6232478632478632,0.36017320879834014,69.23076923076923
