model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_uniform,post_covid,overall,neighborhood,Allston/Brighton,4,49,28.513073211993422,177.7664208442757,17.733720908359604,0.32268983789426214,49.0,-1.467546104804533,0.6103302761575221,0.2737807647338298,85.71428571428571
gnn_uniform,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,46,20.683678309126744,172.6790940572515,12.985963352348493,0.3773468901205929,46.0,-1.7621745277425065,0.5920200727064344,0.3014061677937857,91.30434782608695
gnn_uniform,post_covid,overall,neighborhood,Charlestown,4,35,36.23843732482481,203.36215718881996,24.407484211240497,0.16009984364988075,35.0,-1.7290308331364752,0.30662588162886767,0.13754314717516003,77.14285714285715
gnn_uniform,post_covid,overall,neighborhood,Dorchester,4,49,102.02293035029643,174.8409028476406,60.07168168437724,0.34341056241640006,49.0,-2.4881703902312764,0.7371106408174228,0.2578814952358138,75.51020408163265
gnn_uniform,post_covid,overall,neighborhood,East Boston,4,44,22.9808904446939,227.23317328425802,15.515709546479313,0.29084464631297996,44.0,-2.1595066734751796,0.45884184629708424,0.2274346090807144,90.9090909090909
gnn_uniform,post_covid,overall,neighborhood,Fenway,4,43,12.993507194222614,247.04927593016416,8.106327894122101,0.23644426508914737,43.0,-4.705790895807054,0.3355861454914156,0.15307712476851112,100.0
gnn_uniform,post_covid,overall,neighborhood,Hyde Park,4,46,38.373275488093824,196.53404137538377,23.44565184738325,0.31113902551463424,46.0,-2.5927695744104002,0.5887792303527691,0.23178355421175864,80.43478260869566
gnn_uniform,post_covid,overall,neighborhood,Jamaica Plain,4,46,19.851841351645625,184.82082677056738,12.881844209588092,0.3587682971418525,46.0,-1.079722842462159,0.5708384214404696,0.31194794451895497,93.47826086956522
gnn_uniform,post_covid,overall,neighborhood,Mattapan,4,47,42.381256054429706,241.2650820273278,24.336356538407347,0.29895028909648397,47.0,-2.5039450926132307,0.5394476743541421,0.2226467982385491,78.72340425531915
gnn_uniform,post_covid,overall,neighborhood,Roslindale,4,42,53.57708536031182,175.1525142592732,35.256239067940484,0.32165480616042813,42.0,-0.9068636055851931,0.5740675393794779,0.2920491879170721,69.04761904761905
gnn_uniform,post_covid,overall,neighborhood,Roxbury,4,49,89.44216229227244,180.62917590377947,57.50829068008734,0.3315409370077232,49.0,-2.1839836801672527,0.5734986778980791,0.2579367128021298,67.3469387755102
gnn_uniform,post_covid,overall,neighborhood,South Boston,4,42,22.330998048433365,194.9131122302882,13.858228450729733,0.29610875716171525,42.0,-1.8687564144589053,0.5515980902795776,0.240266981194282,88.09523809523809
gnn_uniform,post_covid,overall,neighborhood,South End,4,49,51.932100499765916,214.17990847237834,32.69525010245187,0.3462763721203978,49.0,-1.6368729513835878,0.5035796949115432,0.2842137632793532,77.55102040816327
gnn_uniform,post_covid,overall,neighborhood,West Roxbury,4,40,28.974114968231902,190.45545286083404,19.123777210712433,0.16182555063550985,40.0,-1.2579603769421919,0.4074266209712057,0.14451391959868992,80.0
gnn_uniform,post_covid,overall,macro,AVERAGE,4,627,40.735382207024465,198.63436700373157,25.566180407444843,0.2969357200230006,627.0,-2.0245067116585673,0.5249822009061437,0.23832015503918605,82.5184321238617
gnn_uniform,post_covid,overall,pooled,ALL,4,627,49.1639184599657,198.32289239246478,26.08923461980987,0.4452441957211763,627.0,-1.500542269280508,0.6230838642892941,0.3685471780044446,82.45614035087719
gnn_uniform,post_covid,overall,cross_week,ALL,4,49,,,,,,,0.6159966779311563,0.43175969339676845,
gnn_uniform,post_covid,flu_season,neighborhood,Allston/Brighton,4,26,22.942644933774655,98.80484632237528,17.30675380046551,0.41015662035485756,26.0,-0.15086696323463666,0.45663524490157453,0.40045882224825635,92.3076923076923
gnn_uniform,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,26,15.327635803240934,93.90367551520828,11.541212503726666,0.4847569062838318,26.0,-0.2196497238697812,0.5932445430412139,0.46315670869622094,100.0
gnn_uniform,post_covid,flu_season,neighborhood,Charlestown,4,21,36.64261202442892,190.51038012062895,25.94279896645319,0.134295251306007,21.0,-0.9160311166958097,0.24393047692809264,0.12951628512550445,80.95238095238095
