model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,post_covid,overall,neighborhood,Allston/Brighton,12,49,19.592339659968342,178.0062444416019,13.519336941777441,0.1589446176000372,49,89.79591836734694
lstm,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,12,46,13.300607913106042,144.7991153004199,8.91398135682811,0.20655845576320206,46,91.30434782608695
lstm,post_covid,overall,neighborhood,Charlestown,12,35,23.41914955436027,127.86355553894775,14.645995047433036,0.035246471500781494,35,85.71428571428571
lstm,post_covid,overall,neighborhood,Dorchester,12,49,65.37154578896777,191.80467046068117,47.63209692507374,0.15271911868945934,49,65.3061224489796
lstm,post_covid,overall,neighborhood,East Boston,12,44,14.921678667045585,207.12004202252848,10.362799839539962,0.1215923135506319,44,88.63636363636364
lstm,post_covid,overall,neighborhood,Fenway,12,43,6.904838646623321,171.23085412526976,5.774004466034645,0.16549356891551362,43,100.0
lstm,post_covid,overall,neighborhood,Hyde Park,12,46,25.056778504768776,205.45923118494852,17.916146966685425,0.11975085967884283,46,84.78260869565217
lstm,post_covid,overall,neighborhood,Jamaica Plain,12,46,15.178001154272172,192.0657521208659,10.847460721886677,0.06512418045626972,46,89.13043478260869
lstm,post_covid,overall,neighborhood,Mattapan,12,47,29.976142554492807,265.2698320166419,22.7590300783198,0.0794285529913837,47,85.1063829787234
lstm,post_covid,overall,neighborhood,Roslindale,12,42,43.55454641434564,189.71359375534254,29.310707482837497,0.013150821710018851,42,83.33333333333334
lstm,post_covid,overall,neighborhood,Roxbury,12,49,60.45292817567562,189.12167485465213,41.82276319387008,0.088169040612553,49,69.38775510204081
lstm,post_covid,overall,neighborhood,South Boston,12,42,15.183030565287194,150.03054043950468,10.899475245248704,0.12757980813169031,42,88.09523809523809
lstm,post_covid,overall,neighborhood,South End,12,49,36.17753168236457,196.41254120060577,26.68882587199308,0.12344385793091056,49,83.6734693877551
lstm,post_covid,overall,neighborhood,West Roxbury,12,40,20.724017786703598,103.70087323263053,12.245858335494995,0.05568035734213857,40,90.0
lstm,post_covid,overall,macro,AVERAGE,12,627,27.843795504855837,179.47132290676004,19.524177319501657,0.1080630017766738,627,85.30473288345819
lstm,post_covid,overall,pooled,ALL,12,627,33.385271744865626,181.4915847580834,20.01889769236247,0.341773623652767,627,85.00797448165869
lstm,post_covid,flu_season,neighborhood,Allston/Brighton,12,26,24.85143076669692,88.67089707077992,16.99130833699153,-0.04604268069747251,26,80.76923076923077
lstm,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,12,26,16.701612630721716,80.07498140275686,11.502222479306736,0.020653800170344138,26,84.61538461538461
lstm,post_covid,flu_season,neighborhood,Charlestown,12,21,29.317713428429204,142.1434418303022,19.26656558627174,-0.10019117756615038,21,76.19047619047619
lstm,post_covid,flu_season,neighborhood,Dorchester,12,26,81.89459885306874,101.10538398005357,58.84813880920411,-0.08968593317001426,26,65.38461538461539
lstm,post_covid,flu_season,neighborhood,East Boston,12,25,18.71095404317629,180.06606886063773,13.63665665435791,-0.10336374386903706,25,80.0
lstm,post_covid,flu_season,neighborhood,Fenway,12,25,7.4195404088080235,87.58340203723482,5.915704719543457,-0.03224234834129252,25,100.0
lstm,post_covid,flu_season,neighborhood,Hyde Park,12,25,31.73714829126617,140.83241413945166,23.375485961914066,-0.0942332823691968,25,76.0
lstm,post_covid,flu_season,neighborhood,Jamaica Plain,12,24,19.757729391830335,147.8429256100715,14.751485816637675,-0.13493869575666395,24,79.16666666666666
lstm,post_covid,flu_season,neighborhood,Mattapan,12,26,36.05991829811529,179.28635242865047,26.708024201026333,-0.12766570554332798,26,73.07692307692307
lstm,post_covid,flu_season,neighborhood,Roslindale,12,26,53.13463187663914,166.60363158227392,36.71444257589487,-0.09539650370814005,26,73.07692307692307
lstm,post_covid,flu_season,neighborhood,Roxbury,12,26,78.23793842666166,115.70982803668173,55.92078024057241,-0.15329953598977727,26,65.38461538461539
lstm,post_covid,flu_season,neighborhood,South Boston,12,25,18.642419511486512,122.41314665166804,13.867391757965088,-0.031124894854746392,25,84.0
lstm,post_covid,flu_season,neighborhood,South End,12,26,46.26928196570476,151.23077597399435,35.855280436002296,-0.09216773958995923,26,69.23076923076923
lstm,post_covid,flu_season,neighborhood,West Roxbury,12,25,25.631641987711806,96.85130499386165,16.16272339630127,-0.07237744818383345,25,84.0
lstm,post_covid,flu_season,macro,AVERAGE,12,352,34.8833257057369,128.60103961417275,24.965443640856392,-0.08229113496209055,352,77.92111459968602
lstm,post_covid,flu_season,pooled,ALL,12,352,41.54519077302485,128.34269608666014,25.25178330459378,0.27338999363527017,352,77.8409090909091
lstm,post_covid,off_season,neighborhood,Allston/Brighton,12,23,10.937957452350062,278.9940284260093,9.594499712404998,0.2534500549095141,23,100.0
lstm,post_covid,off_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,12,20,6.652606193599894,228.94048936738187,5.549267897605896,0.3504965306577208,20,100.0
lstm,post_covid,off_season,neighborhood,Charlestown,12,14,9.04704004724667,106.44372610191606,7.71513923917498,-0.1090179748947877,14,100.0
lstm,post_covid,off_season,neighborhood,Dorchester,12,23,39.02265372674708,294.3342986561732,34.9530930560568,0.6019638410871261,23,65.21739130434783
lstm,post_covid,off_season,neighborhood,East Boston,12,19,7.414036178004421,242.71737513027963,6.055093504253186,0.22778653859273504,19,100.0
lstm,post_covid,off_season,neighborhood,Fenway,12,18,6.118563569151439,287.40787091420714,5.577198558383518,0.49889157689587715,18,100.0
lstm,post_covid,off_season,neighborhood,Hyde Park,12,21,13.272912469993836,282.3959181438733,11.416933877127509,0.41700561573268935,21,95.23809523809523
lstm,post_covid,off_season,neighborhood,Jamaica Plain,12,22,7.471978496960585,240.30883558718705,6.588524254885588,0.41304827834761776,22,100.0
lstm,post_covid,off_season,neighborhood,Mattapan,12,21,20.02913158815288,371.72556864939315,17.869799259730744,0.2818384909995725,21,100.0
lstm,post_covid,off_season,neighborhood,Roslindale,12,16,19.79333985173335,227.2672822865791,17.27963795661926,0.19199990195855698,16,100.0
lstm,post_covid,off_season,neighborhood,Roxbury,12,23,29.43136413763663,272.10897995322733,25.88587435846743,0.5552101305135037,23,73.91304347826086
lstm,post_covid,off_season,neighborhood,South Boston,12,17,7.644799805382397,190.644354833382,6.534892138312845,0.1708341414084531,17,94.11764705882352
lstm,post_covid,off_season,neighborhood,South End,12,23,19.189975121341163,247.4875801524274,16.32674679963485,0.11990439238698451,23,100.0
lstm,post_covid,off_season,neighborhood,West Roxbury,12,15,7.093986910468677,115.11682029724535,5.7177499008178705,0.4454875255467803,15,100.0
lstm,post_covid,off_season,macro,AVERAGE,12,275,14.508596110626362,241.84950917852012,12.647460750962534,0.31563564601016747,275,94.89186979139481
lstm,post_covid,off_season,pooled,ALL,12,275,18.21950714649644,249.5221622575051,13.320804108706387,0.6785576283310529,275,94.18181818181817
