model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
persistence,exclude_covid,overall,neighborhood,Allston/Brighton,12,49,24.34890518428846,158.6759666720017,15.161224489795918,0.09864415754388589,49,100.0
persistence,exclude_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,12,46,17.653032748437063,152.28712026851073,11.530434782608697,0.015963232896144496,46,97.82608695652173
persistence,exclude_covid,overall,neighborhood,Charlestown,12,35,29.525393429095185,94.73720099574327,16.768571428571427,-0.08276255043605871,35,97.14285714285714
persistence,exclude_covid,overall,neighborhood,Dorchester,12,49,75.92251454137774,139.8073279000827,49.47040816326531,0.040946930266265315,49,91.83673469387756
persistence,exclude_covid,overall,neighborhood,East Boston,12,44,19.196294623513342,206.11392593722974,12.186363636363637,-0.07288689273779778,44,93.18181818181817
persistence,exclude_covid,overall,neighborhood,Fenway,12,43,7.863974378344312,139.1568983162239,6.248837209302326,-0.04963370614288751,43,100.0
persistence,exclude_covid,overall,neighborhood,Hyde Park,12,46,28.585010514025647,167.11719598655318,17.671739130434784,0.015865139848211137,46,100.0
persistence,exclude_covid,overall,neighborhood,Jamaica Plain,12,46,20.16773143673695,134.60994199061616,12.626086956521737,-0.05543946206100642,46,93.47826086956522
persistence,exclude_covid,overall,neighborhood,Mattapan,12,47,33.8147770794984,161.15986191928948,22.09787234042553,-0.10361506181723232,47,91.48936170212765
persistence,exclude_covid,overall,neighborhood,Roslindale,12,42,56.020028306210016,140.0158645700097,34.90714285714286,-0.04175449213671689,42,95.23809523809523
persistence,exclude_covid,overall,neighborhood,Roxbury,12,49,69.70819499154739,158.8530976061371,46.59795918367347,0.045370345766428906,49,93.87755102040816
persistence,exclude_covid,overall,neighborhood,South Boston,12,42,18.73224873999763,128.20959130024224,12.423809523809522,0.01913468360545949,42,100.0
persistence,exclude_covid,overall,neighborhood,South End,12,49,46.67603720304019,135.36614173659677,30.328571428571433,-0.04947144124767509,49,91.83673469387756
persistence,exclude_covid,overall,neighborhood,West Roxbury,12,40,25.928343564524134,109.1327706916374,14.745,-0.027388103873073086,40,100.0
persistence,exclude_covid,overall,macro,AVERAGE,12,627,33.86732048147403,144.66020756363386,21.626001509320474,-0.01764480146614661,627,96.13625003565346
