model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
arima,post_covid,overall,neighborhood,Allston/Brighton,24,49,18.224757388225804,184.9739069032993,12.597507921506825,,49,100.0
arima,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,46,12.451292310584096,180.44014780907847,8.31001679504359,,46,100.0
arima,post_covid,overall,neighborhood,Charlestown,24,35,21.944986914554324,112.69707908847397,13.731924433320401,,35,100.0
arima,post_covid,overall,neighborhood,Dorchester,24,49,51.020899371623386,159.03623482548173,40.3299354471071,0.46941331173581696,49,87.75510204081633
arima,post_covid,overall,neighborhood,East Boston,24,44,13.280594432524536,230.8339619527162,9.913564873659077,-0.2287492571769707,44,100.0
arima,post_covid,overall,neighborhood,Fenway,24,43,5.672372101587387,168.53013146760898,4.862897715330553,,43,100.0
arima,post_covid,overall,neighborhood,Hyde Park,24,46,20.898210393919015,244.6665624987415,15.59281520001668,,46,100.0
arima,post_covid,overall,neighborhood,Jamaica Plain,24,46,13.831210255877567,216.6982890412366,9.651513454316332,,46,100.0
arima,post_covid,overall,neighborhood,Mattapan,24,47,24.59734495107093,284.00218798285044,20.40218535050326,,47,100.0
arima,post_covid,overall,neighborhood,Roslindale,24,42,37.00980346941083,137.12942537489218,24.043137567409445,0.3055576639396271,42,92.85714285714286
arima,post_covid,overall,neighborhood,Roxbury,24,49,51.142772857289465,234.20739443999938,38.01419819907176,0.33656549082745946,49,95.91836734693877
arima,post_covid,overall,neighborhood,South Boston,24,42,13.18443423958969,169.23989392248632,9.091547201185652,,42,100.0
arima,post_covid,overall,neighborhood,South End,24,49,32.43768177672557,216.28383452358744,23.800665327247387,-0.3050907645195854,49,100.0
arima,post_covid,overall,neighborhood,West Roxbury,24,40,19.354249996081617,102.17041897415926,10.496597459219675,,40,97.5
arima,post_covid,overall,macro,AVERAGE,24,627,23.93218646136173,188.63639062890084,17.20275049606698,0.11553928896126948,627,98.14504373177843
arima,post_covid,overall,pooled,ALL,24,627,28.064060237970036,191.55329487361428,17.643086299861093,0.47031497800004274,627,98.08612440191388
arima,post_covid,flu_season,neighborhood,Allston/Brighton,24,26,22.42142475062977,68.94313889784104,13.929267014486744,,26,100.0
arima,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,26,15.13162847838311,76.74152281973156,9.36254429302551,,26,100.0
arima,post_covid,flu_season,neighborhood,Charlestown,24,21,27.22470045625818,103.7919887770911,17.18916436771768,,21,100.0
arima,post_covid,flu_season,neighborhood,Dorchester,24,26,60.5040083886139,99.86692954469599,47.57482304095238,0.3459329365745731,26,96.15384615384616
arima,post_covid,flu_season,neighborhood,East Boston,24,25,15.396700669628178,139.45578112622115,10.449550093304984,-0.09842361889519098,25,100.0
arima,post_covid,flu_season,neighborhood,Fenway,24,25,5.56184106964592,73.91788578931805,4.360787728642097,,25,100.0
arima,post_covid,flu_season,neighborhood,Hyde Park,24,25,24.42818248101467,105.81626229984519,16.086694992007676,,25,100.0
arima,post_covid,flu_season,neighborhood,Jamaica Plain,24,24,17.34500355014151,131.2403711820757,11.106536018580456,,24,100.0
arima,post_covid,flu_season,neighborhood,Mattapan,24,26,26.721871252275598,137.43918906145456,19.666121838792353,,26,100.0
arima,post_covid,flu_season,neighborhood,Roslindale,24,26,45.46057890440933,127.89479889953641,31.045229353466254,0.2885424992976623,26,92.3076923076923
