model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_multiedge,post_covid,overall,neighborhood,Allston/Brighton,24,49,14.911415531931356,136.6706839033094,10.996629865497958,0.6805556637889963,49.0,0.3251381188376069,0.731843674784063,0.639958774340397,95.91836734693877
gnn_multiedge,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,46,10.730090289191347,162.30164788599848,7.9627392551173335,0.6627564470719567,46.0,0.25663471237685853,0.6427028890995486,0.6179872264835232,89.13043478260869
gnn_multiedge,post_covid,overall,neighborhood,Charlestown,24,35,20.910524051893347,152.23407827225273,16.80285907472883,0.498814892560799,35.0,0.09134441296707496,0.45538565339939896,0.44878160738605927,94.28571428571428
gnn_multiedge,post_covid,overall,neighborhood,Dorchester,24,49,53.12539960025464,116.07055931415644,36.892560910205454,0.7424800194646095,49.0,0.05418432471399104,0.790709648705781,0.6628686653792971,91.83673469387756
gnn_multiedge,post_covid,overall,neighborhood,East Boston,24,44,11.765094021239914,201.80961585243415,9.149526906559583,0.644113040449595,44.0,0.17191219236526045,0.5818853430668369,0.6051107778198782,93.18181818181817
gnn_multiedge,post_covid,overall,neighborhood,Fenway,24,43,4.980481733051958,86.80878892979335,3.9243628895559977,0.7509398115509268,43.0,0.16168789771279313,0.7590009784274462,0.6920875429054875,90.69767441860465
gnn_multiedge,post_covid,overall,neighborhood,Hyde Park,24,46,22.215308840954528,200.11734800219986,17.140940404041547,0.6207797762229291,46.0,-0.20413824605228137,0.6285222194175105,0.5295938256389929,95.65217391304348
gnn_multiedge,post_covid,overall,neighborhood,Jamaica Plain,24,46,11.270808245753434,163.45738172624536,8.727146762868632,0.6617577132650212,46.0,0.32963089535311685,0.610193126691727,0.628718780071651,91.30434782608695
gnn_multiedge,post_covid,overall,neighborhood,Mattapan,24,47,24.41127622778051,191.99005853015586,18.103100256716953,0.7089149380713076,47.0,-0.16249373068888828,0.7576885504760962,0.5979917383190406,93.61702127659575
gnn_multiedge,post_covid,overall,neighborhood,Roslindale,24,42,32.57870864425796,160.5400649652141,25.380324023110525,0.6318851945315294,42.0,0.2949348992066152,0.5957112053418003,0.5718697241833527,97.61904761904762
gnn_multiedge,post_covid,overall,neighborhood,Roxbury,24,49,47.55292828064089,134.31274909009065,33.54005493436541,0.7284480576832181,49.0,0.10000361285645853,0.7058001161966808,0.6584598492310312,97.95918367346938
gnn_multiedge,post_covid,overall,neighborhood,South Boston,24,42,13.077479540164452,152.15427536409118,10.323394554001945,0.6352643543553453,42.0,0.01615772757547429,0.6001681766829644,0.5812567805525232,92.85714285714286
gnn_multiedge,post_covid,overall,neighborhood,South End,24,49,28.221666424690167,154.75462356880047,21.79681172662852,0.6992713100889922,49.0,0.221277504281976,0.6939430270936112,0.645351484112672,95.91836734693877
gnn_multiedge,post_covid,overall,neighborhood,West Roxbury,24,40,15.35961927911905,100.56089228102097,10.923734438419341,0.6359700186820546,40.0,0.36546313192658575,0.6594980268395771,0.5913449208156345,97.5
gnn_multiedge,post_covid,overall,macro,AVERAGE,24,627,22.222200050780252,150.98448340612595,16.547441857272712,0.6644250884133773,627.0,0.14440981810233158,0.6580751883016458,0.6050986926599672,94.1055734444205
gnn_multiedge,post_covid,overall,pooled,ALL,24,627,26.62651431562826,151.28972893973196,16.843816515801702,0.7513181853878729,627.0,0.26655113226416693,0.717207088408553,0.7087669991157163,94.09888357256779
gnn_multiedge,post_covid,overall,cross_week,ALL,24,49,,,,,,,0.6114053666396311,0.4503799514089474,
gnn_multiedge,post_covid,flu_season,neighborhood,Allston/Brighton,24,26,19.032583313358156,94.09401521575286,15.34481169627263,0.5801961186314432,26.0,0.20798473007013463,0.6719187932763032,0.5130586970334269,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,26,11.214157087272389,70.75886335561499,8.645673751831055,0.6576964183656209,26.0,0.3471431062363798,0.7524952280614629,0.6065955472984462,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Charlestown,24,21,24.51911392322394,170.02130564142456,20.50199590410505,0.49237673336021665,21.0,0.14209500178263046,0.43732014972837324,0.3857378465915442,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Dorchester,24,26,70.452797834893,102.9665536261807,55.62532375409053,0.6290258492758541,26.0,-0.25909614154549043,0.625982905982906,0.5022113438518219,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,East Boston,24,25,13.642034937433086,185.68752229764766,11.517738359458745,0.5992893338524832,25.0,0.16339198076747796,0.6278464836975988,0.5329186379081735,96.0
gnn_multiedge,post_covid,flu_season,neighborhood,Fenway,24,25,6.122068021874294,66.61575145444694,5.0061151313781735,0.6080858131061523,25.0,-0.26867532069856837,0.6392631289822509,0.5225339595550327,96.0
gnn_multiedge,post_covid,flu_season,neighborhood,Hyde Park,24,25,28.074984354595333,168.40100944834805,23.559623413085937,0.5386105764709084,25.0,-0.3419736609977755,0.5162095293683017,0.40212645865144975,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Jamaica Plain,24,24,13.98958557948584,147.59021630028056,11.744943092266718,0.627665648806127,24.0,0.2951642292184703,0.6088122568630336,0.5223605697365533,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Mattapan,24,26,29.28675958708803,138.20356502986155,24.02882180764125,0.6754425116118062,26.0,-0.20122698107492654,0.7427616659162521,0.5273778930101196,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Roslindale,24,26,38.88351989352465,171.37791845635314,32.19760432610145,0.598351458436327,26.0,0.2713622002762398,0.60664205076707,0.5063203183038091,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,Roxbury,24,26,63.321635839474226,110.86577707085976,51.21303484990047,0.6335499783535384,26.0,-0.15270031498883352,0.6054188006728083,0.5182931771008413,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,South Boston,24,25,14.139912873272927,128.7027567562923,12.065136947631835,0.6389284775797472,25.0,0.12087874168963175,0.69851443386117,0.5532114627686371,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,South End,24,26,35.33864360646397,132.19576116746927,29.453768510084885,0.6471911998092644,26.0,0.14586247831839105,0.7706675265711598,0.5481902981294176,100.0
gnn_multiedge,post_covid,flu_season,neighborhood,West Roxbury,24,25,18.271762606422687,108.95134713906465,14.045025768280029,0.6306688302273621,25.0,0.3574849709544654,0.6071647835956525,0.5290120416767023,100.0
gnn_multiedge,post_covid,flu_season,macro,AVERAGE,24,352,27.59211138988446,128.3165973542569,22.496401236580624,0.6112199248490607,352.0,0.05912107285773049,0.6365012669531673,0.5121391608297126,99.42857142857143
