model,variant,scope,name,group,segment,horizon,permutation_axis,n_columns,baseline_RMSE,permuted_RMSE_mean,permuted_RMSE_std,delta_RMSE,delta_RMSE_pct,n_repeats,rank
gnn_multiedge_season,post_covid,feature,flu_lag0,flu_lags,flu_season,24,origins,1,30.63358086676209,31.933396076530716,3.1868393766865615,1.2998152097686244,4.243105680077199,20,1
gnn_multiedge_season,post_covid,feature,flu_lag3,flu_lags,flu_season,24,origins,1,30.63358086676209,31.90615083161012,0.4723636478097674,1.272569964848028,4.154166535028839,20,2
gnn_multiedge_season,post_covid,feature,flu_lag6,flu_lags,flu_season,24,origins,1,30.63358086676209,31.86619235446826,3.4962318447974026,1.2326114877061691,4.023726423193221,20,3
gnn_multiedge_season,post_covid,feature,precipitation_sum_mm,weather,flu_season,24,origins,1,30.63358086676209,31.570786695390506,0.6152832125716631,0.9372058286284144,3.059406710252725,20,4
gnn_multiedge_season,post_covid,feature,temp_min_c,weather,flu_season,24,origins,1,30.63358086676209,31.007958461156193,2.780744779406733,0.374377594394101,1.222115024758031,20,5
gnn_multiedge_season,post_covid,feature,pct_children,demographics,flu_season,24,nodes,1,30.63358086676209,30.703082389750428,0.04827942113675129,0.069501522988336,0.22688017862040488,20,6
gnn_multiedge_season,post_covid,feature,nonwhite_share,demographics,flu_season,24,nodes,1,30.63358086676209,30.675749234497573,0.04242355977013593,0.04216836773548138,0.1376540598335166,20,7
gnn_multiedge_season,post_covid,feature,pct_elderly,demographics,flu_season,24,nodes,1,30.63358086676209,30.668314899013403,0.04853715838792399,0.03473403225131122,0.11338547851256325,20,8
gnn_multiedge_season,post_covid,feature,owner_rate,demographics,flu_season,24,nodes,1,30.63358086676209,30.634487210768008,0.040057749265347005,0.0009063440059158268,0.002958661639518689,20,9
gnn_multiedge_season,post_covid,feature,no_vehicle_rate,demographics,flu_season,24,nodes,1,30.63358086676209,30.615217763075094,0.007689281910733563,-0.01836310368699756,-0.05994435899239521,20,10
gnn_multiedge_season,post_covid,feature,transit_share,demographics,flu_season,24,nodes,1,30.63358086676209,30.58047253397666,0.02255556818154004,-0.053108332785431145,-0.17336638839716745,20,11
gnn_multiedge_season,post_covid,feature,poverty_rate,demographics,flu_season,24,nodes,1,30.63358086676209,30.54516243947304,0.029107503825486877,-0.08841842728905291,-0.28863235961091405,20,12
gnn_multiedge_season,post_covid,feature,relative_humidity_mean,weather,flu_season,24,origins,1,30.63358086676209,30.530381772515806,0.80836979325437,-0.10319909424628548,-0.336882242709856,20,13
gnn_multiedge_season,post_covid,feature,flu_lag2,flu_lags,flu_season,24,origins,1,30.63358086676209,30.37446403496971,0.40494855901323795,-0.2591168317923831,-0.8458587747850558,20,14
gnn_multiedge_season,post_covid,feature,flu_lag7,flu_lags,flu_season,24,origins,1,30.63358086676209,30.317864970952762,2.2655837961810104,-0.3157158958093298,-1.0306202764296695,20,15
gnn_multiedge_season,post_covid,feature,pop_density,demographics,flu_season,24,nodes,1,30.63358086676209,30.26772381814311,0.07224552467810046,-0.36585704861898094,-1.1943006278314052,20,16
gnn_multiedge_season,post_covid,feature,flu_lag1,flu_lags,flu_season,24,origins,1,30.63358086676209,29.826848441707,1.2463338041181096,-0.8067324250550918,-2.6334904448941163,20,17
gnn_multiedge_season,post_covid,feature,temp_mean_c,weather,flu_season,24,origins,1,30.63358086676209,29.740624109862928,1.7228525854723278,-0.8929567568991637,-2.914960418055584,20,18
gnn_multiedge_season,post_covid,feature,flu_lag4,flu_lags,flu_season,24,origins,1,30.63358086676209,29.63179966998096,1.078215265283391,-1.0017811967811312,-3.2702059910602204,20,19
gnn_multiedge_season,post_covid,feature,temp_max_c,weather,flu_season,24,origins,1,30.63358086676209,29.51348835923664,1.075345242243126,-1.1200925075254524,-3.6564204243610647,20,20
gnn_multiedge_season,post_covid,feature,flu_lag5,flu_lags,flu_season,24,origins,1,30.63358086676209,28.963087230707764,1.4028003815404237,-1.6704936360543279,-5.453145172025381,20,21
gnn_multiedge_season,post_covid,feature,wind_speed_max_kmh,weather,flu_season,24,origins,1,30.63358086676209,27.754937955385753,1.822846783131514,-2.878642911376339,-9.397017357835926,20,22
gnn_multiedge_season,post_covid,feature,flu_lag0,flu_lags,off_season,24,origins,1,11.261465934046472,16.35932067042082,0.7449311279979283,5.09785473637435,45.2681273133558,20,1
gnn_multiedge_season,post_covid,feature,temp_mean_c,weather,off_season,24,origins,1,11.261465934046472,11.97677697434142,0.22897913108323728,0.7153110402949476,6.35184659336728,20,2
gnn_multiedge_season,post_covid,feature,temp_min_c,weather,off_season,24,origins,1,11.261465934046472,11.608005125975914,0.1640372274908036,0.34653919192944294,3.077212096178001,20,3
