model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,exclude_covid,overall,neighborhood,Allston/Brighton,24,49,15.094117191529019,116.12169212261159,10.716642021646303,0.5926175316083954,49,97.95918367346938
lstm,exclude_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,46,13.509659178903519,164.98578936846582,10.689120470959207,0.6370208914799553,46,100.0
lstm,exclude_covid,overall,neighborhood,Charlestown,24,35,23.045866730078128,168.4313255092081,18.793521652221678,0.4441960583321397,35,100.0
lstm,exclude_covid,overall,neighborhood,Dorchester,24,49,64.6734655656569,185.27822905114266,52.71881548823142,0.6539502513211951,49,89.79591836734694
lstm,exclude_covid,overall,neighborhood,East Boston,24,44,12.537549621445265,198.7791000029462,10.104976192387669,0.5521506221781478,44,100.0
lstm,exclude_covid,overall,neighborhood,Fenway,24,43,7.998700380612969,178.62597961161967,6.369990373212237,0.7182561434570188,43,100.0
lstm,exclude_covid,overall,neighborhood,Hyde Park,24,46,25.790330527240442,231.64404274351057,21.152008570795477,0.5325017983705685,46,100.0
lstm,exclude_covid,overall,neighborhood,Jamaica Plain,24,46,13.513724019208448,188.42031395697458,10.674343977803769,0.5589542066760254,46,100.0
lstm,exclude_covid,overall,neighborhood,Mattapan,24,47,29.650376045314186,247.78756565609163,24.677925191027057,0.5819976968804303,47,100.0
lstm,exclude_covid,overall,neighborhood,Roslindale,24,42,38.042121036062056,190.2085498026453,30.930066290355864,0.5170231291777109,42,95.23809523809523
lstm,exclude_covid,overall,neighborhood,Roxbury,24,49,64.72888926825392,204.4743335734656,51.806307547433036,0.5871379679549198,49,79.59183673469387
lstm,exclude_covid,overall,neighborhood,South Boston,24,42,14.701419150199884,186.9897629630837,12.13842856089274,0.5960166390019317,42,100.0
lstm,exclude_covid,overall,neighborhood,South End,24,49,37.81105713100515,202.00521221380288,29.749606128614776,0.5836052109903883,49,100.0
lstm,exclude_covid,overall,neighborhood,West Roxbury,24,40,18.570767499933552,136.60695588643526,13.825758018493653,0.4486517889579502,40,97.5
lstm,exclude_covid,overall,macro,AVERAGE,24,627,27.11914595324596,185.73991803300024,21.739107891719637,0.5717199954561983,627,97.14893100097183
lstm,exclude_covid,overall,pooled,ALL,24,627,33.223746750083976,186.40082531733293,22.262137690305327,0.6636719307813197,627,96.96969696969697
lstm,exclude_covid,flu_season,neighborhood,Allston/Brighton,24,26,19.140809544192237,81.89262160006014,14.502256290729227,0.4608621458022352,26,96.15384615384616
lstm,exclude_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,26,15.486496729445996,116.73094948745879,12.892562624124382,0.5083914058870107,26,100.0
lstm,exclude_covid,flu_season,neighborhood,Charlestown,24,21,27.937979610203268,208.94437663074365,25.32020672389439,0.34946038950393543,21,100.0
lstm,exclude_covid,flu_season,neighborhood,Dorchester,24,26,76.36550965259532,129.7362814360006,67.72171871478741,0.5208471350178804,26,88.46153846153845
lstm,exclude_covid,flu_season,neighborhood,East Boston,24,25,14.971688900625402,220.53744376159256,12.983970008850099,0.40091778569614395,25,100.0
lstm,exclude_covid,flu_season,neighborhood,Fenway,24,25,8.415400487686926,108.2238355852563,7.182648033142089,0.6764016423464727,25,100.0
lstm,exclude_covid,flu_season,neighborhood,Hyde Park,24,25,30.984053142376293,206.75377962768252,27.313595245361327,0.38076432709772684,25,100.0
lstm,exclude_covid,flu_season,neighborhood,Jamaica Plain,24,24,16.823010210475076,205.61923051480235,14.694802331924437,0.4202813811552035,24,100.0
lstm,exclude_covid,flu_season,neighborhood,Mattapan,24,26,34.001630620309264,202.93009169815682,30.27249587132381,0.49009396440325625,26,100.0
lstm,exclude_covid,flu_season,neighborhood,Roslindale,24,26,44.925211763868745,207.0385260921407,38.50438537597656,0.4434116952996244,26,92.3076923076923
lstm,exclude_covid,flu_season,neighborhood,Roxbury,24,26,77.47908615774944,167.483187251981,68.24186239976149,0.4445992642607858,26,69.23076923076923
lstm,exclude_covid,flu_season,neighborhood,South Boston,24,25,16.648780213940316,187.0034386786991,15.14807406616211,0.5351981062942336,25,100.0
lstm,exclude_covid,flu_season,neighborhood,South End,24,26,44.83856367397134,207.86211350666724,40.08977749164288,0.48650503571325576,26,100.0
lstm,exclude_covid,flu_season,neighborhood,West Roxbury,24,25,21.926897430243514,138.13282495384553,17.41563374328613,0.3924762607148423,25,96.0
lstm,exclude_covid,flu_season,macro,AVERAGE,24,352,32.138937009834514,170.63490720179195,28.02028492292617,0.4650150385137576,352,95.86813186813187
lstm,exclude_covid,flu_season,pooled,ALL,24,352,38.86813676711869,169.87072316665305,28.304969183423303,0.6333652197804732,352,95.73863636363636
lstm,exclude_covid,off_season,neighborhood,Allston/Brighton,24,23,8.439428621721218,154.81542401766976,6.437251978335174,0.6506141401311479,23,100.0
lstm,exclude_covid,off_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,20,10.392015895042684,227.7170812137749,7.824645671844482,0.6742097764595012,20,100.0
lstm,exclude_covid,off_season,neighborhood,Charlestown,24,14,12.529320663990735,107.66174882690478,9.00349404471261,0.5830108115149244,14,100.0
lstm,exclude_covid,off_season,neighborhood,Dorchester,24,23,48.15113551793112,248.06477852912937,35.759011840820314,0.7774997425717322,23,91.30434782608695
lstm,exclude_covid,off_season,neighborhood,East Boston,24,19,8.311627584677785,170.1497003205167,6.3168264338844695,0.6592991816179808,19,100.0
lstm,exclude_covid,off_season,neighborhood,Fenway,24,18,7.381025976128636,276.40673520379096,5.241299178865221,0.2871157432103195,18,100.0
lstm,exclude_covid,off_season,neighborhood,Hyde Park,24,21,17.723006452682476,261.27530835759154,13.816786339169456,0.6472410939658794,21,100.0
lstm,exclude_covid,off_season,neighborhood,Jamaica Plain,24,22,8.549922261462843,169.6578595302534,6.28838940967213,0.7586774797077154,22,100.0
lstm,exclude_covid,off_season,neighborhood,Mattapan,24,21,23.156735702909717,303.32539055639194,17.751313872564406,0.5913248124814039,21,100.0
lstm,exclude_covid,off_season,neighborhood,Roslindale,24,16,22.786212813345173,162.85983833221522,18.62179777622223,0.5842196485891422,16,100.0
lstm,exclude_covid,off_season,neighborhood,Roxbury,24,23,46.26173063989242,246.29041202383956,33.226984670887816,0.6209295072867109,23,91.30434782608695
lstm,exclude_covid,off_season,neighborhood,South Boston,24,17,11.240644177563368,186.96965161659057,7.712479288437788,0.3740830211137618,17,100.0
lstm,exclude_covid,off_season,neighborhood,South End,24,23,27.804605050147867,195.38436727404306,18.060716761713444,0.533487959024864,23,100.0
lstm,exclude_covid,off_season,neighborhood,West Roxbury,24,15,10.87877275110584,134.06384077408475,7.842631810506185,0.2848737811495303,15,100.0
lstm,exclude_covid,off_season,macro,AVERAGE,24,275,18.829013150614422,203.18872404119975,13.850259219831125,0.5733276213446153,275,98.75776397515529
lstm,exclude_covid,off_season,pooled,ALL,24,275,24.144699673894145,207.55935607020325,14.527313379114323,0.7561753669034639,275,98.54545454545455
