model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
persistence,post_covid,overall,neighborhood,Allston/Brighton,24,49,32.623964523406556,437.9692343489512,22.993877551020407,-0.3918382181720197,49,100.0
persistence,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,46,24.768853161915303,459.58920768347537,17.565217391304344,-0.3972151486899802,46,100.0
persistence,post_covid,overall,neighborhood,Charlestown,24,35,31.333888546246083,141.78438843435097,19.720000000000002,-0.1659629523944448,35,100.0
persistence,post_covid,overall,neighborhood,Dorchester,24,49,111.589385101572,557.6919148685805,77.57448979591837,-0.4206758689913966,49,79.59183673469387
persistence,post_covid,overall,neighborhood,East Boston,24,44,23.699640388526035,358.17974270278484,15.584090909090907,-0.3162996949068442,44,100.0
persistence,post_covid,overall,neighborhood,Fenway,24,43,10.274001960242648,227.09946531373427,7.648837209302325,-0.39004459550210774,43,100.0
persistence,post_covid,overall,neighborhood,Hyde Park,24,46,39.35647839053118,548.0762440684889,26.506521739130427,-0.3975908709716867,46,100.0
persistence,post_covid,overall,neighborhood,Jamaica Plain,24,46,23.979941799254895,413.9212674343502,16.319565217391307,-0.32796562413373,46,100.0
persistence,post_covid,overall,neighborhood,Mattapan,24,47,50.30987171012625,537.2722979258597,32.44042553191488,-0.30479758577918464,47,95.74468085106383
persistence,post_covid,overall,neighborhood,Roslindale,24,42,61.12455277857624,266.7875270662771,39.57619047619047,-0.2887812745163464,42,92.85714285714286
persistence,post_covid,overall,neighborhood,Roxbury,24,49,99.09554243563251,527.9747856196979,67.13469387755102,-0.39684601606071024,49,83.6734693877551
persistence,post_covid,overall,neighborhood,South Boston,24,42,24.98462384290443,291.993150408347,16.204761904761906,-0.2709459811228517,42,100.0
persistence,post_covid,overall,neighborhood,South End,24,49,58.395638640611665,430.18684514940685,41.24081632653061,-0.3455317011860644,49,95.91836734693877
persistence,post_covid,overall,neighborhood,West Roxbury,24,40,25.245128242890743,150.17814253614142,14.935000000000002,-0.1847098075667165,40,100.0
persistence,post_covid,overall,macro,AVERAGE,24,627,44.055822251602606,382.05030096860327,29.67460628072192,-0.3285146671424345,627,96.27039265554247
persistence,post_covid,overall,pooled,ALL,24,627,53.99080748297322,392.8957842781919,30.599601275917067,-0.14597657352714058,627,96.01275917065391
persistence,post_covid,flu_season,neighborhood,Allston/Brighton,24,26,29.158525603751215,71.47920609650201,19.480769230769234,-0.3661502259181158,26,100.0
persistence,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,26,20.242130474676973,88.00695190914743,14.884615384615385,-0.2742787107120396,26,100.0
persistence,post_covid,flu_season,neighborhood,Charlestown,24,21,30.572700240574108,54.756812674304314,17.909523809523808,0.18405545082155128,21,100.0
persistence,post_covid,flu_season,neighborhood,Dorchester,24,26,90.18162496190247,73.88742809053966,62.70192307692309,-0.5372097821624919,26,84.61538461538461
persistence,post_covid,flu_season,neighborhood,East Boston,24,25,20.289268099170062,62.617006045027566,13.528000000000002,-0.16358651194988957,25,100.0
persistence,post_covid,flu_season,neighborhood,Fenway,24,25,8.972357549719025,65.9722843530008,7.239999999999998,0.11015974442686735,25,100.0
persistence,post_covid,flu_season,neighborhood,Hyde Park,24,25,31.930236453869238,67.15014415848314,19.768000000000004,-0.3079160395658237,25,100.0
persistence,post_covid,flu_season,neighborhood,Jamaica Plain,24,24,22.056234946155246,86.72327892237402,14.508333333333335,-0.31668965099472984,24,100.0
persistence,post_covid,flu_season,neighborhood,Mattapan,24,26,34.83161693722441,67.08416900628666,22.73076923076923,-0.10199145283929012,26,100.0
persistence,post_covid,flu_season,neighborhood,Roslindale,24,26,57.10258649671996,71.4051504882806,34.907692307692315,-0.20144144314076448,26,92.3076923076923
persistence,post_covid,flu_season,neighborhood,Roxbury,24,26,80.88094764719125,63.00391508620591,52.392307692307696,-0.2594482797653403,26,88.46153846153845
persistence,post_covid,flu_season,neighborhood,South Boston,24,25,20.038143626593754,79.93647484863003,13.616,-0.23642586513728858,25,100.0
persistence,post_covid,flu_season,neighborhood,South End,24,26,50.42450564190758,80.3485901889872,33.37692307692308,-0.2828009150594372,26,100.0
persistence,post_covid,flu_season,neighborhood,West Roxbury,24,25,26.801223852652697,57.47683969817026,14.952,0.06703839006797557,25,100.0
persistence,post_covid,flu_season,macro,AVERAGE,24,352,37.39157875229343,70.70344654042425,24.428346938775512,-0.19190609228062977,352,97.52747252747251
persistence,post_covid,flu_season,pooled,ALL,24,352,44.396779626378105,70.89679309771263,24.727982954545453,0.13589824907943937,352,97.44318181818183
persistence,post_covid,off_season,neighborhood,Allston/Brighton,24,23,36.14350624217663,852.262309764763,26.965217391304346,-0.4575695969721077,23,100.0
persistence,post_covid,off_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,24,20,29.63737505245699,942.6461401901018,21.05,-0.4197659682789504,20,100.0
persistence,post_covid,off_season,neighborhood,Charlestown,24,14,32.44220135211895,272.32575207442096,22.43571428571429,-0.19093342107187516,14,100.0
persistence,post_covid,off_season,neighborhood,Dorchester,24,23,131.66269320733454,1104.6013347046267,94.38695652173915,-0.5804464864889808,23,73.91304347826086
persistence,post_covid,off_season,neighborhood,East Boston,24,19,27.55114860534283,747.0780804103601,18.289473684210527,-0.3373011374675019,19,100.0
persistence,post_covid,off_season,neighborhood,Fenway,24,18,11.846917086079587,450.88721664808634,8.216666666666667,-0.31659154051813565,18,100.0
persistence,post_covid,off_season,neighborhood,Hyde Park,24,21,46.68148914260801,1120.6073153899245,34.52857142857143,-0.7036014962865377,21,100.0
persistence,post_covid,off_season,neighborhood,Jamaica Plain,24,22,25.91618483426209,770.8645276292334,18.295454545454543,-0.4773836202146552,22,100.0
persistence,post_covid,off_season,neighborhood,Mattapan,24,21,64.51896362052528,1119.4099813500934,44.46190476190476,-0.36697177589925917,21,90.47619047619048
persistence,post_covid,off_season,neighborhood,Roslindale,24,16,67.14839908739448,584.2838890055216,47.1625,-0.40448682267095587,16,93.75
persistence,post_covid,off_season,neighborhood,Roxbury,24,23,116.30011402289823,1053.594030570602,83.79999999999998,-0.586636237136802,23,78.26086956521739
persistence,post_covid,off_season,neighborhood,South Boston,24,17,30.850245494303984,603.8412027020485,20.011764705882353,-0.2910860242802597,17,100.0
persistence,post_covid,off_season,neighborhood,South End,24,23,66.26169461999174,825.6561768437944,50.13043478260869,-0.3406778512796567,23,91.30434782608695
persistence,post_covid,off_season,neighborhood,West Roxbury,24,15,22.412823710248258,304.6803139327601,14.906666666666665,-0.1671160712511442,15,100.0
persistence,post_covid,off_season,macro,AVERAGE,24,275,50.669554005552975,768.0527336583099,36.04580896005167,-0.40289771784405876,275,94.83603223898255
persistence,post_covid,off_season,pooled,ALL,24,275,64.2124742907907,805.0544929892052,38.11527272727273,-0.004157661488394314,275,94.18181818181817
