model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
dualtopo,post_covid,overall,neighborhood,Allston/Brighton,52,49,57.316773868056714,178.51449896566584,27.946101130271444,0.10679840624040605,49.0,-8.971044207038023,0.7184801919807544,0.05996536513844975,73.46938775510205
dualtopo,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,52,46,33.22602270135107,157.95837524356426,18.02583832326143,0.16030156091556486,46.0,-6.127746883912555,0.6960662586481883,0.10296357446361395,71.73913043478261
dualtopo,post_covid,overall,neighborhood,Charlestown,52,35,44.220763491717406,220.11880321445346,25.252067020961217,-0.11890387724241043,35.0,-3.063703315189776,0.32005687168252345,-0.10277787106789363,74.28571428571429
dualtopo,post_covid,overall,neighborhood,Dorchester,52,49,209.41745544214297,211.43012965234126,98.13944096467932,0.0858889501681886,49.0,-13.696972301488838,0.8019082122051248,0.04047458652888219,65.3061224489796
dualtopo,post_covid,overall,neighborhood,East Boston,52,44,45.762417542367594,332.87295764590795,23.465698838233948,-0.0037252837762968734,44.0,-11.528626167909115,0.5242886402535833,-0.0019354218798988663,70.45454545454545
dualtopo,post_covid,overall,neighborhood,Fenway,52,43,16.33529746527202,167.4077161654126,9.202637683513553,0.17998907338833484,43.0,-8.018143664398506,0.48394250461472793,0.10221766086975904,81.3953488372093
dualtopo,post_covid,overall,neighborhood,Hyde Park,52,46,80.05020997341043,276.1628331144827,38.651278993357785,0.00794946912912642,46.0,-14.634952716728822,0.6423879772902423,0.0036716237623468347,73.91304347826086
dualtopo,post_covid,overall,neighborhood,Jamaica Plain,52,46,35.563763295450315,241.97827261173265,19.2325019110804,-0.008944676157933235,46.0,-5.674508372298005,0.6708664677675027,-0.006133798163371159,71.73913043478261
dualtopo,post_covid,overall,neighborhood,Mattapan,52,47,83.45755442911879,332.4386240823938,42.416232129360765,-0.027239633890970436,47.0,-12.587543951246174,0.6334624148484466,-0.013383698609668126,72.3404255319149
dualtopo,post_covid,overall,neighborhood,Roslindale,52,42,108.66954795296739,331.9681096190753,57.59591211591448,-0.03463167769367949,42.0,-6.84471579778443,0.5415734177371349,-0.022400851543797038,66.66666666666666
dualtopo,post_covid,overall,neighborhood,Roxbury,52,49,173.88338619820706,233.23061737397444,84.7367689171616,0.01212959860787139,49.0,-11.033790191855141,0.6756222068779795,0.006391470791506442,65.3061224489796
dualtopo,post_covid,overall,neighborhood,South Boston,52,42,47.62917925087761,189.5693794586048,24.41058459736052,0.08380754435876787,42.0,-12.050393192798207,0.6079850849591432,0.04190132801628003,66.66666666666666
dualtopo,post_covid,overall,neighborhood,South End,52,49,95.37934894489861,222.59052316501925,49.3623236052844,0.02895438806234783,49.0,-7.894594371755545,0.6352369576328181,0.017371676092354085,69.38775510204081
dualtopo,post_covid,overall,neighborhood,West Roxbury,52,40,42.28342413236797,169.543368247543,22.37355363368988,-0.043736994683872515,40.0,-3.8087949201708335,0.4621210063279342,-0.03513184421464458,77.5
dualtopo,post_covid,overall,macro,AVERAGE,52,627,76.65679604915758,233.27030061144083,38.629352847437914,0.03061691767324606,627.0,-8.995395003898143,0.6009998723447217,0.01379955715599421,71.44071853897466
