model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Allston/Brighton,52,49,20.23571367876565,104.12941712468474,11.362240694007095,0.0776598515877435,49.0,-0.2428372044402849,0.2973236717361502,0.06532129939734586,89.79591836734694
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,52,46,14.700983636597273,128.00920928012795,9.294780873086141,0.02113879040327812,46.0,-0.3953666381522276,0.05958162097254742,0.018371831096902318,82.6086956521739
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Charlestown,52,35,25.681136517856814,113.75177619800967,16.676097100121634,-0.09912092690592875,35.0,-0.37055982819850874,-0.21568164073931312,-0.07025199837365052,74.28571428571429
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Dorchester,52,49,65.15612873867396,99.23711602121246,36.487588921371774,0.03686265233710473,49.0,-0.4226978164026378,0.19781116871662965,0.03281359142193274,79.59183673469387
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,East Boston,52,44,14.479208320146856,112.36208253061794,8.638372805985538,0.0905053903502292,44.0,-0.2542242178130434,0.3086011445822038,0.07745289628948478,88.63636363636364
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Fenway,52,43,6.777968301206013,102.3033122338392,4.676058877346128,0.09135813877895994,43.0,-0.5526090822241227,0.07897713928001567,0.0859202624441342,90.69767441860465
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Hyde Park,52,46,24.09491874447175,123.29844969807002,14.461935017419899,-0.09106997236065652,46.0,-0.41651948979909026,0.25041401420165416,-0.07752589321938194,91.30434782608695
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Jamaica Plain,52,46,15.649033548733847,128.92526316725878,9.657731709272966,-0.031050440618333678,46.0,-0.2923462529988663,0.05880523681502793,-0.022583826769889678,86.95652173913044
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Mattapan,52,47,25.208322386872556,137.7042443426885,15.165982984481975,0.2578044356298707,47.0,-0.23964557749837478,0.34913098190429986,0.2513859503845501,91.48936170212765
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Roslindale,52,42,44.59238085231094,104.43338469506872,24.715420683224995,0.013690161227643879,42.0,-0.3209391369090535,0.14036766277080254,0.011111450644618158,85.71428571428571
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Roxbury,52,49,55.520236015966404,73.55603061137363,27.463744689007196,0.14327020562566078,49.0,-0.22684269282792235,0.41509288453408705,0.11772160646957483,83.6734693877551
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,South Boston,52,42,16.645766095343664,105.97995991342168,10.542783129782904,-0.09251151526420603,42.0,-0.5939876969985298,-0.1053815449466455,-0.07821861640983588,80.95238095238095
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,South End,52,49,33.72574988677789,131.38152427183152,19.180424617261302,0.1026935409001077,49.0,-0.1120918484630864,0.2766388673249995,0.07585092652678323,91.83673469387756
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,West Roxbury,52,40,21.337935719889913,85.92773877541738,11.637882351875305,0.0036003430897716127,40.0,-0.2246183487675253,-0.030713353823422256,0.002374630857925237,85.0
gnn_multiedge_covid_rsv_full,full,overall,macro,AVERAGE,52,627,27.41467731740097,110.78567920454444,15.711503175303204,0.03748790391294608,627.0,-0.33323470224951957,0.14864056095207406,0.03498172219717809,85.89595036503867
