model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,exclude_covid,overall,neighborhood,Allston/Brighton,1,48,8.560677518204253,47.410438093423366,5.2048657218615215,0.9108683291294112,48,93.75
lstm,exclude_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,6.551193302572322,67.81247272533423,4.898825181325277,0.864206915320169,45,93.33333333333333
lstm,exclude_covid,overall,neighborhood,Charlestown,1,34,15.319446346248114,58.9578562449268,8.281185144536638,0.7269258055187376,34,94.11764705882352
lstm,exclude_covid,overall,neighborhood,Dorchester,1,48,32.36674889952201,68.71898224048655,19.112591075897218,0.8519803486206425,48,91.66666666666666
lstm,exclude_covid,overall,neighborhood,East Boston,1,43,6.552952500123592,78.31387787797198,4.762711915304494,0.8679437062983659,43,95.34883720930233
lstm,exclude_covid,overall,neighborhood,Fenway,1,42,4.225202624083866,64.83585880219442,2.8147376605442593,0.6900768330999764,42,97.61904761904762
lstm,exclude_covid,overall,neighborhood,Hyde Park,1,45,12.152677125559192,78.32591129001189,7.720026041666666,0.8409670844619833,45,95.55555555555556
lstm,exclude_covid,overall,neighborhood,Jamaica Plain,1,45,5.935778849581831,74.3231265179585,4.096231498718262,0.9151427602881854,45,100.0
lstm,exclude_covid,overall,neighborhood,Mattapan,1,46,8.87101787247063,75.21445023719482,6.30432021099588,0.9333811320574179,46,100.0
lstm,exclude_covid,overall,neighborhood,Roslindale,1,41,18.019269074689177,59.19447696374659,11.72290604754192,0.9119470062061413,41,85.36585365853658
lstm,exclude_covid,overall,neighborhood,Roxbury,1,48,30.069072773731,72.83581703564175,18.03681205113729,0.8296262362785295,48,87.5
lstm,exclude_covid,overall,neighborhood,South Boston,1,41,7.609029203057793,53.96193024826628,4.391222618847358,0.8443117950856803,41,97.5609756097561
lstm,exclude_covid,overall,neighborhood,South End,1,48,16.58310664670398,57.59565797164951,9.414347076416016,0.8658454968039813,48,93.75
lstm,exclude_covid,overall,neighborhood,West Roxbury,1,40,11.709372706497529,51.335816614549316,6.762962307929993,0.8250995649935338,40,95.0
