model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,post_covid,overall,neighborhood,Allston/Brighton,1,48,8.026505999285368,59.40302649262838,5.243764102458954,0.901905762963231,48,95.83333333333334
lstm,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,7.462287902692506,74.47230122262201,5.1733838653564455,0.8413882460189338,45,95.55555555555556
lstm,post_covid,overall,neighborhood,Charlestown,1,34,15.349560270484709,62.142995362855416,8.625533788344441,0.7252707823587632,34,94.11764705882352
lstm,post_covid,overall,neighborhood,Dorchester,1,48,31.26509741780967,59.99807865118632,18.895837259292602,0.8631015847070225,48,89.58333333333334
lstm,post_covid,overall,neighborhood,East Boston,1,43,7.935798652370012,92.38988779565335,5.301269863927087,0.842985071878319,43,97.67441860465115
lstm,post_covid,overall,neighborhood,Fenway,1,42,3.665944162361952,66.84282307202885,2.5596332254863925,0.7404734504202567,42,100.0
lstm,post_covid,overall,neighborhood,Hyde Park,1,45,11.196904830704847,85.26171536448587,7.297112130059136,0.8602396577196373,45,95.55555555555556
lstm,post_covid,overall,neighborhood,Jamaica Plain,1,45,6.496663204580397,72.33864340711487,4.313732662200928,0.895427411084544,45,97.77777777777777
lstm,post_covid,overall,neighborhood,Mattapan,1,46,10.303290890331457,82.36764184199463,7.043276894610861,0.9135959190318456,46,100.0
lstm,post_covid,overall,neighborhood,Roslindale,1,41,20.215903893534463,64.12759323016255,13.190065849118113,0.8926304723452053,41,87.8048780487805
lstm,post_covid,overall,neighborhood,Roxbury,1,48,30.72356635945569,54.452946734525106,17.450042923291523,0.8131646550372111,48,81.25
lstm,post_covid,overall,neighborhood,South Boston,1,41,8.015895505323059,49.13774759074009,4.571250292149985,0.823071701299256,41,97.5609756097561
lstm,post_covid,overall,neighborhood,South End,1,48,16.571448772787193,76.18162306024874,10.062414419651033,0.8591149040713325,48,97.91666666666666
lstm,post_covid,overall,neighborhood,West Roxbury,1,40,12.99705244150425,55.86520701868025,7.497959098815917,0.787449719820547,40,90.0
lstm,post_covid,overall,macro,AVERAGE,1,614,13.58756573594468,68.21301648892332,8.373234026768815,0.839987095625436,614,94.33072439601668
lstm,post_covid,overall,pooled,ALL,1,614,16.186199447457525,68.41271410831212,8.494201170582723,0.8628775575016457,614,94.29967426710097
lstm,post_covid,overall,neighborhood,Allston/Brighton,2,48,12.372938476850091,76.94587509076575,7.444065495332082,0.7373239727426828,48,93.75
lstm,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,9.23138974855537,81.23920081031098,6.137701848347983,0.697375667831954,45,91.11111111111111
lstm,post_covid,overall,neighborhood,Charlestown,2,34,18.711641328717405,67.5318359301523,10.32750769783469,0.5480970413908105,34,91.17647058823529
lstm,post_covid,overall,neighborhood,Dorchester,2,48,43.24601356834194,82.11430349126691,25.31655241648356,0.6881074851947446,48,89.58333333333334
lstm,post_covid,overall,neighborhood,East Boston,2,43,10.153353607348022,86.0989713996162,6.603567932927333,0.7105841814371295,43,93.02325581395348
lstm,post_covid,overall,neighborhood,Fenway,2,42,4.1282956817978524,83.53604102921192,2.846591581617083,0.6644308551801859,42,100.0
lstm,post_covid,overall,neighborhood,Hyde Park,2,45,16.32194110181869,103.9832299304239,10.267657390170626,0.6591414334085349,45,91.11111111111111
lstm,post_covid,overall,neighborhood,Jamaica Plain,2,45,9.012425989217183,89.91124934206827,5.484272147284614,0.7640794498641836,45,97.77777777777777
lstm,post_covid,overall,neighborhood,Mattapan,2,46,14.724208806520734,111.74970567124734,10.498592488662055,0.8178655182901363,46,100.0
lstm,post_covid,overall,neighborhood,Roslindale,2,41,25.980196979759583,67.10898533188269,16.203666249717156,0.7780610644764856,41,85.36585365853658
lstm,post_covid,overall,neighborhood,Roxbury,2,48,39.836891193435235,67.3489941651558,22.866182684898376,0.6561675418821313,48,85.41666666666666
lstm,post_covid,overall,neighborhood,South Boston,2,41,10.152915581895842,54.4216800859191,6.146984577178956,0.6987112985958215,41,95.1219512195122
lstm,post_covid,overall,neighborhood,South End,2,48,21.782576362403052,86.91379636189032,13.11494967142741,0.7404772385731522,48,95.83333333333334
lstm,post_covid,overall,neighborhood,West Roxbury,2,39,15.850347219728965,64.47916118655066,9.129595502217612,0.606279560789318,39,84.61538461538461
lstm,post_covid,overall,macro,AVERAGE,2,613,17.964652546170715,80.24164498760445,10.884849120292825,0.697621593546948,613,92.42044637349682
lstm,post_covid,overall,pooled,ALL,2,613,21.534563707317076,80.85693485363821,11.084256309086113,0.7418027985766827,613,92.49592169657423
lstm,post_covid,flu_season,neighborhood,Allston/Brighton,1,26,10.452841751529823,36.47228603651466,7.350559271298921,0.8857081039786606,26,92.3076923076923
lstm,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,9.496028866724592,47.3750931622635,7.037166569783137,0.8214067153921881,26,92.3076923076923
lstm,post_covid,flu_season,neighborhood,Charlestown,1,21,19.271639999204616,71.19242810580808,11.952049500601632,0.6926957875822279,21,90.47619047619048
lstm,post_covid,flu_season,neighborhood,Dorchester,1,26,41.19749580986671,35.79844432982654,26.72790767963115,0.8316248872914482,26,80.76923076923077
lstm,post_covid,flu_season,neighborhood,East Boston,1,25,9.98272615926338,97.41950774176053,7.264901760101318,0.8207855605278656,25,96.0
lstm,post_covid,flu_season,neighborhood,Fenway,1,25,4.3362383425108035,39.149418969385806,3.040725589752197,0.6690004454817003,25,100.0
lstm,post_covid,flu_season,neighborhood,Hyde Park,1,25,14.18486668787532,54.15662629353986,9.267586776733397,0.8368401393582006,25,92.0
lstm,post_covid,flu_season,neighborhood,Jamaica Plain,1,24,8.519610021716742,70.12242474318263,6.372929811477661,0.8747605506942913,24,95.83333333333334
lstm,post_covid,flu_season,neighborhood,Mattapan,1,26,11.32812423251925,51.547339447511284,7.589967566270094,0.9148847200401823,26,100.0
lstm,post_covid,flu_season,neighborhood,Roslindale,1,26,24.67575147613638,58.921615900572654,17.054499053955077,0.8838966535564597,26,80.76923076923077
lstm,post_covid,flu_season,neighborhood,Roxbury,1,26,40.62167990724691,36.52816447103001,24.829463181128872,0.7688252542539944,26,69.23076923076923
lstm,post_covid,flu_season,neighborhood,South Boston,1,25,9.86576803009286,45.99242971896284,5.9243498535156265,0.799950498231048,25,96.0
lstm,post_covid,flu_season,neighborhood,South End,1,26,21.272234213555624,59.12513128240974,12.886162882584795,0.8332008729659192,26,96.15384615384616
lstm,post_covid,flu_season,neighborhood,West Roxbury,1,25,16.141205030049527,53.5089074651983,9.893124202728272,0.7733877419345561,25,84.0
lstm,post_covid,flu_season,macro,AVERAGE,1,352,17.239015037735182,54.09355840485473,11.227956692825869,0.8147834236634816,352,90.41771323914182
lstm,post_covid,flu_season,pooled,ALL,1,352,20.61754690866661,53.70346982716725,11.304202957044948,0.8524156360652353,352,90.3409090909091
lstm,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,16.324920598515074,50.863437766514565,10.757951773129976,0.6862002183376257,26,88.46153846153845
lstm,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,26,11.817185880513962,56.84846399935455,8.515150613051194,0.6604987987971719,26,84.61538461538461
lstm,post_covid,flu_season,neighborhood,Charlestown,2,21,23.456536798730255,73.9891282860197,14.330397524152485,0.49888064622642814,21,85.71428571428571
lstm,post_covid,flu_season,neighborhood,Dorchester,2,26,57.134466959555695,48.51085195749308,35.87373674832857,0.6144295060868088,26,80.76923076923077
