model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xcity_dualtopo,post_covid,overall,neighborhood,Allston/Brighton,1,49,18.116264468104664,191.8299732505842,12.89058745637232,0.4594592105786416,49.0,0.003873553690484144,0.6624568486624516,0.02148309603334201,89.79591836734694
xcity_dualtopo,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,46,12.289629678761136,188.99544039252638,8.370785775391951,0.5105012155553773,46.0,0.024846133428575556,0.6932675647919365,0.026349199825062605,93.47826086956522
xcity_dualtopo,post_covid,overall,neighborhood,Charlestown,1,35,21.819082014660832,119.64410769233487,14.005902017865862,0.3026568261758318,35.0,0.01066704355464465,0.4674439230049063,0.011450528515033233,88.57142857142857
xcity_dualtopo,post_covid,overall,neighborhood,Dorchester,1,49,56.20043903704265,252.52499279602193,43.19632534104951,0.4981356171116661,49.0,-0.0584772717481119,0.7546621089728319,0.026658898220444458,55.10204081632652
xcity_dualtopo,post_covid,overall,neighborhood,East Boston,1,44,12.87441367270251,211.7711003722812,9.355543570085006,0.4339759089829527,44.0,0.008390933012347834,0.5512443544054386,0.020662129492368415,90.9090909090909
xcity_dualtopo,post_covid,overall,neighborhood,Fenway,1,43,5.687808543916392,173.61336330844338,4.884709313858387,0.5837466100855951,43.0,-0.09333435143165891,0.6672944046495486,0.03285480802495142,100.0
xcity_dualtopo,post_covid,overall,neighborhood,Hyde Park,1,46,21.060113372934033,257.21269622488586,16.293761833854344,0.3719567351509186,46.0,-0.08216394001652305,0.6188449624157308,0.018798198654920432,91.30434782608695
xcity_dualtopo,post_covid,overall,neighborhood,Jamaica Plain,1,46,13.794221331690967,226.4901659261119,9.91889997150587,0.41793852921859515,46.0,-0.004149213136076524,0.6254240884903127,0.016464708599365354,91.30434782608695
xcity_dualtopo,post_covid,overall,neighborhood,Mattapan,1,47,25.19999865463666,303.7333778699327,21.651427898001163,0.4337801491500079,47.0,-0.2388270496248739,0.6827194076290611,0.020193778176199162,93.61702127659575
xcity_dualtopo,post_covid,overall,neighborhood,Roslindale,1,42,38.582197906029855,164.948522701877,25.82179069519043,0.3541499954341556,42.0,0.011138596882053875,0.5434513294826429,0.01269392813543732,90.47619047619048
xcity_dualtopo,post_covid,overall,neighborhood,Roxbury,1,49,50.80729226280025,231.36684051543602,37.69757944223832,0.4359676501424033,49.0,-0.027397156947633228,0.6707619835209139,0.022229217088360363,65.3061224489796
xcity_dualtopo,post_covid,overall,neighborhood,South Boston,1,42,13.098676073877867,186.08962008112837,9.438485304514566,0.42749351243573314,42.0,0.01296574923128202,0.584619962357558,0.021795989511624963,90.47619047619048
xcity_dualtopo,post_covid,overall,neighborhood,South End,1,49,32.29760780836356,221.1119577438887,24.108633158158284,0.44257716763458876,49.0,-0.01990126252005986,0.6773433311364951,0.02009339515112581,89.79591836734694
xcity_dualtopo,post_covid,overall,neighborhood,West Roxbury,1,40,19.198069443009654,111.34647803529671,10.863284087181091,0.2888970205105248,40.0,0.008686378399602512,0.4879913508663009,0.010011038124323671,92.5
xcity_dualtopo,post_covid,overall,macro,AVERAGE,1,627,24.358986733466505,202.90561692219634,17.74983684751908,0.42580258201192805,627.0,-0.03169156123042477,0.6205375443132949,0.02012420811089709,87.3312055879454
xcity_dualtopo,post_covid,overall,pooled,ALL,1,627,28.914844930452,206.27233341954198,18.201873665221,0.4168523709236908,627.0,0.13506601138381147,0.5143415667812321,0.3429581755915025,86.92185007974481
xcity_dualtopo,post_covid,overall,cross_week,ALL,1,49,,,,,,,0.7188848353377231,0.4447804473813195,
xcity_dualtopo,post_covid,flu_season,neighborhood,Allston/Brighton,1,26,22.056630671642125,72.68370869498847,14.040793528923622,0.27135111762207215,26.0,-0.06369334785553527,0.3875189925312234,0.007935686420988434,80.76923076923077
xcity_dualtopo,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,14.71299965439922,78.62393386569431,9.040584637568546,0.33905249142727345,26.0,-0.12379530234326941,0.41588491865617827,0.01101159350314043,88.46153846153845
xcity_dualtopo,post_covid,flu_season,neighborhood,Charlestown,1,21,26.923369418354515,111.04253195103142,17.377913520449685,0.11161717575905412,21.0,-0.03440006120169725,0.26106687726208955,0.0025495214751701553,80.95238095238095
xcity_dualtopo,post_covid,flu_season,neighborhood,Dorchester,1,26,63.24256268705704,81.38022038990587,41.0597462287316,0.2943010783695685,26.0,-0.014568490192755412,0.4051282051282051,0.011136341563466736,69.23076923076923
xcity_dualtopo,post_covid,flu_season,neighborhood,East Boston,1,25,15.315495326278047,135.55395417408855,10.24572280883789,0.20258999933930608,25.0,-0.054449496490381444,0.1766300304259829,0.006011780102258611,84.0
xcity_dualtopo,post_covid,flu_season,neighborhood,Fenway,1,25,5.423638540722617,75.29612964634214,4.265085601806641,0.4994313163124182,25.0,0.004283510638932508,0.5346494164495275,0.023609151192197045,100.0
xcity_dualtopo,post_covid,flu_season,neighborhood,Hyde Park,1,25,24.23243421578662,114.51119494552289,16.597789001464843,0.12422385609994847,25.0,0.0002324507718655111,0.1543586721927754,0.004231669495591243,84.0
xcity_dualtopo,post_covid,flu_season,neighborhood,Jamaica Plain,1,24,17.11222164993857,138.47186950391873,11.20691446463267,0.16753643487846237,24.0,-0.054607933287913024,0.10861563032890703,0.0035590590924422234,83.33333333333334
xcity_dualtopo,post_covid,flu_season,neighborhood,Mattapan,1,26,26.70057546525457,150.09256025323543,20.62975157224215,0.277087607373058,26.0,0.0015560795455842324,0.35802639663946656,0.010580974763219593,88.46153846153845
xcity_dualtopo,post_covid,flu_season,neighborhood,Roslindale,1,26,46.32406621353389,120.64960096544546,30.390081772437462,0.22745009693474758,26.0,-0.03417468875207641,0.300607336813468,0.0057045102316366295,84.61538461538461
xcity_dualtopo,post_covid,flu_season,neighborhood,Roxbury,1,26,59.75405840747082,91.28305107275516,38.99753981370192,0.2122947212360678,26.0,-0.026471768721543887,0.22523224917442528,0.007105055600769102,73.07692307692307
xcity_dualtopo,post_covid,flu_season,neighborhood,South Boston,1,25,15.406551999548926,136.73735662403772,10.300390586853027,0.31952530509544325,25.0,-0.04367734164782844,0.36096979862114065,0.01084811090207089,84.0
xcity_dualtopo,post_covid,flu_season,neighborhood,South End,1,26,38.796770067221594,133.12830539452398,25.967113128075233,0.2644603138364776,26.0,-0.02948303607288616,0.3044188268132178,0.007661218741556901,80.76923076923077
xcity_dualtopo,post_covid,flu_season,neighborhood,West Roxbury,1,25,23.399875523714687,78.67409085852249,12.878223304748536,0.19223984950456188,25.0,-0.053778892211227225,0.3794779897472828,0.004253795555061113,88.0
xcity_dualtopo,post_covid,flu_season,macro,AVERAGE,1,352,28.528660702923087,108.43775059571519,18.785546426462417,0.2502258116991757,352.0,-0.037644879844337974,0.31232752434170646,0.008299890617112077,83.54788069073784
xcity_dualtopo,post_covid,flu_season,pooled,ALL,1,352,33.35923135606023,108.23412526087735,18.961216736923564,0.5052581107522092,352.0,0.233777065241354,0.5284082987017034,0.36739187992463473,83.52272727272727
xcity_dualtopo,post_covid,flu_season,cross_week,ALL,1,26,,,,,,,0.7400862758791328,0.5954217553502097,
xcity_dualtopo,post_covid,off_season,neighborhood,Allston/Brighton,1,23,12.217030174276925,326.5170549221272,11.590354504792586,0.5000161556573609,23.0,-8.167749093399488,0.160767697742341,0.009943549212166405,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,20,8.121971933898932,332.4783988774081,7.500047254562378,0.5856557818761918,20.0,-5.144355943567543,0.4464395487372189,0.016445268440772202,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Charlestown,1,14,10.142934420100449,132.54647130428998,8.94788476399013,0.6055063454202158,14.0,-2.6542188808771128,0.5836329422930054,0.02215762314386727,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Dorchester,1,23,46.9855726857475,445.99299638554453,45.61158868540888,0.6887494572666198,23.0,-13.822705954155303,0.46245059288537554,0.010619881773652995,39.130434782608695
xcity_dualtopo,post_covid,off_season,neighborhood,East Boston,1,19,8.67213711008797,312.05681905411365,8.184255098041735,0.5621790983388044,19.0,-6.207079289374197,0.2582424818082566,0.012577988042432263,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Fenway,1,18,6.0355601962055925,310.1650767280284,5.745297802819146,0.3158762528811437,18.0,-8.421031864712024,0.23243216078068665,0.005661226770451561,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Hyde Park,1,21,16.506901244137328,427.09543584317504,15.93182472955613,0.5822993238397349,21.0,-11.906286527826131,0.5374807087564861,0.009864479585067011,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Jamaica Plain,1,22,8.854967336509143,322.51012565941346,8.51379325173118,0.7042949669986228,22.0,-10.590215362074375,0.39787980923836846,0.011344941804703815,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Mattapan,1,21,23.20810390947605,493.95534253822484,22.916360491798038,0.5577465027480422,21.0,-33.14215306373804,0.4714236520798036,0.004963907476478583,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Roslindale,1,16,20.504138189749675,236.93427052357828,18.398317694664,0.5225783549803011,16.0,-3.790444760773884,0.4978251466443852,0.014643064214835834,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,Roxbury,1,23,38.25170158565455,389.72242858107535,36.228059022322945,0.5440775760392697,23.0,-7.304651534558946,0.41342517681388236,0.011589668168146865,56.52173913043478
xcity_dualtopo,post_covid,off_season,neighborhood,South Boston,1,17,8.650457697655806,258.66647810626176,8.170977536369772,0.20546851149232181,17.0,-7.974036356422749,0.06451876086057298,0.004926421538458917,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,South End,1,23,22.821342488166138,320.57173866056183,22.0077427573826,0.5605771855584584,23.0,-11.756106039110113,0.5441939914919466,0.009142817512722626,100.0
xcity_dualtopo,post_covid,off_season,neighborhood,West Roxbury,1,15,8.381648407528196,165.80045666325384,7.505052057902018,0.17739819774509627,15.0,-3.9265710797370312,0.13844106052924254,0.006264352776401901,100.0
xcity_dualtopo,post_covid,off_season,macro,AVERAGE,1,275,17.09674766994245,319.6437924176468,16.232253975095826,0.508030265060156,275.0,-9.629114696451925,0.37208240933296943,0.010724656461439872,92.54658385093168
xcity_dualtopo,post_covid,off_season,pooled,ALL,1,275,21.9500018548701,331.7612398626327,17.22991453344172,0.598798931934519,275.0,-5.63599714491851,0.6357474269998584,0.2636478461765403,91.27272727272727
xcity_dualtopo,post_covid,off_season,cross_week,ALL,1,23,,,,,,,0.6949179895083036,0.2744902731556174,
