model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xcity_uniform,post_covid,overall,neighborhood,Allston/Brighton,1,49,11.80828678952454,83.30486222924029,8.283682725867447,0.8494021280259177,49.0,0.5767948144488949,0.7326930303750053,0.82062152948063,100.0
xcity_uniform,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,46,10.713958451435131,91.68346024893602,7.5965376288994495,0.7195474031322627,46.0,0.25886814576311423,0.7428452704264001,0.6899069172811622,97.82608695652173
xcity_uniform,post_covid,overall,neighborhood,Charlestown,1,35,19.14271756496068,109.54613664051975,13.223271560668945,0.7071628435723311,35.0,0.23848808555182366,0.34667120575034505,0.6829741522998598,85.71428571428571
xcity_uniform,post_covid,overall,neighborhood,Dorchester,1,49,36.407107500518556,64.14086962429698,25.200249185367507,0.8855298957663251,49.0,0.5558041912217078,0.8860940332993829,0.8332484162317998,75.51020408163265
xcity_uniform,post_covid,overall,neighborhood,East Boston,1,44,10.242439756894571,134.18713821598394,7.0947611061009495,0.7915276125897382,44.0,0.3723863064726052,0.6505548802280628,0.7502230547192323,97.72727272727273
xcity_uniform,post_covid,overall,neighborhood,Fenway,1,43,5.49359654884042,112.60215888572861,4.271670596544133,0.6999473777353089,43.0,-0.019944621900023662,0.6157518771048972,0.6373495651008191,100.0
xcity_uniform,post_covid,overall,neighborhood,Hyde Park,1,46,15.42804049760649,87.81446016546155,11.054466765859853,0.8317657401685502,46.0,0.41924472708867344,0.7293648926926153,0.7803675549710747,95.65217391304348
xcity_uniform,post_covid,overall,neighborhood,Jamaica Plain,1,46,8.678648402548205,81.99914782678324,6.265325486660004,0.8528866728677553,46.0,0.6025266107576697,0.7228941966147711,0.8283433113516824,97.82608695652173
xcity_uniform,post_covid,overall,neighborhood,Mattapan,1,47,15.958894427511567,102.36896932552733,11.451582041192562,0.8549188068468034,47.0,0.5031614890396113,0.7267883857854451,0.8049009874213915,95.74468085106383
xcity_uniform,post_covid,overall,neighborhood,Roslindale,1,42,24.05434409708615,109.74074654720884,17.839417593819753,0.8497288434547023,42.0,0.615630871718037,0.6397215774216879,0.8305130834518067,85.71428571428571
xcity_uniform,post_covid,overall,neighborhood,Roxbury,1,49,39.69875884092831,106.85038762694123,28.203241766715536,0.7966619947423684,49.0,0.3727508096795329,0.7217687486471704,0.7566629405982683,63.26530612244898
xcity_uniform,post_covid,overall,neighborhood,South Boston,1,42,10.25561715130372,81.56510694491465,7.094657858212789,0.7918998946993313,42.0,0.3949364273707481,0.7167763751075767,0.7555269002355295,95.23809523809523
xcity_uniform,post_covid,overall,neighborhood,South End,1,49,21.86661237670793,89.20226103433998,15.151303972516741,0.8347469065741423,49.0,0.53250126402121,0.6977041475566653,0.8038085560361878,85.71428571428571
xcity_uniform,post_covid,overall,neighborhood,West Roxbury,1,40,14.71423965331393,94.56464943287996,10.099746662378312,0.7619768053357008,40.0,0.41766672339662647,0.46202899617761656,0.7442213550253794,92.5
xcity_uniform,post_covid,overall,macro,AVERAGE,1,627,17.461661575655732,96.39788248205446,12.344993925057429,0.8019787803936598,627.0,0.41720113175930224,0.6708326869419744,0.7656191660146304,90.60234028496124
xcity_uniform,post_covid,overall,pooled,ALL,1,627,20.3720042370993,95.80430759587306,12.534844975722464,0.8628900150216876,627.0,0.5706527007466846,0.7518249015405327,0.8306861806504453,90.43062200956938
xcity_uniform,post_covid,overall,cross_week,ALL,1,49,,,,,,,0.6199152266935927,0.528284169612658,
xcity_uniform,post_covid,flu_season,neighborhood,Allston/Brighton,1,26,14.000517313847185,63.46352261528083,10.472369028971745,0.8348202130456449,26.0,0.5714255307653577,0.7067503796428746,0.8106234269900849,100.0
xcity_uniform,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,13.010286830655575,69.08742625999373,9.82755095225114,0.6402809755112631,26.0,0.12126380411918047,0.6719462941924204,0.6158191787790211,96.15384615384616
xcity_uniform,post_covid,flu_season,neighborhood,Charlestown,1,21,23.176792635748647,121.36561923216023,17.352158591860817,0.6922436638197402,21.0,0.2334572505804281,0.3486793383800423,0.6704479754364628,80.95238095238095
xcity_uniform,post_covid,flu_season,neighborhood,Dorchester,1,26,41.61637480734878,41.31596186369792,30.976301413315994,0.8784771739790418,26.0,0.5606699267778995,0.8851282051282051,0.8306223796414232,76.92307692307693
xcity_uniform,post_covid,flu_season,neighborhood,East Boston,1,25,11.557683527786784,152.66566934986602,8.528662543296814,0.7817283438488399,25.0,0.3995106732245337,0.6108776598138799,0.7501213999139864,96.0
xcity_uniform,post_covid,flu_season,neighborhood,Fenway,1,25,5.926271496962453,60.91090362469067,4.90076199054718,0.6564063404272273,25.0,-0.1888233086141753,0.6463687678170025,0.5940542288330283,100.0
xcity_uniform,post_covid,flu_season,neighborhood,Hyde Park,1,25,17.448409502913975,78.72625598104048,13.610111970901489,0.8336973073840831,25.0,0.48165774982896514,0.7112909668380655,0.7913605369001779,96.0
xcity_uniform,post_covid,flu_season,neighborhood,Jamaica Plain,1,24,10.61545777922455,81.10010889554816,8.592855140566826,0.8372699990364106,24.0,0.594159213625473,0.6995008110747868,0.8170081354289501,95.83333333333334
xcity_uniform,post_covid,flu_season,neighborhood,Mattapan,1,26,18.433202648517458,78.95150810864747,13.710352732585026,0.8506159215284816,26.0,0.5241347058941448,0.7554905668551196,0.8061088295149678,96.15384615384616
xcity_uniform,post_covid,flu_season,neighborhood,Roslindale,1,26,27.84049999976552,119.23649670922512,20.83299552477323,0.8471745608990836,26.0,0.6264621774386383,0.6575201274454077,0.829192256682207,84.61538461538461
xcity_uniform,post_covid,flu_season,neighborhood,Roxbury,1,26,47.953707079318946,74.55655530827336,35.05414120967571,0.7707644153825765,26.0,0.3389161359243079,0.7353472975329409,0.7349966206551973,61.53846153846154
xcity_uniform,post_covid,flu_season,neighborhood,South Boston,1,25,11.789345796118978,65.98968336638029,8.637774028778075,0.7792721344292111,25.0,0.388868388642823,0.7141768058740846,0.7455404370874463,92.0
xcity_uniform,post_covid,flu_season,neighborhood,South End,1,26,25.82752989768142,66.20778112285552,18.701060166725746,0.8272095494334518,26.0,0.5437595237600115,0.7534881345388112,0.8016654647548002,84.61538461538461
xcity_uniform,post_covid,flu_season,neighborhood,West Roxbury,1,25,17.44983413342727,88.16811602216508,12.55745096206665,0.7533475119812173,25.0,0.41399002604017,0.4540343820097605,0.738202883970391,88.0
xcity_uniform,post_covid,flu_season,macro,AVERAGE,1,352,20.47470810352268,82.98182917570178,15.268181875451173,0.784522007907591,352.0,0.4006751284291256,0.6678999812245286,0.7525545538991532,89.19897959183675
xcity_uniform,post_covid,flu_season,pooled,ALL,1,352,23.689935278024734,82.35766158425967,15.356354937296022,0.867546284667072,352.0,0.6135878127644931,0.7684708324104519,0.8417357904256335,89.20454545454545
xcity_uniform,post_covid,flu_season,cross_week,ALL,1,26,,,,,,,0.668291065033224,0.6500205514034645,
xcity_uniform,post_covid,off_season,neighborhood,Allston/Brighton,1,23,8.68774648531313,105.73420266241185,5.809515600619108,0.6308165288417359,23.0,-3.636024876865923,0.3899365588098395,0.3956506027222007,100.0
xcity_uniform,post_covid,off_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,20,6.630735303657591,121.05830443456101,4.696220308542252,0.6328625237509793,20.0,-3.095215731068678,0.3182182677072776,0.412769401038933,100.0
xcity_uniform,post_covid,off_season,neighborhood,Charlestown,1,14,10.505404043105449,91.81691275305901,7.029941013881138,0.35126633823222647,14.0,-2.920060637258923,0.08535343424838418,0.26024138628605537,92.85714285714286
xcity_uniform,post_covid,off_season,neighborhood,Dorchester,1,23,29.42817889179509,89.94293926671332,18.670798840730086,0.8416597454422121,23.0,-4.814671529171208,0.6521739130434783,0.4549386483552048,73.91304347826086
xcity_uniform,post_covid,off_season,neighborhood,East Boston,1,19,8.196379054279461,109.87328146087594,5.20804868873797,0.5752057231872366,19.0,-5.438001378013246,0.6491929056568673,0.321711165630303,100.0
xcity_uniform,post_covid,off_season,neighborhood,Fenway,1,18,4.828765567977949,184.39556897050358,3.397932549317678,0.2287769589760003,18.0,-5.030254128302857,-0.121080939569474,0.14114465073120733,100.0
xcity_uniform,post_covid,off_season,neighborhood,Hyde Park,1,21,12.60753571116004,98.63375086120091,8.012031997953143,0.6747787702190733,21.0,-6.528883936217792,0.5236988863603995,0.3515215110951372,95.23809523809523
xcity_uniform,post_covid,off_season,neighborhood,Jamaica Plain,1,22,5.87815872404879,82.97991756994881,3.726202227852561,0.6875271033874403,22.0,-4.107403953230313,0.509892893364126,0.41042122233564693,100.0
xcity_uniform,post_covid,off_season,neighborhood,Mattapan,1,21,12.220006383880186,131.36201654642616,8.655008804230462,0.5514922705539242,21.0,-8.465737357007727,0.3232236135170204,0.26329177437356255,95.23809523809523
xcity_uniform,post_covid,off_season,neighborhood,Roslindale,1,16,16.10367250692067,94.3101525339324,12.974853456020355,0.577742761028997,16.0,-1.9548986300274778,0.3498230760203788,0.43711708249589737,87.5
xcity_uniform,post_covid,off_season,neighborhood,Roxbury,1,23,27.532646734788983,143.35645894369623,20.458746744238812,0.5733081877251963,23.0,-3.3024501010314795,0.23345774797107985,0.37813262516383195,65.21739130434783
xcity_uniform,post_covid,off_season,neighborhood,South Boston,1,17,7.4468541915801305,104.47014161922985,4.8253693720873665,0.27043641119449513,17.0,-5.650514926305916,0.22452528779479397,0.16541158647007848,100.0
xcity_uniform,post_covid,off_season,neighborhood,South End,1,23,16.266388777529954,115.19602093427889,11.138536100802215,0.4361481321346328,23.0,-5.4806421266263445,0.19460577760265002,0.25441664161047567,86.95652173913044
