model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
arima,post_covid,overall,neighborhood,Agler/Cassidy,1,53,14.877840994832804,65.28757405729452,11.261001047332336,0.6530245300410094,53,71.69811320754717
arima,post_covid,overall,neighborhood,Bexley,1,53,9.063828912598286,73.48981319738081,6.9780035740326705,0.4820087488094427,48,81.13207547169812
arima,post_covid,overall,neighborhood,Clintonville/Near North,1,53,3.7250949085930145,42.684008558336885,2.951666616977264,0.8308576772919656,53,100.0
arima,post_covid,overall,neighborhood,Dublin,1,53,2.5086113832738315,49.20805243806085,1.9309319302471568,0.7250192931906517,52,100.0
arima,post_covid,overall,neighborhood,Eastside,1,53,14.697689017772774,42.357069412357006,10.117537395632043,0.6419620901577948,53,81.13207547169812
arima,post_covid,overall,neighborhood,Far East,1,53,13.545397120272776,25.492470188171634,10.277824416124853,0.8397342548290688,53,83.01886792452831
arima,post_covid,overall,neighborhood,Far South,1,53,16.202646849005678,33.991390782343586,12.714658446219763,0.6831114159431395,52,75.47169811320755
arima,post_covid,overall,neighborhood,Far Southeast,1,53,2.9971054637613337,73.25652400603995,2.4431931250490666,0.5129279931012928,53,100.0
arima,post_covid,overall,neighborhood,Far Southwest,1,53,5.8682774700268725,29.037245230454978,4.375376525818995,0.83372796171825,53,96.22641509433963
arima,post_covid,overall,neighborhood,Hilliard,1,53,6.271453938839645,85.83559444635092,4.715168071359915,0.6563202390365117,51,84.90566037735849
arima,post_covid,overall,neighborhood,Linden,1,53,9.164120846301563,31.667631185612784,7.566035893952717,0.8199039922062143,53,96.22641509433963
arima,post_covid,overall,neighborhood,NE Suburban,1,53,6.540777932796918,37.74152939600991,4.395998339888872,0.7224534792381989,53,94.33962264150944
arima,post_covid,overall,neighborhood,Northland,1,53,10.203629384929892,27.51846173984887,7.7797568190017214,0.8126006023023419,53,90.56603773584906
arima,post_covid,overall,neighborhood,UA/Grandview,1,53,2.9608335172250038,53.837835536604636,1.8872606550674529,0.553418861938297,51,96.22641509433963
arima,post_covid,overall,neighborhood,West,1,53,10.650496354511047,27.013170376314804,7.9149854197689296,0.8536258694215348,53,92.45283018867924
arima,post_covid,overall,neighborhood,Westerville,1,53,7.749463462483104,58.89966039717097,5.705419321244227,0.6045989855646907,52,86.79245283018868
arima,post_covid,overall,neighborhood,Worthington,1,53,6.823580497476248,64.39953303052421,4.763286276796579,0.6483887545622291,53,94.33962264150944
arima,post_covid,overall,macro,AVERAGE,1,901,8.461814591452988,48.33632729287514,6.339888463206739,0.6984520440795667,889,89.67813540510545
arima,post_covid,overall,pooled,ALL,1,901,9.481066764822359,48.10139017020259,6.339888463206739,0.873164748765456,889,89.67813540510544
arima,post_covid,flu_season,neighborhood,Agler/Cassidy,1,26,17.806041499527673,28.242784198546282,12.830613843082803,0.5178102231462394,26,73.07692307692307
arima,post_covid,flu_season,neighborhood,Bexley,1,26,10.71354776098162,69.3217422943188,8.458250444744145,0.4011988719217691,26,80.76923076923077
arima,post_covid,flu_season,neighborhood,Clintonville/Near North,1,26,4.540765445871052,29.50433384218622,3.7257263148745485,0.7550936543618036,26,100.0
