model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,post_covid,overall,neighborhood,Agler/Cassidy,1,53,12.092297848114004,59.41132513319636,9.345662980916822,0.786643624847001,53,90.56603773584906
lstm,post_covid,overall,neighborhood,Bexley,1,53,7.488414819620716,62.62686138183285,5.406936384496602,0.6988929408724706,48,90.56603773584906
lstm,post_covid,overall,neighborhood,Clintonville/Near North,1,53,3.807638924529408,48.35575230164885,3.0137246399976974,0.8367871268092817,53,100.0
lstm,post_covid,overall,neighborhood,Dublin,1,53,2.691562812970573,50.184372520137956,2.080674916045323,0.7119524090378976,52,100.0
lstm,post_covid,overall,neighborhood,Eastside,1,53,11.593071071411611,40.53459484887269,8.846848411054202,0.8095917021162979,53,92.45283018867924
lstm,post_covid,overall,neighborhood,Far East,1,53,13.751518578221013,26.999241732577516,10.746060152815772,0.8324674589857411,53,92.45283018867924
lstm,post_covid,overall,neighborhood,Far South,1,53,14.06667703368858,28.105574138749528,10.661232598624304,0.8063193936222581,52,84.90566037735849
lstm,post_covid,overall,neighborhood,Far Southeast,1,53,2.8934158847084572,72.39457971804174,2.3027300843315177,0.5830251083110817,53,100.0
lstm,post_covid,overall,neighborhood,Far Southwest,1,53,7.05630006164124,35.96987270199813,5.366126609385674,0.806853570761481,53,98.11320754716981
lstm,post_covid,overall,neighborhood,Hilliard,1,53,5.402756053508934,82.86849266352144,4.321038091529106,0.7797244642250036,51,98.11320754716981
lstm,post_covid,overall,neighborhood,Linden,1,53,9.225097635631007,34.695038740897644,7.725092912968285,0.8225667986407971,53,94.33962264150944
lstm,post_covid,overall,neighborhood,NE Suburban,1,53,6.304096502296249,39.610759372221416,4.770565000386111,0.7838796645716024,53,98.11320754716981
lstm,post_covid,overall,neighborhood,Northland,1,53,9.66640314777107,28.757682003295805,8.056987334951744,0.8281651701864007,53,100.0
lstm,post_covid,overall,neighborhood,UA/Grandview,1,53,2.5419103760791932,45.38766247593441,1.646952126592457,0.6978171606889031,51,98.11320754716981
lstm,post_covid,overall,neighborhood,West,1,53,11.44153624147561,29.258080724733876,9.224788465278529,0.9119219291605392,53,100.0
lstm,post_covid,overall,neighborhood,Westerville,1,53,7.275604492309932,58.25090637796948,5.6790131503051535,0.661477500036022,52,90.56603773584906
lstm,post_covid,overall,neighborhood,Worthington,1,53,7.234043332527314,52.50781558818887,4.899059424673329,0.7365318939801333,53,88.67924528301887
lstm,post_covid,overall,macro,AVERAGE,1,901,7.913667342147348,46.81874190728345,6.123146663785448,0.7702716421678184,889,95.1165371809101
lstm,post_covid,overall,pooled,ALL,1,901,8.723497283963495,46.65635431747745,6.123146663785448,0.9006920640345146,889,95.1165371809101
lstm,post_covid,flu_season,neighborhood,Agler/Cassidy,1,26,13.880954861317818,25.970328360841993,9.992258263869378,0.6635124996164263,26,88.46153846153845
lstm,post_covid,flu_season,neighborhood,Bexley,1,26,8.89028340548222,67.89798039376961,6.641856092855314,0.5953388852435679,26,88.46153846153845
