model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xcity_multiedge,post_covid,overall,neighborhood,Agler/Cassidy,1,53,12.948473102740142,50.42338268557136,9.07212286175422,0.7655811055419625,53.0,0.5561141508897709,0.7771971713766563,0.7542799920813505,92.45283018867924
xcity_multiedge,post_covid,overall,neighborhood,Bexley,1,53,9.57802335483773,68.27733313846375,7.414838801577406,0.5269173529373037,48.0,0.14039578176965317,0.5242190187851906,0.5208356335190889,84.90566037735849
xcity_multiedge,post_covid,overall,neighborhood,Clintonville/Near North,1,53,3.9585775109939676,42.44193198735835,3.108722339261253,0.8166071952796682,53.0,0.6470242528460173,0.7746233374460066,0.808656756903983,100.0
xcity_multiedge,post_covid,overall,neighborhood,Dublin,1,53,2.5602842977918003,24665963.656224478,1.9765821917439408,0.727943158674936,53.0,0.4816559907764135,0.7194215652094051,0.7194848096288005,100.0
xcity_multiedge,post_covid,overall,neighborhood,Eastside,1,53,15.171078419702583,38.79771181002504,10.948533427040532,0.6573161127279027,53.0,0.35809787168564766,0.7863257111393772,0.6442639542666617,88.67924528301887
xcity_multiedge,post_covid,overall,neighborhood,Far East,1,53,12.660552420297494,21.384062898493628,9.531684137740225,0.8725669936343253,53.0,0.7352523829351709,0.8422899811315409,0.8445258491521305,90.56603773584906
xcity_multiedge,post_covid,overall,neighborhood,Far South,1,53,18.7734753182616,34.92806022370197,13.86444804353534,0.6153820787334161,52.0,0.26882010448705207,0.7294160292481121,0.5992509167359071,73.58490566037736
xcity_multiedge,post_covid,overall,neighborhood,Far Southeast,1,53,3.1851210979694415,66.96033564767599,2.615510970916388,0.5396109253657522,53.0,0.14956162161738107,0.43089140197145875,0.5320164384337406,100.0
xcity_multiedge,post_covid,overall,neighborhood,Far Southwest,1,53,6.313061591937799,28.886332729865615,4.716803235827752,0.8176645563924763,53.0,0.64662729742091,0.6937324581823386,0.8002010851475193,98.11320754716981
xcity_multiedge,post_covid,overall,neighborhood,Hilliard,1,53,5.878853670680875,73.39172037813339,4.401258817821179,0.7245393385059047,51.0,0.48692394804051253,0.6095636615575276,0.7150989710342021,94.33962264150944
xcity_multiedge,post_covid,overall,neighborhood,Linden,1,53,9.825305973212876,31.020251648001462,7.9416825276500775,0.804825307822779,53.0,0.6208420743612211,0.8011957025275142,0.7830654563956676,94.33962264150944
xcity_multiedge,post_covid,overall,neighborhood,NE Suburban,1,53,5.785793696579775,28.316262052509263,3.8241861631285468,0.8022898395076864,53.0,0.6243520060706238,0.7505462698407719,0.7819078786947369,98.11320754716981
xcity_multiedge,post_covid,overall,neighborhood,Northland,1,53,9.138905905380893,24.175629762787278,7.255584410901339,0.8414302745234099,53.0,0.6873084117016913,0.7696784524340787,0.8149825030146477,98.11320754716981
xcity_multiedge,post_covid,overall,neighborhood,UA/Grandview,1,53,2.9828292789293527,17894232.778443485,2.1029403097224684,0.613706975373042,52.0,0.2872502861886217,0.5710507093408391,0.6043047647220416,96.22641509433963
