model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xcity_uniform,post_covid,overall,neighborhood,Agler/Cassidy,1,53,12.378242073244264,49.97889697711054,8.977020911450657,0.790076224734885,53.0,0.5943493973997105,0.8072013493767333,0.7855964574737928,94.33962264150944
xcity_uniform,post_covid,overall,neighborhood,Bexley,1,53,9.662784344224086,70.13495471884225,7.550204443481733,0.5349499665420623,48.0,0.12511427876529257,0.5245959604273489,0.5328018655725621,88.67924528301887
xcity_uniform,post_covid,overall,neighborhood,Clintonville/Near North,1,53,4.057047329773872,43.31409405222838,3.2133826309779905,0.81348466808958,53.0,0.6292452630284087,0.7413639986147219,0.8104928229553918,100.0
xcity_uniform,post_covid,overall,neighborhood,Dublin,1,53,2.48116753743061,24698040.922203865,1.929115350340616,0.7493092576302378,53.0,0.5131962905093894,0.7375174202343674,0.7451287953784522,100.0
xcity_uniform,post_covid,overall,neighborhood,Eastside,1,53,14.659692382247112,38.08386031376652,10.513950689783636,0.6894917522736151,53.0,0.4006429424795851,0.814072681376819,0.6840057567968328,92.45283018867924
xcity_uniform,post_covid,overall,neighborhood,Far East,1,53,11.408297060755004,21.887424549908786,9.199693625828004,0.8905463004211653,53.0,0.7850346853153001,0.8384989704431826,0.8823784401208313,96.22641509433963
xcity_uniform,post_covid,overall,neighborhood,Far South,1,53,17.499734411568944,34.298591582476966,13.195814223784321,0.6760165920870658,52.0,0.3646722797204389,0.7550456872036538,0.6717690333724944,81.13207547169812
xcity_uniform,post_covid,overall,neighborhood,Far Southeast,1,53,3.1409144944497824,69.72276386429714,2.6441118559747374,0.5687963763639379,53.0,0.17300443512288877,0.429147230806555,0.5662239854349497,100.0
xcity_uniform,post_covid,overall,neighborhood,Far Southwest,1,53,5.938476022511832,28.450578954016397,4.454736763576292,0.8395896132105127,53.0,0.6873179434826736,0.6841230806333108,0.8353181370942561,98.11320754716981
xcity_uniform,post_covid,overall,neighborhood,Hilliard,1,53,5.625195584816703,71.67505790654775,4.248394633239171,0.7539604785151212,51.0,0.5302446900635913,0.6384464942604111,0.7501572179500423,98.11320754716981
xcity_uniform,post_covid,overall,neighborhood,Linden,1,53,9.262376833979427,30.939367181919962,7.5863860328242465,0.8267426028336722,53.0,0.6630442567765873,0.8087046413902631,0.8189248261873572,100.0
xcity_uniform,post_covid,overall,neighborhood,NE Suburban,1,53,5.455167277725265,30.497570501055225,3.9489725355832084,0.8252382000861425,53.0,0.6660577794571838,0.7370982252964093,0.8185617192697519,98.11320754716981
xcity_uniform,post_covid,overall,neighborhood,Northland,1,53,8.72592761459318,24.02189445324916,6.913397896964595,0.8507852858079606,53.0,0.7149303393099772,0.7626953198417199,0.8423740061952693,98.11320754716981
xcity_uniform,post_covid,overall,neighborhood,UA/Grandview,1,53,3.0436614867670526,19765350.73353549,2.175032135872346,0.6232862308683047,52.0,0.2578820184212789,0.5560069660876964,0.6212097609153863,98.11320754716981
xcity_uniform,post_covid,overall,neighborhood,West,1,53,8.697121268715449,19.933723847822453,6.82933897342322,0.8982338522674559,53.0,0.7927970778552597,0.853391546636802,0.8903641055183099,100.0
xcity_uniform,post_covid,overall,neighborhood,Westerville,1,53,7.569403935883469,63.929249926188525,6.060876407150952,0.6810377563645773,52.0,0.3869381410996565,0.4701618121687395,0.6775265893731937,100.0
xcity_uniform,post_covid,overall,neighborhood,Worthington,1,53,6.839498164942944,75.03556974338,5.345487291520497,0.6757777387878608,53.0,0.37711019914751465,0.5971555188374922,0.6729951770912899,98.11320754716981
xcity_uniform,post_covid,overall,macro,AVERAGE,1,901,8.026159283742881,2615533.15054929,6.163877435398601,0.7463131115814211,891.0,0.5095048245855727,0.6914839355080133,0.7415193351000096,96.55937846836848
xcity_uniform,post_covid,overall,pooled,ALL,1,901,9.00309420442508,2622704.1814350653,6.163877435398601,0.8887724235846975,891.0,0.7839668108260526,0.8764718384340294,0.8855080525407751,96.55937846836848
xcity_uniform,post_covid,overall,cross_week,ALL,1,53,,,,,,,0.8282102166409923,0.8100086745401898,
xcity_uniform,post_covid,flu_season,neighborhood,Agler/Cassidy,1,26,14.579327695605148,25.7713236576483,10.545607126676119,0.6840069173084515,26.0,0.3577511996210311,0.6632391407759137,0.6765548098270303,96.15384615384616
