metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,value,unit,Week,description
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-04,2024-08-04,6.8277856201745095,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-07,2024-08-07,1.2535151298827205,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-11,2024-08-11,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-14,2024-08-14,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-18,2024-08-18,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-21,2024-08-21,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-08-25,2024-08-25,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-02,2024-09-02,0.4221888254062439,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-04,2024-09-04,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-08,2024-09-08,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-11,2024-09-11,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-15,2024-09-15,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-18,2024-09-18,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-22,2024-09-22,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-25,2024-09-25,0.39345050977825446,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-09-29,2024-09-29,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-02,2024-10-02,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-06,2024-10-06,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-09,2024-10-09,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-14,2024-10-14,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-16,2024-10-16,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-20,2024-10-20,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-23,2024-10-23,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-27,2024-10-27,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-10-30,2024-10-30,0,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-03,2024-11-03,0.8248542263292372,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-06,2024-11-06,2.1710607098378847,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-11,2024-11-11,3.9002725378510426,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-13,2024-11-13,3.7544934983556493,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-17,2024-11-17,2.3526945623932947,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-20,2024-11-20,1.127684944066318,count,0,Allston/Brighton
RSV,rsv wastewater,Neighborhood,Allston/Brighton,Daily,2024-11-24,2024-11-24,0,count,0,Allston/Brighton
