indec,partido,anio,semana,week_start,t,cases
6028,ALMIRANTE BROWN,2022,1,2022-01-02,0,31.0
6028,ALMIRANTE BROWN,2022,2,2022-01-09,1,26.0
6028,ALMIRANTE BROWN,2022,3,2022-01-16,2,31.0
6028,ALMIRANTE BROWN,2022,4,2022-01-23,3,28.0
6028,ALMIRANTE BROWN,2022,5,2022-01-30,4,29.0
6028,ALMIRANTE BROWN,2022,6,2022-02-06,5,30.0
6028,ALMIRANTE BROWN,2022,7,2022-02-13,6,51.0
6028,ALMIRANTE BROWN,2022,8,2022-02-20,7,53.0
6028,ALMIRANTE BROWN,2022,9,2022-02-27,8,69.0
6028,ALMIRANTE BROWN,2022,10,2022-03-06,9,103.0
6028,ALMIRANTE BROWN,2022,11,2022-03-13,10,100.0
6028,ALMIRANTE BROWN,2022,12,2022-03-20,11,74.0
6028,ALMIRANTE BROWN,2022,13,2022-03-27,12,79.0
6028,ALMIRANTE BROWN,2022,14,2022-04-03,13,112.0
6028,ALMIRANTE BROWN,2022,15,2022-04-10,14,67.0
6028,ALMIRANTE BROWN,2022,16,2022-04-17,15,68.0
6028,ALMIRANTE BROWN,2022,17,2022-04-24,16,145.0
6028,ALMIRANTE BROWN,2022,18,2022-05-01,17,159.0
6028,ALMIRANTE BROWN,2022,19,2022-05-08,18,146.0
6028,ALMIRANTE BROWN,2022,20,2022-05-15,19,165.0
6028,ALMIRANTE BROWN,2022,21,2022-05-22,20,143.0
6028,ALMIRANTE BROWN,2022,22,2022-05-29,21,199.0
6028,ALMIRANTE BROWN,2022,23,2022-06-05,22,173.0
6028,ALMIRANTE BROWN,2022,24,2022-06-12,23,122.0
6028,ALMIRANTE BROWN,2022,25,2022-06-19,24,93.0
6028,ALMIRANTE BROWN,2022,26,2022-06-26,25,168.0
6028,ALMIRANTE BROWN,2022,27,2022-07-03,26,143.0
6028,ALMIRANTE BROWN,2022,28,2022-07-10,27,224.0
6028,ALMIRANTE BROWN,2022,29,2022-07-17,28,212.0
6028,ALMIRANTE BROWN,2022,30,2022-07-24,29,186.0
6028,ALMIRANTE BROWN,2022,31,2022-07-31,30,197.0
6028,ALMIRANTE BROWN,2022,32,2022-08-07,31,164.0
6028,ALMIRANTE BROWN,2022,33,2022-08-14,32,147.0
6028,ALMIRANTE BROWN,2022,34,2022-08-21,33,202.0
6028,ALMIRANTE BROWN,2022,35,2022-08-28,34,256.0
6028,ALMIRANTE BROWN,2022,36,2022-09-04,35,219.0
6028,ALMIRANTE BROWN,2022,37,2022-09-11,36,264.0
6028,ALMIRANTE BROWN,2022,38,2022-09-18,37,263.0
6028,ALMIRANTE BROWN,2022,39,2022-09-25,38,211.0
6028,ALMIRANTE BROWN,2022,40,2022-10-02,39,244.0
6028,ALMIRANTE BROWN,2022,41,2022-10-09,40,195.0
6028,ALMIRANTE BROWN,2022,42,2022-10-16,41,214.0
6028,ALMIRANTE BROWN,2022,43,2022-10-23,42,50.0
6028,ALMIRANTE BROWN,2022,44,2022-10-30,43,46.0
6028,ALMIRANTE BROWN,2022,45,2022-11-06,44,33.0
6028,ALMIRANTE BROWN,2022,46,2022-11-13,45,31.0
6028,ALMIRANTE BROWN,2022,47,2022-11-20,46,32.0
6028,ALMIRANTE BROWN,2022,48,2022-11-27,47,23.0
6028,ALMIRANTE BROWN,2022,49,2022-12-04,48,24.0
6028,ALMIRANTE BROWN,2022,50,2022-12-11,49,32.0
6028,ALMIRANTE BROWN,2022,51,2022-12-18,50,17.0
6028,ALMIRANTE BROWN,2022,52,2022-12-25,51,11.0
6028,ALMIRANTE BROWN,2023,1,2023-01-01,52,22.0
6028,ALMIRANTE BROWN,2023,2,2023-01-08,53,13.0
6028,ALMIRANTE BROWN,2023,3,2023-01-15,54,17.0
6028,ALMIRANTE BROWN,2023,4,2023-01-22,55,15.0
6028,ALMIRANTE BROWN,2023,5,2023-01-29,56,20.0
