t,anio,semana,week_start,ALMIRANTE BROWN,AVELLANEDA,BERAZATEGUI,ESTEBAN ECHEVERRÍA,EZEIZA,FLORENCIO VARELA,GENERAL SAN MARTÍN,HURLINGHAM,ITUZAINGÓ,JOSÉ C. PAZ,LA MATANZA,LANÚS,LOMAS DE ZAMORA,MALVINAS ARGENTINAS,MERLO,MORENO,MORÓN,QUILMES,SAN FERNANDO,SAN ISIDRO,SAN MIGUEL,TIGRE,TRES DE FEBRERO,VICENTE LÓPEZ
0,2022,1,2022-01-02,31.0,116.0,,,153.0,545.0,15.0,21.0,,54.0,84.0,163.0,9.0,10.0,43.0,,33.0,3.0,,30.0,79.0,,60.0,372.0
1,2022,2,2022-01-09,26.0,62.0,,,115.0,569.0,30.0,14.0,,125.0,60.0,119.0,1.0,11.0,19.0,,69.0,0.0,,128.0,67.0,,65.0,230.0
2,2022,3,2022-01-16,31.0,70.0,,,111.0,307.0,33.0,12.0,,66.0,62.0,85.0,5.0,15.0,39.0,,97.0,2.0,,132.0,71.0,,52.0,313.0
3,2022,4,2022-01-23,28.0,72.0,,3.0,155.0,361.0,22.0,36.0,,10.0,52.0,99.0,13.0,13.0,25.0,,88.0,0.0,,103.0,77.0,3.0,34.0,214.0
4,2022,5,2022-01-30,29.0,117.0,2.0,,62.0,368.0,18.0,22.0,,20.0,75.0,119.0,1.0,16.0,117.0,,72.0,2.0,,135.0,62.0,1.0,47.0,120.0
5,2022,6,2022-02-06,30.0,97.0,4.0,,77.0,388.0,17.0,23.0,,17.0,36.0,102.0,4.0,9.0,34.0,,68.0,1.0,,131.0,42.0,0.0,33.0,117.0
6,2022,7,2022-02-13,51.0,138.0,5.0,,103.0,34.0,62.0,30.0,,23.0,70.0,150.0,8.0,8.0,40.0,,19.0,4.0,,66.0,62.0,0.0,64.0,136.0
7,2022,8,2022-02-20,53.0,188.0,3.0,,77.0,0.0,54.0,44.0,,19.0,72.0,176.0,13.0,12.0,37.0,,26.0,0.0,,130.0,75.0,1.0,80.0,150.0
8,2022,9,2022-02-27,69.0,258.0,3.0,,58.0,154.0,88.0,77.0,,32.0,77.0,180.0,7.0,31.0,38.0,,39.0,0.0,,74.0,63.0,6.0,177.0,167.0
9,2022,10,2022-03-06,103.0,253.0,14.0,2.0,186.0,160.0,110.0,144.0,,58.0,76.0,383.0,24.0,23.0,51.0,,86.0,4.0,,99.0,80.0,3.0,206.0,192.0
10,2022,11,2022-03-13,100.0,244.0,14.0,4.0,153.0,103.0,138.0,175.0,,70.0,91.0,309.0,26.0,28.0,106.0,,55.0,10.0,,89.0,98.0,38.0,165.0,179.0
11,2022,12,2022-03-20,74.0,236.0,0.0,1.0,114.0,101.0,118.0,101.0,,37.0,93.0,374.0,21.0,31.0,59.0,,33.0,8.0,,84.0,92.0,28.0,101.0,137.0
12,2022,13,2022-03-27,79.0,185.0,0.0,2.0,160.0,111.0,141.0,117.0,,28.0,114.0,278.0,20.0,35.0,142.0,,47.0,17.0,,192.0,105.0,11.0,115.0,152.0
13,2022,14,2022-04-03,112.0,228.0,8.0,2.0,172.0,1.0,124.0,79.0,,37.0,96.0,363.0,28.0,14.0,91.0,,21.0,24.0,,92.0,92.0,19.0,48.0,142.0
14,2022,15,2022-04-10,67.0,209.0,0.0,3.0,88.0,67.0,112.0,67.0,,26.0,79.0,385.0,16.0,0.0,158.0,,20.0,11.0,,105.0,96.0,14.0,155.0,126.0
15,2022,16,2022-04-17,68.0,206.0,22.0,0.0,71.0,52.0,139.0,61.0,,27.0,93.0,297.0,23.0,4.0,196.0,,30.0,21.0,,78.0,99.0,9.0,137.0,155.0
16,2022,17,2022-04-24,145.0,153.0,20.0,1.0,107.0,42.0,111.0,42.0,,17.0,123.0,340.0,14.0,17.0,253.0,,38.0,145.0,,75.0,86.0,8.0,140.0,131.0
17,2022,18,2022-05-01,159.0,315.0,351.0,2.0,150.0,44.0,139.0,60.0,,415.0,114.0,350.0,36.0,263.0,489.0,169.0,31.0,165.0,,28.0,90.0,21.0,347.0,204.0
18,2022,19,2022-05-08,146.0,681.0,316.0,4.0,188.0,82.0,205.0,70.0,,425.0,246.0,497.0,27.0,651.0,538.0,116.0,34.0,221.0,,40.0,136.0,26.0,550.0,360.0
19,2022,20,2022-05-15,165.0,787.0,355.0,3.0,237.0,626.0,220.0,82.0,,395.0,350.0,311.0,30.0,587.0,499.0,143.0,25.0,211.0,,24.0,115.0,16.0,585.0,330.0
20,2022,21,2022-05-22,143.0,672.0,190.0,6.0,225.0,558.0,234.0,78.0,,320.0,257.0,471.0,30.0,429.0,600.0,261.0,22.0,536.0,,34.0,129.0,22.0,467.0,329.0
21,2022,22,2022-05-29,199.0,854.0,205.0,10.0,198.0,476.0,229.0,63.0,,495.0,141.0,394.0,102.0,320.0,536.0,262.0,46.0,495.0,34.0,8.0,131.0,211.0,518.0,345.0
22,2022,23,2022-06-05,173.0,650.0,226.0,4.0,188.0,518.0,252.0,47.0,,431.0,210.0,349.0,65.0,505.0,462.0,479.0,49.0,467.0,35.0,27.0,91.0,80.0,464.0,317.0
23,2022,24,2022-06-12,122.0,644.0,136.0,2.0,218.0,339.0,168.0,58.0,,582.0,164.0,327.0,85.0,75.0,506.0,484.0,49.0,408.0,15.0,35.0,105.0,107.0,362.0,329.0
