indec,partido,coverage,cases_total,keep_core
6028,ALMIRANTE BROWN,1.0,27231.0,True
6568,MORÓN,1.0,11869.0,True
6840,TRES DE FEBRERO,1.0,36800.0,True
6270,EZEIZA,1.0,34528.0,True
6274,FLORENCIO VARELA,1.0,50556.0,True
6760,SAN MIGUEL,1.0,22641.0,True
6658,QUILMES,1.0,30175.0,True
6427,LA MATANZA,1.0,59614.0,True
6434,LANÚS,1.0,70496.0,True
6035,AVELLANEDA,1.0,110626.0,True
6539,MERLO,1.0,38395.0,True
6805,TIGRE,0.986,7769.0,True
6371,GENERAL SAN MARTÍN,0.982,39361.0,True
6412,JOSÉ C. PAZ,0.954,92536.0,True
6515,MALVINAS ARGENTINAS,0.94,10290.0,True
6861,VICENTE LÓPEZ,0.936,27056.0,True
6560,MORENO,0.922,69578.0,True
6756,SAN ISIDRO,0.917,8259.0,True
6490,LOMAS DE ZAMORA,0.908,4349.0,True
6091,BERAZATEGUI,0.89,7678.0,False
6408,HURLINGHAM,0.876,13759.0,False
6749,SAN FERNANDO,0.839,17286.0,False
6410,ITUZAINGÓ,0.752,5538.0,False
6260,ESTEBAN ECHEVERRÍA,0.5,766.0,False
