# AMBA partido adjacency, derived from boundary geometry.
#
# SOURCE: IGN (Instituto Geografico Nacional) WFS, layer ign:departamento,
# joined on the INDEC department code (`in1`), not on names.
#   https://wms.ign.gob.ar/geoserver/ows
# Built by Code/scrapers/derive_amba_adjacency.py on 2026-09-22.
#
# RULE: two partidos are adjacent when their boundaries share at least
# 2 vertices at 6 decimal places. One shared vertex is a corner
# touch, not a border. The edge count is identical at 4, 5 and 6 decimals, which
# is the check that the polygons share vertices exactly rather than approximately.
#
# Partidos on the edge of the conurbano border districts outside the 24 (and
# several border the Autonomous City of Buenos Aires, which is not a node here).
# Those boundaries are absent by construction; the anchor nodes carry them, the
# same role Boston's anchors play.
indec_a,partido_a,indec_b,partido_b
6028,ALMIRANTE BROWN,6260,ESTEBAN ECHEVERRÍA
6028,ALMIRANTE BROWN,6274,FLORENCIO VARELA
6028,ALMIRANTE BROWN,6490,LOMAS DE ZAMORA
6028,ALMIRANTE BROWN,6658,QUILMES
6035,AVELLANEDA,6434,LANÚS
6035,AVELLANEDA,6658,QUILMES
6091,BERAZATEGUI,6274,FLORENCIO VARELA
6091,BERAZATEGUI,6658,QUILMES
6260,ESTEBAN ECHEVERRÍA,6270,EZEIZA
6260,ESTEBAN ECHEVERRÍA,6427,LA MATANZA
6260,ESTEBAN ECHEVERRÍA,6490,LOMAS DE ZAMORA
6270,EZEIZA,6427,LA MATANZA
6274,FLORENCIO VARELA,6658,QUILMES
6371,GENERAL SAN MARTÍN,6756,SAN ISIDRO
6371,GENERAL SAN MARTÍN,6760,SAN MIGUEL
6371,GENERAL SAN MARTÍN,6805,TIGRE
6371,GENERAL SAN MARTÍN,6840,TRES DE FEBRERO
6371,GENERAL SAN MARTÍN,6861,VICENTE LÓPEZ
6408,HURLINGHAM,6410,ITUZAINGÓ
6408,HURLINGHAM,6568,MORÓN
6408,HURLINGHAM,6760,SAN MIGUEL
6408,HURLINGHAM,6840,TRES DE FEBRERO
6410,ITUZAINGÓ,6539,MERLO
6410,ITUZAINGÓ,6560,MORENO
6410,ITUZAINGÓ,6568,MORÓN
6410,ITUZAINGÓ,6760,SAN MIGUEL
6412,JOSÉ C. PAZ,6515,MALVINAS ARGENTINAS
6412,JOSÉ C. PAZ,6560,MORENO
6412,JOSÉ C. PAZ,6760,SAN MIGUEL
6427,LA MATANZA,6490,LOMAS DE ZAMORA
6427,LA MATANZA,6539,MERLO
6427,LA MATANZA,6568,MORÓN
6427,LA MATANZA,6840,TRES DE FEBRERO
6434,LANÚS,6490,LOMAS DE ZAMORA
6434,LANÚS,6658,QUILMES
6490,LOMAS DE ZAMORA,6658,QUILMES
6515,MALVINAS ARGENTINAS,6760,SAN MIGUEL
6515,MALVINAS ARGENTINAS,6805,TIGRE
6539,MERLO,6560,MORENO
6539,MERLO,6568,MORÓN
6560,MORENO,6760,SAN MIGUEL
6568,MORÓN,6840,TRES DE FEBRERO
6749,SAN FERNANDO,6756,SAN ISIDRO
6749,SAN FERNANDO,6805,TIGRE
6756,SAN ISIDRO,6805,TIGRE
6756,SAN ISIDRO,6861,VICENTE LÓPEZ
6760,SAN MIGUEL,6805,TIGRE
6760,SAN MIGUEL,6840,TRES DE FEBRERO
