# Buenos Aires / AMBA per-partido static table.
#
# SOURCE: INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022,
# resultados definitivos, Provincia de Buenos Aires, per-partido cuadros:
#   est_c2_2      population, area, density
#   est_c7_2      % of population aged 65+
#   est_c9_2      potential dependency index
#   hogares_c6_2  household tenure regime
#   salud_c1_2    health coverage
#   https://censo.gob.ar/wp-content/uploads/2023/11/
# Built by Code/scrapers/build_amba_static.py on 2026-09-22.
#
# FIVE of the eight STATIC_DEMO_COLS. Raw ratios; the loader min-max scales.
#   pop_density    exact (reconciles with INDEC's own density column to 0.1%)
#   pct_elderly    exact, share aged 65+
#   owner_rate     exact, owned households / all households
#   pct_children   DERIVED, UNDER-15 (Boston and Columbus use under-20):
#                  c = D / (100 + D) - pct_elderly, D = dependency index
#   poverty_rate   PROXY: share with no obra social, prepaga or state health
#                  plan. The census asks no income question.
# Absent: transit_share and no_vehicle_rate (not asked by the 2022 census) and
# nonwhite_share (no equivalent construct; foreign-born or afro-descendant
# share would measure something else under the same name).
indec,partido,population,area_km2,pop_density,poverty_rate,pct_children,pct_elderly,owner_rate
6028,ALMIRANTE BROWN,584827,129.3,4523.0239752513535,0.39189895903526867,0.22433333333333333,0.109,0.7324739320281978
6035,AVELLANEDA,367554,56.2,6540.106761565836,0.2807135423921861,0.19374834437086091,0.14400000000000002,0.6393575131070589
6091,BERAZATEGUI,358712,220.2,1629.0281562216169,0.36053559866937557,0.22333333333333333,0.11,0.7103307879298053
6260,ESTEBAN ECHEVERRÍA,338480,121.3,2790.4369332234132,0.4145673020007103,0.23933333333333331,0.094,0.7070494541494791
6270,EZEIZA,201511,238.2,845.9739714525609,0.4111922263618971,0.24932432432432433,0.075,0.7305818286041846
6274,FLORENCIO VARELA,496433,189.5,2619.699208443272,0.48346762875868415,0.2587483443708609,0.079,0.7375028204549651
6371,GENERAL SAN MARTÍN,450518,56.5,7973.769911504425,0.3146840403776802,0.19133333333333333,0.142,0.6411010651473866
6408,HURLINGHAM,185641,35.8,5185.50279329609,0.31890203440853254,0.19474834437086092,0.14300000000000002,0.6687019056761138
6410,ITUZAINGÓ,180232,38.1,4730.498687664041,0.2632217683711366,0.1893333333333333,0.14400000000000002,0.7157556681099909
6412,JOSÉ C. PAZ,326992,50.2,6513.784860557768,0.4667026003975169,0.2551052631578947,0.087,0.7304497599853239
6427,LA MATANZA,1841247,327.4,5623.845448992059,0.46069983801154823,0.24210526315789474,0.1,0.6764905842320139
6434,LANÚS,461267,50.2,9188.585657370517,0.28086141353370386,0.18574834437086093,0.152,0.6583627562472835
6490,LOMAS DE ZAMORA,690480,88.7,7784.441939120631,0.38014333969231845,0.22010526315789475,0.122,0.7016303305415255
6515,MALVINAS ARGENTINAS,350674,62.9,5575.103338632751,0.4047412571801455,0.2238590604026846,0.105,0.6926916320441681
6539,MERLO,582486,174.1,3345.6978747846065,0.4648416809404902,0.24210526315789474,0.1,0.723488125088966
6560,MORENO,576632,186.2,3096.842105263158,0.5024003140208212,0.2567483443708609,0.081,0.7414038533689391
6568,MORÓN,331183,55.1,6010.5807622504535,0.22431012663990021,0.16774834437086092,0.17,0.6367799469751747
6658,QUILMES,633391,91.6,6914.748908296943,0.35771652521313,0.21910526315789475,0.12300000000000001,0.7034157657175064
6749,SAN FERNANDO,171616,992.8,172.86059629331186,0.3092478623486987,0.2033333333333333,0.13,0.6185204825666181
6756,SAN ISIDRO,297282,52.4,5673.320610687023,0.19312246180459358,0.17264935064935064,0.17800000000000002,0.6696876780723414
6760,SAN MIGUEL,328835,82.8,3971.437198067633,0.35685945368533495,0.2188590604026846,0.11,0.642048261100236
6805,TIGRE,446949,393.9,1134.6763137852247,0.3115971417752095,0.22585906040268458,0.10300000000000001,0.6700101936799184
6840,TRES DE FEBRERO,364176,45.4,8021.497797356828,0.27197028033307663,0.17733333333333332,0.156,0.6183026240688434
6861,VICENTE LÓPEZ,282280,34.5,8182.028985507246,0.13536702300198544,0.15964935064935065,0.191,0.6323087247152331
