week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,29.9,18.8,57.9,11.5,22.7
2022-01-09,28.9,35.8,22.3,47.9,3.1,23.9
2022-01-16,24.5,28.4,21.3,82.1,58.6,24.8
2022-01-23,22.6,27.2,17.7,75.4,19.3,17.2
2022-01-30,22.7,27.4,17.8,67.3,35.2,19.8
2022-02-06,20.0,25.4,14.7,67.4,15.8,22.7
2022-02-13,22.7,29.2,16.2,57.6,0.4,20.4
2022-02-20,21.2,26.1,16.5,79.0,71.6,20.0
2022-02-27,22.1,26.8,18.1,75.1,62.2,19.7
2022-03-06,19.4,24.1,14.7,73.6,40.6,18.1
2022-03-13,19.6,25.2,13.9,69.7,20.2,17.4
2022-03-20,17.6,22.0,13.3,78.3,40.1,27.4
2022-03-27,16.2,21.7,10.8,65.0,6.0,20.7
2022-04-03,18.0,24.2,12.4,73.3,3.6,15.4
2022-04-10,16.0,21.4,11.2,73.0,26.3,15.7
2022-04-17,17.0,21.8,12.7,73.0,3.7,16.9
2022-04-24,14.8,19.1,9.8,71.6,59.2,22.6
2022-05-01,12.8,18.9,7.6,78.3,0.1,13.7
2022-05-08,13.8,19.0,9.7,79.1,0.0,14.7
2022-05-15,11.1,15.6,7.1,72.0,0.2,23.7
2022-05-22,11.2,16.2,7.1,82.6,10.3,15.8
2022-05-29,6.1,11.3,1.8,72.4,0.0,14.7
2022-06-05,8.2,13.6,4.7,81.3,0.4,14.1
2022-06-12,9.6,16.0,4.7,75.1,0.0,16.3
2022-06-19,7.9,12.7,4.1,73.0,0.6,17.1
2022-06-26,9.4,13.8,6.0,77.0,1.6,17.6
2022-07-03,9.8,14.3,4.8,79.6,2.5,18.6
2022-07-10,10.7,14.0,7.0,77.1,4.6,23.5
2022-07-17,10.6,16.5,5.9,80.9,2.0,16.7
2022-07-24,14.0,18.6,10.5,82.7,82.0,20.6
2022-07-31,10.8,15.8,6.7,81.1,0.7,15.4
2022-08-07,11.1,16.1,7.4,77.6,1.4,18.1
2022-08-14,11.1,16.6,6.4,59.1,5.2,22.4
2022-08-21,14.0,20.4,8.5,76.3,11.8,16.4
2022-08-28,11.3,16.8,6.3,68.6,3.8,19.6
2022-09-04,13.5,20.0,7.6,64.4,23.5,20.9
2022-09-11,14.3,20.6,8.7,72.3,0.0,16.9
2022-09-18,14.1,19.3,9.5,70.6,10.7,17.1
2022-09-25,15.1,21.2,9.7,63.9,0.2,16.9
2022-10-02,16.1,22.3,10.5,62.7,6.0,23.0
2022-10-09,14.3,20.3,8.9,55.0,5.8,22.2
2022-10-16,16.4,21.3,12.3,76.0,18.6,22.6
2022-10-23,19.3,24.5,14.2,64.4,16.2,22.2
2022-10-30,16.3,22.4,10.1,59.3,1.7,21.6
2022-11-06,21.5,26.9,16.4,58.1,0.0,21.0
2022-11-13,23.8,30.0,18.1,56.7,12.6,23.5
2022-11-20,21.7,27.9,15.1,60.6,18.8,22.4
2022-11-27,24.0,29.5,19.3,61.3,24.0,20.7
2022-12-04,27.7,34.8,20.8,53.4,9.1,20.8
2022-12-11,23.1,29.7,17.1,52.4,5.8,23.7
2022-12-18,24.2,29.1,19.8,58.6,31.9,23.4
2022-12-25,24.1,30.8,16.8,44.4,0.2,19.7
2023-01-01,25.0,31.7,18.9,51.9,7.5,24.3
2023-01-08,25.1,31.1,19.8,55.0,9.1,19.5
2023-01-15,27.5,33.0,22.6,54.1,7.6,23.6
2023-01-22,25.6,30.7,20.9,66.6,16.1,18.3
2023-01-29,23.7,28.9,19.4,70.3,4.3,19.3
2023-02-05,27.2,33.8,20.7,58.0,3.6,16.6
2023-02-12,22.3,27.7,16.6,55.0,15.0,25.9
2023-02-19,23.2,29.2,17.3,59.9,5.1,18.3
2023-02-26,26.8,33.5,21.3,53.4,6.2,20.4
2023-03-05,27.8,33.5,23.1,63.0,1.2,18.0
2023-03-12,27.3,31.9,23.8,70.1,23.8,18.1
2023-03-19,22.6,26.7,19.5,69.3,37.8,20.8
2023-03-26,18.8,23.4,13.9,64.6,65.6,21.6
2023-04-02,19.0,23.5,15.5,75.3,28.2,16.0
2023-04-09,17.7,22.8,12.9,66.6,0.9,17.6
2023-04-16,14.8,19.8,10.1,69.6,10.9,19.6
2023-04-23,18.9,24.4,15.0,79.3,3.8,16.4
2023-04-30,14.9,20.6,10.1,72.9,22.3,19.9
2023-05-07,13.8,18.7,9.9,77.1,0.4,15.7
2023-05-14,16.2,21.7,11.5,77.7,11.1,18.8
2023-05-21,16.9,19.8,13.9,83.7,87.6,22.5
2023-05-28,13.3,17.9,9.2,83.1,4.2,14.2
2023-06-04,14.6,18.4,9.6,74.7,4.6,20.6
2023-06-11,6.6,12.2,1.8,75.6,0.1,13.9
2023-06-18,10.1,14.4,6.3,88.4,5.2,14.2
2023-06-25,10.8,15.8,6.9,81.3,0.4,16.2
2023-07-02,14.4,18.7,11.1,81.1,15.0,20.6
2023-07-09,9.5,12.7,6.3,82.3,25.9,19.2
2023-07-16,10.6,15.5,5.7,77.6,0.4,20.4
2023-07-23,10.6,14.4,6.9,76.3,6.0,19.6
2023-07-30,14.1,19.7,9.1,75.0,0.0,19.2
2023-08-06,11.4,15.4,7.9,69.7,0.8,22.9
2023-08-13,14.0,18.5,9.9,64.3,16.1,22.8
2023-08-20,10.5,15.1,5.9,68.3,32.6,18.2
2023-08-27,12.0,17.3,7.3,66.6,1.8,18.5
2023-09-03,11.4,15.2,7.5,74.9,23.3,21.2
2023-09-10,14.9,20.1,10.2,64.9,10.6,24.8
2023-09-17,14.3,17.9,10.9,77.7,1.5,22.8
2023-09-24,12.8,17.3,8.5,71.1,1.8,19.3
2023-10-01,15.2,21.2,9.5,60.1,4.1,19.8
2023-10-08,16.3,22.3,10.2,54.9,1.4,21.2
2023-10-15,17.2,22.3,12.9,67.0,5.1,19.9
2023-10-22,18.0,23.2,13.2,72.6,18.9,18.5
2023-10-29,14.9,18.9,11.0,73.9,74.3,27.4
2023-11-05,19.5,24.7,14.3,68.3,42.9,20.9
2023-11-12,18.6,23.6,13.3,61.6,6.3,23.0
2023-11-19,20.8,26.9,14.5,53.9,3.0,21.6
2023-11-26,23.9,29.2,18.2,69.0,22.0,22.1
2023-12-03,19.2,23.5,15.2,70.0,14.2,21.9
2023-12-10,25.0,29.7,20.5,71.4,25.0,21.6
2023-12-17,21.5,25.7,17.0,72.9,30.4,22.8
2023-12-24,22.2,27.3,15.8,61.7,20.2,19.6
2023-12-31,24.2,28.4,20.3,64.6,16.8,19.1
2024-01-07,23.9,29.5,18.4,68.0,14.0,17.9
2024-01-14,23.9,29.5,18.7,64.4,15.9,20.6
2024-01-21,24.4,29.6,19.3,57.7,0.0,19.8
2024-01-28,28.4,34.0,23.0,54.9,3.1,18.8
2024-02-04,26.3,31.3,22.8,73.0,65.6,25.2
2024-02-11,22.3,26.5,17.6,69.6,19.5,20.1
2024-02-18,24.3,28.5,20.8,73.7,3.0,17.6
2024-02-25,23.5,28.3,19.5,77.6,32.8,20.2
2024-03-03,20.7,25.7,16.1,64.7,18.5,19.1
2024-03-10,23.4,26.8,20.5,83.1,131.7,20.3
2024-03-17,20.6,24.6,16.8,75.4,56.9,22.4
2024-03-24,21.5,26.8,16.8,77.0,0.2,14.9
2024-03-31,18.0,22.8,13.5,74.7,10.2,16.2
2024-04-07,17.7,21.6,14.1,74.7,21.4,21.9
2024-04-14,18.8,22.8,15.3,78.4,39.9,23.1
2024-04-21,16.0,19.5,12.7,79.3,42.2,21.5
2024-04-28,13.4,17.9,8.6,74.1,6.8,18.0
2024-05-05,14.6,18.6,11.1,81.1,6.9,17.6
2024-05-12,9.0,13.6,5.1,75.7,3.9,18.5
2024-05-19,9.4,13.5,5.5,78.3,0.5,18.5
2024-05-26,11.2,14.9,7.9,81.9,1.1,16.7
2024-06-02,12.7,16.7,9.3,82.3,6.8,16.9
2024-06-09,17.2,21.2,13.5,78.3,11.9,20.2
2024-06-16,13.4,17.3,10.2,86.7,9.4,17.4
2024-06-23,8.6,12.3,5.1,70.1,3.1,21.6
2024-06-30,6.8,12.5,1.7,67.4,0.0,17.9
2024-07-07,3.5,9.9,-1.8,67.6,0.0,11.1
2024-07-14,9.2,14.5,5.0,82.6,2.6,16.1
2024-07-21,12.2,17.5,8.1,81.4,12.3,15.9
2024-07-28,13.4,17.9,9.5,69.4,35.5,23.9
2024-08-04,10.4,14.4,6.8,76.3,10.9,23.7
2024-08-11,10.4,15.5,5.9,69.7,0.2,20.6
2024-08-18,9.8,13.2,6.4,80.1,20.6,22.4
2024-08-25,9.9,14.6,5.8,81.3,62.7,20.0
2024-09-01,12.5,18.0,7.9,69.1,0.1,21.3
2024-09-08,13.9,19.4,8.9,74.1,0.6,17.9
2024-09-15,16.8,22.8,10.8,65.3,7.7,19.8
2024-09-22,15.9,21.9,10.5,67.9,0.6,21.7
2024-09-29,17.0,23.1,11.5,64.6,7.0,20.8
2024-10-06,17.4,22.3,13.0,73.3,12.9,20.6
2024-10-13,19.1,24.5,14.4,78.4,3.1,17.0
2024-10-20,20.0,24.7,15.3,72.7,33.8,25.5
2024-10-27,22.1,27.7,16.4,69.9,13.8,19.1
2024-11-03,19.3,24.4,14.0,70.6,69.8,21.1
2024-11-10,21.6,27.8,15.4,57.0,8.6,21.5
2024-11-17,19.9,24.9,15.4,68.0,28.2,17.3
2024-11-24,22.5,27.6,18.6,75.6,53.2,17.5
2024-12-01,19.3,24.4,14.1,58.7,25.9,18.2
2024-12-08,21.7,27.3,16.5,63.1,4.4,15.7
2024-12-15,22.1,27.5,16.8,59.7,2.3,15.4
2024-12-22,21.1,26.5,15.7,62.1,3.0,15.5
2024-12-29,23.2,29.5,17.7,61.7,24.9,16.8
2025-01-05,24.5,30.7,18.7,57.7,0.0,13.0
2025-01-12,27.2,33.1,22.3,53.9,5.7,15.0
2025-01-19,25.1,30.5,20.1,65.7,21.3,15.1
2025-01-26,25.5,30.9,20.8,64.0,9.5,15.1
2025-02-02,26.3,31.7,21.6,67.3,51.9,14.2
2025-02-09,23.8,29.7,19.4,70.9,34.1,16.9
2025-02-16,23.7,29.4,18.6,67.4,6.3,13.7
2025-02-23,24.6,28.0,22.1,82.6,43.6,16.3
2025-03-02,25.2,29.6,22.0,83.0,81.5,17.2
2025-03-09,17.3,21.8,12.9,71.3,1.9,12.8
2025-03-16,23.2,28.6,18.7,72.4,30.8,12.1
2025-03-23,20.1,24.7,16.7,84.4,34.6,14.0
2025-03-30,15.6,20.8,10.5,71.7,33.1,17.2
2025-04-06,18.8,22.4,15.8,82.1,28.1,19.2
2025-04-13,15.3,20.7,11.5,77.9,24.9,14.4
2025-04-20,17.2,22.0,13.0,76.0,16.0,12.7
2025-04-27,15.8,21.7,10.8,71.4,0.0,11.5
2025-05-04,17.6,21.6,14.5,84.7,56.2,15.4
2025-05-11,17.7,21.4,14.6,84.4,97.7,14.9
2025-05-18,11.5,15.8,7.8,74.3,3.7,13.1
2025-05-25,11.4,15.6,7.8,79.7,27.8,18.0
2025-06-01,10.7,16.2,5.8,77.4,0.0,11.0
2025-06-08,10.1,13.5,7.0,84.1,24.2,13.9
2025-06-15,9.4,14.6,4.9,80.3,1.2,11.9
2025-06-22,7.5,12.4,3.1,65.9,6.3,19.1
2025-06-29,5.3,9.8,1.5,75.3,0.7,14.6
2025-07-06,11.7,16.4,8.3,85.3,2.7,11.8
2025-07-13,11.6,16.3,7.8,82.0,17.8,16.4
2025-07-20,10.6,14.6,6.8,81.4,7.6,15.4
2025-07-27,12.5,16.6,9.1,76.0,37.2,19.5
2025-08-03,9.0,13.7,5.1,72.6,0.1,11.1
2025-08-10,10.0,14.7,5.6,72.7,1.6,14.3
2025-08-17,13.3,16.6,10.2,78.6,95.0,22.2
2025-08-24,14.5,20.0,9.9,71.7,0.0,15.9
2025-08-31,10.9,15.5,6.7,74.6,46.1,15.8
2025-09-07,13.9,19.6,9.0,69.4,2.2,13.5
2025-09-14,16.8,21.8,12.6,83.9,61.7,13.5
2025-09-21,13.5,17.9,9.1,73.7,16.9,20.9
2025-09-28,18.2,23.7,13.0,71.1,0.0,13.4
2025-10-05,17.6,23.3,12.1,65.9,27.6,17.4
2025-10-12,17.8,22.6,13.4,71.1,3.6,16.3
2025-10-19,19.7,24.2,15.3,66.7,70.5,19.9
2025-10-26,14.6,19.2,10.0,69.4,2.1,14.8
2025-11-02,16.7,20.9,13.0,78.1,35.4,14.9
2025-11-09,20.9,27.3,13.9,62.6,0.6,14.0
2025-11-16,17.6,23.3,12.0,64.6,32.4,19.8
2025-11-23,20.9,26.2,15.6,69.6,23.6,14.7
2025-11-30,22.9,27.9,17.8,68.6,6.3,15.2
2025-12-07,22.6,28.7,17.6,69.6,14.5,16.6
2025-12-14,22.9,28.3,17.5,57.9,13.9,18.6
2025-12-21,26.0,32.2,19.8,62.1,9.9,15.1
2025-12-28,26.1,32.1,19.6,44.7,0.4,16.7
2026-01-04,21.2,26.2,15.6,58.9,17.7,17.9
2026-01-11,26.2,33.2,19.5,60.9,15.4,14.7
2026-01-18,23.9,29.3,18.5,52.0,0.9,16.6
2026-01-25,26.1,32.2,20.8,62.1,3.7,15.2
2026-02-01,25.1,30.4,19.9,58.4,11.6,15.4
2026-02-08,24.8,30.4,19.3,49.1,0.0,16.4
2026-02-15,23.5,29.8,18.3,69.7,11.6,14.9
2026-02-22,23.0,28.6,17.8,61.3,1.9,15.6
2026-03-01,23.1,28.1,18.9,67.7,6.2,16.3
2026-03-08,21.7,26.5,17.3,66.9,1.8,14.8
2026-03-15,22.6,28.2,17.3,70.9,63.0,19.1
2026-03-22,19.2,24.8,13.7,71.6,6.1,12.0
2026-03-29,22.8,26.6,19.2,84.6,61.4,15.5
2026-04-05,16.3,20.1,12.8,80.6,35.7,17.3
2026-04-12,19.8,24.4,16.1,84.3,38.2,13.4
2026-04-19,17.3,22.2,13.1,80.3,15.6,14.5
2026-04-26,13.7,19.0,8.8,66.1,0.2,20.1
2026-05-03,13.9,18.5,9.7,74.7,41.1,20.7
2026-05-10,10.9,16.2,6.1,72.1,0.9,14.8
2026-05-17,8.9,14.2,4.5,73.7,0.2,11.4
2026-05-24,11.3,15.3,8.1,88.7,0.6,9.4
2026-05-31,13.4,16.9,10.6,87.7,0.6,10.5
2026-06-07,11.4,15.1,8.4,91.7,50.0,12.2
2026-06-14,8.8,14.0,4.6,76.7,9.8,15.0
2026-06-21,8.0,13.0,4.3,76.1,0.0,14.4
2026-06-28,5.9,11.7,1.5,78.7,1.8,11.9
2026-07-05,9.1,13.3,5.4,82.4,7.1,13.8
2026-07-12,13.2,16.9,9.7,83.4,6.0,16.2
2026-07-19,11.4,14.6,8.8,85.9,24.5,15.8
2026-07-26,14.0,18.2,10.2,86.4,38.0,16.8
2026-08-02,11.8,15.1,8.9,85.3,41.1,16.5
2026-08-09,9.1,12.6,6.1,78.9,5.4,15.2
2026-08-16,10.2,14.7,6.2,75.0,0.5,16.1
2026-08-23,10.8,16.2,6.7,75.6,10.0,12.7
2026-08-30,13.0,18.4,8.5,74.1,10.2,16.8
2026-09-06,10.8,16.1,6.3,68.4,3.9,13.4
2026-09-13,13.1,19.2,7.3,65.0,0.0,13.2
2026-09-20,15.2,20.4,10.6,67.5,4.2,29.2
