week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,30.3,18.5,56.7,10.6,21.9
2022-01-09,28.6,35.6,22.2,49.0,2.7,22.7
2022-01-16,24.4,28.4,21.7,82.3,57.5,26.0
2022-01-23,22.3,27.0,17.5,76.1,10.2,17.5
2022-01-30,22.3,26.7,17.6,68.0,31.4,19.2
2022-02-06,19.7,24.9,14.4,68.9,7.0,23.0
2022-02-13,22.5,28.7,16.3,58.7,0.7,20.1
2022-02-20,21.0,25.8,16.5,79.7,66.7,20.2
2022-02-27,21.9,26.6,17.7,74.9,41.6,21.0
2022-03-06,19.3,23.9,14.8,73.0,30.4,18.7
2022-03-13,19.4,24.8,14.0,71.0,17.1,17.5
2022-03-20,17.4,21.6,13.3,78.6,37.8,28.0
2022-03-27,16.1,21.3,11.1,66.1,3.0,21.7
2022-04-03,17.8,23.9,12.5,73.6,2.8,15.6
2022-04-10,15.8,21.3,11.0,73.7,17.3,15.2
2022-04-17,16.9,21.5,12.6,73.3,4.6,17.4
2022-04-24,14.7,19.0,9.7,72.3,54.5,23.6
2022-05-01,12.6,18.4,7.8,80.1,0.0,13.7
2022-05-08,13.7,18.7,9.7,80.1,0.0,15.6
2022-05-15,11.1,15.3,7.1,72.9,0.2,24.2
2022-05-22,11.0,15.9,6.9,82.4,6.3,16.1
2022-05-29,5.8,11.1,1.4,73.1,0.0,14.8
2022-06-05,8.5,13.3,4.9,81.4,0.5,14.4
2022-06-12,9.4,15.5,4.9,75.6,0.0,16.7
2022-06-19,7.6,12.4,3.8,74.3,0.2,17.1
2022-06-26,9.1,13.6,5.6,77.6,3.9,17.8
2022-07-03,9.5,14.1,4.3,79.9,2.7,19.0
2022-07-10,10.6,13.7,7.1,78.6,10.5,24.3
2022-07-17,10.4,15.9,6.0,81.7,0.2,17.3
2022-07-24,13.6,17.7,10.4,83.4,87.3,21.3
2022-07-31,10.4,15.4,6.4,83.1,0.2,15.2
2022-08-07,10.8,15.6,7.4,79.0,0.4,18.0
2022-08-14,11.0,16.2,6.3,60.4,8.2,23.1
2022-08-21,13.9,19.9,8.3,77.3,1.0,16.2
2022-08-28,11.1,16.5,6.0,68.9,7.3,19.4
2022-09-04,13.3,19.7,7.8,66.0,12.9,20.6
2022-09-11,14.0,20.4,8.5,72.9,0.1,16.0
2022-09-18,13.9,19.0,9.3,71.1,9.6,15.8
2022-09-25,14.8,21.0,9.6,65.6,0.5,17.4
2022-10-02,15.8,22.0,10.4,64.9,7.0,23.6
2022-10-09,14.0,20.1,8.6,57.0,6.5,23.5
2022-10-16,16.2,20.7,12.0,77.1,17.1,23.9
2022-10-23,19.0,24.4,14.1,65.0,12.8,23.6
2022-10-30,16.1,22.1,10.1,59.4,1.5,22.6
2022-11-06,21.3,26.9,15.9,58.4,0.2,21.3
2022-11-13,24.0,30.2,18.2,55.6,14.8,23.4
2022-11-20,21.8,28.3,15.1,59.0,10.3,23.4
2022-11-27,23.8,29.3,18.9,61.7,12.7,21.4
2022-12-04,27.4,34.7,20.6,53.6,5.3,20.1
2022-12-11,22.6,28.9,16.8,55.0,10.5,23.5
2022-12-18,23.9,28.7,19.4,59.7,14.7,23.2
2022-12-25,23.7,30.4,16.7,46.7,0.2,20.0
2023-01-01,24.7,31.6,18.6,53.1,10.6,24.5
2023-01-08,24.9,31.0,19.7,57.3,3.3,20.7
2023-01-15,27.3,32.9,22.4,54.1,4.8,24.2
2023-01-22,25.4,30.5,20.6,66.6,10.7,18.6
2023-01-29,23.7,29.4,19.1,68.6,11.7,20.5
2023-02-05,27.3,34.0,20.8,56.6,0.4,19.1
2023-02-12,21.9,27.1,16.5,57.6,31.1,25.8
2023-02-19,22.7,28.6,16.9,62.6,2.4,17.7
2023-02-26,26.5,32.7,21.2,55.3,1.4,19.8
2023-03-05,27.4,33.1,22.6,64.6,0.2,19.6
2023-03-12,27.1,31.6,23.6,71.0,13.7,16.6
2023-03-19,22.5,26.7,19.2,69.7,23.4,20.6
2023-03-26,18.7,23.1,13.9,65.7,16.0,22.1
2023-04-02,18.7,22.9,15.3,77.3,28.2,16.5
2023-04-09,17.2,22.0,12.6,69.3,2.8,17.2
2023-04-16,14.4,19.4,9.8,71.7,9.2,20.8
2023-04-23,18.7,23.7,15.2,80.7,3.9,17.1
2023-04-30,14.7,20.4,10.1,73.9,22.2,19.5
2023-05-07,13.7,18.3,9.8,78.3,0.0,17.3
2023-05-14,16.1,21.3,11.8,78.6,11.6,18.5
2023-05-21,16.7,19.5,13.6,84.3,83.6,23.1
2023-05-28,13.1,17.6,8.9,82.6,2.8,14.8
2023-06-04,14.4,18.0,9.5,75.7,6.7,21.2
2023-06-11,6.5,12.1,1.9,76.3,0.0,14.8
2023-06-18,10.1,14.3,6.2,87.9,3.8,14.2
2023-06-25,10.7,15.8,6.7,81.4,0.7,16.3
2023-07-02,14.0,18.1,10.8,82.1,15.7,21.3
2023-07-09,9.5,12.7,6.2,81.7,19.4,19.1
2023-07-16,10.3,15.0,5.6,77.6,0.2,21.2
2023-07-23,10.5,14.3,6.6,76.7,6.9,20.9
2023-07-30,14.0,19.4,9.0,75.0,0.0,19.7
2023-08-06,11.2,15.3,7.9,69.9,1.0,23.0
