week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,29.1,19.5,61.0,6.7,23.9
2022-01-09,28.8,35.0,23.1,51.0,2.9,23.2
2022-01-16,25.0,28.2,22.3,83.6,55.4,24.5
2022-01-23,22.8,26.8,18.6,76.6,11.2,18.5
2022-01-30,22.8,27.0,18.7,69.7,41.9,18.8
2022-02-06,20.1,25.0,14.9,69.3,4.8,23.1
2022-02-13,22.6,28.5,16.7,60.6,0.0,20.5
2022-02-20,21.5,25.5,17.0,80.1,87.4,20.0
2022-02-27,22.4,26.5,18.7,76.7,44.2,20.9
2022-03-06,19.7,23.8,15.3,75.0,75.0,18.4
2022-03-13,19.8,25.1,14.6,69.9,32.9,18.2
2022-03-20,17.8,22.0,13.9,78.9,40.4,28.0
2022-03-27,16.2,21.8,10.8,66.0,2.2,21.4
2022-04-03,18.0,23.3,13.1,76.0,3.6,16.0
2022-04-10,16.2,21.2,11.4,74.1,23.3,16.4
2022-04-17,17.0,21.3,12.9,74.6,4.1,16.5
2022-04-24,15.1,19.2,10.4,71.4,59.5,23.5
2022-05-01,12.9,18.8,8.1,80.1,0.2,14.1
2022-05-08,14.1,19.0,10.2,79.4,0.0,14.5
2022-05-15,11.3,15.6,7.1,71.4,0.3,23.3
2022-05-22,11.6,16.2,7.8,83.7,15.2,17.4
2022-05-29,6.3,11.4,1.8,73.3,0.0,15.0
2022-06-05,8.3,13.5,4.7,81.7,0.1,14.2
2022-06-12,9.7,15.8,5.0,75.6,0.0,16.8
2022-06-19,8.3,12.5,4.2,74.3,0.2,17.8
2022-06-26,9.8,14.1,6.5,76.3,5.0,17.9
2022-07-03,10.3,14.5,5.3,80.7,4.6,19.8
2022-07-10,10.8,13.9,7.3,77.7,6.6,23.8
2022-07-17,10.9,16.5,6.8,82.3,2.7,17.8
2022-07-24,14.0,18.3,10.8,83.3,41.5,20.9
2022-07-31,11.1,15.5,7.2,82.0,0.2,16.5
2022-08-07,11.6,15.8,8.1,77.6,1.4,19.8
2022-08-14,11.5,16.9,6.6,58.4,5.4,22.7
2022-08-21,13.9,19.5,8.7,79.0,6.2,16.2
2022-08-28,11.7,16.7,6.9,68.7,5.2,19.8
2022-09-04,13.5,20.2,7.7,65.1,19.9,19.9
2022-09-11,14.6,20.0,9.2,72.7,0.0,17.6
2022-09-18,14.3,18.9,9.8,71.4,14.0,18.8
2022-09-25,15.4,20.5,10.8,66.9,0.7,20.1
2022-10-02,16.4,22.1,11.3,63.3,2.7,25.7
2022-10-09,15.0,19.9,9.9,54.1,2.0,23.1
2022-10-16,16.5,20.5,13.4,78.9,21.6,26.1
2022-10-23,19.6,24.7,14.9,65.0,15.7,24.1
2022-10-30,16.5,22.0,10.6,61.1,3.8,23.9
2022-11-06,21.3,26.0,17.0,62.0,0.0,22.3
2022-11-13,23.1,28.7,17.9,62.3,14.5,25.8
2022-11-20,21.3,26.6,15.6,65.4,12.3,23.8
2022-11-27,23.6,28.2,19.5,66.0,14.4,21.8
2022-12-04,27.5,33.6,21.8,58.1,6.4,23.8
2022-12-11,23.3,29.1,18.2,55.0,8.5,25.5
2022-12-18,23.6,27.8,20.1,64.6,23.2,26.4
2022-12-25,23.3,29.1,16.9,51.1,0.1,21.4
2023-01-01,24.5,30.3,18.9,55.7,6.5,26.3
2023-01-08,25.1,30.4,20.4,58.0,3.6,22.8
2023-01-15,27.4,32.5,23.2,56.3,6.1,26.5
2023-01-22,26.1,31.3,21.5,65.4,20.8,21.5
2023-01-29,23.7,27.6,20.2,73.0,10.4,21.6
2023-02-05,27.4,33.6,21.3,58.4,1.2,17.3
2023-02-12,23.0,28.6,17.4,52.1,7.7,26.3
2023-02-19,23.8,29.7,18.2,58.3,3.4,19.2
2023-02-26,27.7,34.0,22.4,51.3,0.4,20.8
2023-03-05,28.4,34.0,24.0,61.9,0.5,21.2
2023-03-12,27.7,31.8,24.4,70.3,38.2,19.2
2023-03-19,23.1,26.6,20.2,71.3,50.0,22.3
2023-03-26,19.0,22.9,14.3,67.7,20.5,22.1
2023-04-02,19.2,22.7,16.0,78.7,33.7,17.4
2023-04-09,17.5,22.0,13.1,69.6,6.9,16.8
2023-04-16,14.8,19.4,10.3,71.1,12.7,20.6
2023-04-23,18.8,23.5,15.1,80.7,1.7,17.5
2023-04-30,15.3,20.3,10.9,74.0,22.7,22.4
2023-05-07,14.1,19.1,10.0,76.3,0.0,15.7
2023-05-14,16.5,21.5,12.1,77.3,17.2,18.7
2023-05-21,17.1,20.1,14.1,84.3,85.6,22.8
2023-05-28,13.7,18.0,9.5,83.1,6.2,14.6
2023-06-04,15.1,18.5,10.1,74.9,7.5,21.5
2023-06-11,6.9,12.4,1.8,74.9,0.1,14.2
2023-06-18,10.2,14.3,6.1,88.7,3.6,14.8
2023-06-25,11.0,15.9,7.4,81.9,2.3,15.8
2023-07-02,14.8,18.8,11.4,81.3,12.0,22.2
2023-07-09,9.7,12.7,6.4,84.1,31.7,20.1
2023-07-16,10.7,15.8,5.7,77.3,5.4,20.1
2023-07-23,10.8,14.6,7.2,77.6,5.4,20.5
2023-07-30,14.4,20.1,9.6,75.6,0.0,19.4
2023-08-06,11.7,15.9,8.2,69.3,3.8,22.5
2023-08-13,14.2,19.2,9.5,63.3,20.4,22.7
2023-08-20,10.7,15.4,5.9,69.3,19.6,18.5
