week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,25.0,30.5,19.2,56.1,11.9,21.4
2022-01-09,29.5,36.5,22.6,44.7,1.7,23.2
2022-01-16,25.0,29.2,21.7,81.7,51.9,22.4
2022-01-23,22.6,27.0,17.8,75.9,12.6,16.6
2022-01-30,22.6,27.3,17.9,68.9,40.9,18.2
2022-02-06,19.9,25.2,14.5,69.1,9.6,20.6
2022-02-13,22.5,29.1,16.1,59.6,0.1,18.3
2022-02-20,21.4,25.9,16.7,77.9,75.3,19.5
2022-02-27,22.3,27.0,18.2,75.6,51.6,18.9
2022-03-06,19.5,24.2,14.9,75.0,28.7,17.5
2022-03-13,19.8,25.3,14.3,68.3,15.3,16.8
2022-03-20,17.6,22.1,13.3,78.3,36.1,26.9
2022-03-27,16.0,21.8,10.3,65.1,15.6,19.5
2022-04-03,18.1,24.1,12.5,73.4,1.8,15.0
2022-04-10,16.0,21.8,11.0,72.7,16.5,16.4
2022-04-17,16.8,21.9,12.0,73.1,2.3,16.1
2022-04-24,14.9,19.4,9.9,71.1,47.5,22.2
2022-05-01,12.7,19.0,7.5,78.9,0.2,13.5
2022-05-08,13.7,19.2,9.6,79.3,0.0,13.9
2022-05-15,11.2,15.6,6.9,70.9,0.3,22.5
2022-05-22,11.3,16.6,7.3,83.0,18.8,16.8
2022-05-29,6.2,11.7,1.3,72.7,0.0,14.0
2022-06-05,8.1,13.9,4.2,81.0,0.2,14.0
2022-06-12,9.6,16.4,4.6,74.4,0.0,16.5
2022-06-19,8.0,12.8,3.8,73.3,0.1,16.5
2022-06-26,9.5,14.2,6.0,76.6,2.7,16.8
2022-07-03,10.1,14.8,4.6,78.7,2.9,17.9
2022-07-10,10.6,14.1,6.9,76.6,2.1,23.1
2022-07-17,10.8,17.0,5.9,81.1,0.2,16.4
2022-07-24,14.2,18.9,10.8,82.7,48.7,19.2
2022-07-31,10.7,16.2,6.1,80.9,0.1,15.8
2022-08-07,11.2,16.6,7.0,76.6,1.2,19.1
2022-08-14,11.3,17.1,6.3,57.7,7.8,21.8
2022-08-21,14.2,20.8,8.1,74.9,17.6,15.0
2022-08-28,11.4,17.5,6.0,66.9,1.6,18.5
2022-09-04,13.5,20.9,7.1,62.9,12.4,19.5
2022-09-11,14.6,21.4,8.3,68.9,0.1,16.8
