week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.9,30.3,19.0,56.4,14.0,21.8
2022-01-09,29.3,36.1,22.4,45.1,2.1,22.1
2022-01-16,24.6,28.7,21.3,81.9,48.3,24.1
2022-01-23,22.6,27.2,17.6,75.4,18.3,17.2
2022-01-30,22.7,27.4,17.9,67.4,44.4,18.7
2022-02-06,20.0,25.4,14.6,68.0,13.1,22.6
2022-02-13,22.7,29.2,16.2,57.3,0.4,19.5
2022-02-20,21.2,26.1,16.6,78.3,102.8,19.3
2022-02-27,22.2,27.1,18.1,74.9,82.0,20.1
2022-03-06,19.5,24.2,14.9,73.6,37.6,17.6
2022-03-13,19.9,25.3,14.3,67.1,25.5,17.1
2022-03-20,17.6,22.0,13.3,77.9,40.0,28.0
2022-03-27,16.3,21.8,10.7,64.9,10.1,20.5
2022-04-03,18.1,24.2,12.6,72.6,4.1,15.5
2022-04-10,16.1,21.6,11.1,72.6,21.1,16.2
2022-04-17,17.1,22.1,12.4,72.0,3.2,16.7
2022-04-24,14.9,19.4,9.8,70.3,61.6,22.7
2022-05-01,12.8,19.0,7.8,77.1,0.1,13.4
2022-05-08,13.7,19.2,9.7,78.6,0.0,14.3
2022-05-15,11.3,15.7,7.3,70.9,0.1,23.5
2022-05-22,11.3,16.6,7.1,81.7,9.1,15.3
2022-05-29,6.2,11.5,1.8,71.6,0.0,14.3
2022-06-05,8.2,13.8,4.4,80.4,0.5,13.9
2022-06-12,9.6,16.3,4.7,74.1,0.0,16.3
2022-06-19,8.0,12.8,3.9,72.3,0.1,16.7
2022-06-26,9.5,14.0,6.2,75.6,2.1,17.6
2022-07-03,9.9,14.7,4.7,78.4,3.0,18.0
2022-07-10,10.7,14.1,7.0,76.3,3.3,22.9
2022-07-17,10.7,16.7,5.8,80.3,21.9,16.6
2022-07-24,14.1,18.8,10.7,82.1,76.2,20.1
2022-07-31,10.8,16.1,6.4,80.6,0.3,15.4
2022-08-07,11.1,16.5,7.1,76.7,2.2,18.3
2022-08-14,11.3,16.9,6.7,57.0,6.0,22.7
2022-08-21,14.1,20.5,8.2,75.0,7.9,15.7
2022-08-28,11.5,17.4,6.2,66.6,1.9,19.3
2022-09-04,13.7,20.6,7.6,61.3,21.0,20.2
2022-09-11,14.7,21.2,8.5,69.0,0.1,17.4
2022-09-18,14.4,19.6,9.7,68.1,10.2,17.4
2022-09-25,15.4,21.6,9.5,60.7,0.1,17.9
2022-10-02,16.4,22.7,10.6,60.3,4.5,23.0
2022-10-09,14.5,20.7,8.9,52.7,4.4,22.4
2022-10-16,16.5,21.5,12.2,75.4,18.8,22.9
2022-10-23,19.5,25.0,14.2,62.9,18.7,22.1
2022-10-30,16.7,22.9,10.3,56.1,1.1,21.9
2022-11-06,21.7,27.2,16.5,56.6,0.0,21.1
2022-11-13,24.0,30.4,18.2,55.9,10.5,24.0
2022-11-20,21.5,27.6,15.3,61.0,8.5,22.1
2022-11-27,24.0,29.3,19.2,62.1,21.4,20.2
2022-12-04,27.5,34.4,20.7,54.1,4.5,20.3
2022-12-11,22.9,29.5,16.9,52.9,7.7,23.2
2022-12-18,24.1,29.0,19.8,59.1,34.4,23.2
2022-12-25,23.9,30.4,16.8,45.3,0.0,18.9
2023-01-01,25.0,31.4,18.8,51.6,8.5,24.0
2023-01-08,25.3,31.3,19.8,53.7,8.5,19.3
2023-01-15,27.9,33.7,22.7,51.9,7.2,23.6
2023-01-22,25.8,31.3,21.0,64.6,17.7,18.9
2023-01-29,23.8,29.0,19.5,69.7,7.5,19.2
2023-02-05,27.7,34.4,21.1,54.0,2.8,16.2
2023-02-12,22.9,28.4,16.8,51.3,11.4,26.0
2023-02-19,23.7,29.8,17.6,55.6,10.0,17.7
2023-02-26,27.5,34.3,21.7,50.0,8.4,20.2
2023-03-05,28.4,34.8,23.3,59.3,0.1,17.7
2023-03-12,27.5,32.3,23.9,68.6,22.6,18.4
2023-03-19,22.7,26.7,19.3,69.6,43.0,21.5
2023-03-26,19.0,23.7,14.0,63.9,32.1,21.8
2023-04-02,19.0,23.6,15.4,75.0,47.9,16.0
2023-04-09,17.7,22.8,12.9,65.6,2.9,17.4
2023-04-16,15.0,19.9,10.2,67.4,8.1,20.2
2023-04-23,18.9,24.5,14.9,78.3,3.7,15.9
2023-04-30,15.0,20.9,10.1,71.9,21.4,19.5
2023-05-07,14.0,19.1,10.0,75.9,0.2,15.9
2023-05-14,16.3,22.1,11.6,76.1,12.0,18.3
2023-05-21,17.1,20.1,14.0,83.0,99.5,21.8
2023-05-28,13.4,18.2,9.1,82.3,5.2,14.0
2023-06-04,14.8,18.6,9.6,73.7,6.3,21.0
2023-06-11,6.8,12.4,2.0,73.6,0.0,13.8
2023-06-18,10.2,14.4,6.3,87.6,4.4,13.7
2023-06-25,10.7,16.0,6.6,80.9,0.2,15.9
2023-07-02,14.6,18.8,11.1,81.0,21.1,20.5
2023-07-09,9.5,12.6,6.3,82.4,30.3,18.8
2023-07-16,10.6,15.6,5.6,77.3,0.8,20.0
2023-07-23,10.7,14.5,6.9,76.1,6.7,19.9
2023-07-30,14.2,19.8,9.2,75.4,0.0,18.9
2023-08-06,11.4,15.5,7.8,69.3,1.9,22.3
2023-08-13,14.2,18.6,10.1,63.7,13.4,22.0
2023-08-20,10.6,15.3,5.9,68.3,47.7,17.5
2023-08-27,12.1,17.6,7.0,66.1,1.8,17.9
2023-09-03,11.5,15.4,7.6,74.9,28.7,20.8
2023-09-10,14.9,20.1,10.2,64.4,18.1,24.8
2023-09-17,14.4,18.0,11.0,77.1,1.5,22.3
2023-09-24,12.9,17.4,8.6,70.6,1.4,18.9
2023-10-01,15.3,21.3,9.5,59.9,2.3,19.5
2023-10-08,16.3,22.4,10.1,55.0,5.5,21.2
2023-10-15,17.3,22.3,13.1,66.9,13.0,19.9
2023-10-22,18.1,23.2,13.1,72.7,18.5,19.0
2023-10-29,15.0,19.0,11.1,74.1,80.5,27.3
2023-11-05,19.6,24.8,14.4,67.7,49.8,21.0
2023-11-12,18.6,23.5,13.3,62.0,10.7,22.3
2023-11-19,20.8,27.0,14.5,54.6,4.1,20.9
2023-11-26,23.9,29.1,18.0,69.4,26.8,21.7
2023-12-03,19.2,23.4,15.4,70.4,6.7,21.7
2023-12-10,25.0,29.8,20.3,71.6,20.7,21.5
2023-12-17,21.6,25.7,17.0,73.0,39.0,23.6
2023-12-24,22.2,27.3,16.1,62.3,32.4,18.9
2023-12-31,24.1,28.2,20.2,66.1,20.8,17.8
2024-01-07,23.8,29.3,18.4,68.7,8.0,17.5
2024-01-14,23.8,29.3,18.6,65.6,14.2,20.8
2024-01-21,24.2,29.4,19.0,58.4,0.0,19.3
2024-01-28,28.5,34.0,23.0,54.3,3.1,18.6
2024-02-04,26.6,31.5,22.9,72.0,73.7,22.1
2024-02-11,22.3,26.7,17.3,69.6,20.8,19.9
2024-02-18,24.5,29.0,20.8,72.7,1.3,17.7
2024-02-25,23.6,28.5,19.6,77.9,18.2,19.8
2024-03-03,20.7,25.8,15.8,65.1,13.7,18.5
2024-03-10,23.4,26.9,20.3,83.7,143.5,19.9
2024-03-17,20.6,24.6,16.9,76.1,80.3,22.3
2024-03-24,21.5,26.8,16.7,76.9,1.1,14.7
2024-03-31,17.9,22.9,13.4,75.1,13.9,16.4
2024-04-07,17.6,21.6,13.9,75.0,25.1,21.8
2024-04-14,18.9,22.9,15.3,78.3,39.3,22.4
2024-04-21,16.2,19.6,12.8,79.0,33.3,21.7
2024-04-28,13.5,18.0,8.6,74.0,3.6,17.9
2024-05-05,14.6,18.6,10.8,80.7,5.8,17.3
2024-05-12,9.0,13.8,5.1,75.4,2.9,18.2
2024-05-19,9.3,13.7,5.6,78.1,0.4,17.9
2024-05-26,11.1,15.0,7.8,81.6,1.2,16.9
2024-06-02,12.9,17.0,9.4,82.0,0.3,16.6
2024-06-09,17.3,21.3,13.3,78.0,8.3,20.7
2024-06-16,13.5,17.4,10.1,86.6,8.6,17.5
2024-06-23,8.7,12.3,5.2,70.0,3.5,21.5
2024-06-30,6.9,12.6,1.7,67.1,0.0,17.8
2024-07-07,3.4,10.0,-2.1,68.1,0.0,11.0
2024-07-14,9.2,14.7,4.9,82.1,3.5,15.7
2024-07-21,12.3,17.7,8.1,80.9,8.7,15.7
2024-07-28,13.4,18.0,9.2,69.1,32.8,23.2
2024-08-04,10.4,14.3,6.7,76.0,11.1,23.5
2024-08-11,10.5,15.6,5.9,68.7,0.0,20.0
2024-08-18,9.9,13.1,6.4,80.3,19.9,21.5
2024-08-25,10.0,14.7,5.8,81.4,59.9,19.7
2024-09-01,12.6,18.3,7.6,69.0,0.0,20.9
2024-09-08,13.9,19.5,8.8,74.0,0.6,17.4
2024-09-15,17.0,23.0,10.7,64.9,6.1,19.0
2024-09-22,16.1,22.1,10.6,67.6,0.9,21.5
2024-09-29,17.1,23.3,11.4,63.7,6.8,19.8
2024-10-06,17.5,22.4,13.0,72.7,7.5,20.1
2024-10-13,19.2,24.5,14.5,78.7,3.4,16.8
2024-10-20,20.1,24.8,15.4,72.7,43.1,25.3
2024-10-27,22.2,27.7,16.4,69.1,8.9,18.4
2024-11-03,19.3,24.6,13.7,70.6,41.6,20.6
2024-11-10,21.4,27.6,15.1,57.7,9.8,20.9
2024-11-17,19.9,24.7,15.3,69.0,35.7,17.2
2024-11-24,22.5,27.4,18.6,76.3,63.9,17.1
2024-12-01,19.4,24.5,14.2,57.9,27.5,18.8
2024-12-08,21.8,27.4,16.2,62.0,6.0,15.6
2024-12-15,22.1,27.2,16.8,60.3,4.3,15.7
2024-12-22,20.9,26.1,15.5,63.3,2.1,15.8
2024-12-29,23.1,29.1,17.6,63.0,5.4,15.3
2025-01-05,24.3,30.1,18.6,58.9,0.0,13.2
2025-01-12,27.0,32.7,22.2,54.6,4.0,15.4
2025-01-19,25.3,30.7,20.1,64.4,28.7,14.5
2025-01-26,25.9,31.5,21.0,60.9,10.4,15.7
2025-02-02,26.2,31.4,21.5,66.7,52.6,14.1
2025-02-09,24.0,29.6,19.4,70.4,40.4,16.6
2025-02-16,23.7,29.2,18.6,67.0,3.4,14.3
2025-02-23,24.6,28.0,21.9,82.6,33.5,17.4
2025-03-02,25.2,29.7,21.8,82.7,112.2,18.0
2025-03-09,17.2,21.8,12.7,72.0,1.5,13.2
2025-03-16,22.9,28.3,18.3,73.6,42.5,11.8
2025-03-23,20.2,24.8,16.5,84.4,30.0,15.0
2025-03-30,15.5,20.9,10.4,71.7,26.7,17.3
2025-04-06,18.9,22.6,15.8,81.1,26.3,19.6
2025-04-13,15.3,20.8,11.3,77.6,32.8,14.2
2025-04-20,17.2,22.2,12.7,75.6,26.3,12.7
2025-04-27,15.8,22.0,10.6,70.4,0.0,11.3
2025-05-04,17.7,21.8,14.4,84.1,48.2,14.8
2025-05-11,17.7,21.9,14.2,84.1,71.5,15.3
2025-05-18,11.5,16.1,7.5,73.7,3.2,12.5
2025-05-25,11.4,15.7,7.4,79.4,44.3,17.9
2025-06-01,10.4,16.5,5.4,78.4,0.0,10.9
2025-06-08,9.9,13.7,6.5,83.7,20.8,13.9
2025-06-15,9.2,14.9,4.5,80.0,1.1,11.8
2025-06-22,7.5,12.9,2.7,64.3,4.8,20.4
2025-06-29,5.2,10.1,1.1,75.0,0.8,14.4
2025-07-06,12.0,16.8,8.4,84.0,2.8,11.2
2025-07-13,11.6,16.7,7.6,81.3,21.1,16.5
2025-07-20,10.6,14.8,6.7,80.6,12.2,15.6
2025-07-27,12.5,17.1,8.9,75.1,20.2,20.0
2025-08-03,8.9,14.0,4.4,71.6,0.0,10.9
2025-08-10,9.9,15.0,5.4,73.0,0.7,14.5
2025-08-17,13.5,16.8,10.0,77.3,100.4,22.3
2025-08-24,14.6,20.4,9.8,70.3,0.0,15.7
2025-08-31,10.8,15.7,6.2,73.4,32.5,15.5
2025-09-07,13.9,19.9,8.6,68.1,1.6,13.1
2025-09-14,17.1,22.3,12.6,82.3,37.6,13.6
2025-09-21,13.7,18.2,9.1,72.4,15.9,20.8
2025-09-28,18.2,24.1,12.7,70.3,0.1,13.1
2025-10-05,17.5,23.3,11.9,66.3,31.3,18.0
2025-10-12,17.9,22.9,13.1,70.0,3.9,16.1
2025-10-19,19.7,24.6,15.0,65.6,65.2,20.5
2025-10-26,14.7,19.4,9.8,68.7,2.3,15.0
2025-11-02,16.9,21.2,13.1,77.1,26.2,14.7
2025-11-09,20.9,27.3,13.5,62.0,0.9,14.9
2025-11-16,17.8,23.5,12.1,64.3,23.8,20.0
2025-11-23,21.1,26.2,15.5,69.0,17.2,14.6
2025-11-30,22.9,28.2,17.7,68.6,5.2,14.6
2025-12-07,22.7,28.8,17.7,68.6,15.7,17.5
2025-12-14,22.7,28.1,17.4,58.7,15.6,18.6
2025-12-21,25.8,31.9,19.5,63.6,12.3,13.9
2025-12-28,25.7,31.7,19.2,47.9,1.3,16.3
2026-01-04,21.1,26.1,15.4,59.9,16.5,17.7
2026-01-11,26.4,32.8,19.6,60.3,26.6,14.6
2026-01-18,23.8,29.1,18.4,52.9,0.0,16.7
2026-01-25,26.0,31.7,20.8,62.7,1.9,15.3
2026-02-01,24.6,29.9,19.3,61.0,13.1,15.5
2026-02-08,24.5,30.0,19.2,50.7,0.0,15.9
2026-02-15,23.7,30.1,18.2,68.1,10.0,15.1
2026-02-22,23.0,28.5,17.6,61.1,2.8,14.7
2026-03-01,23.1,28.3,18.7,67.6,6.5,16.6
2026-03-08,21.6,26.2,17.2,68.4,0.8,14.4
2026-03-15,22.5,27.9,17.1,70.7,40.9,19.7
2026-03-22,19.1,24.7,13.3,71.9,8.7,12.0
2026-03-29,22.9,27.1,19.3,83.4,64.4,15.8
2026-04-05,16.3,20.2,12.6,80.0,35.4,16.5
2026-04-12,20.0,24.6,16.0,83.0,34.5,13.0
2026-04-19,17.3,22.4,12.6,79.7,12.1,13.8
2026-04-26,13.7,19.2,8.7,64.6,0.3,20.6
2026-05-03,14.0,19.0,9.6,74.3,54.2,21.2
2026-05-10,10.9,16.3,6.0,72.3,0.8,14.7
2026-05-17,9.0,14.3,4.6,73.9,0.2,11.2
2026-05-24,11.4,15.4,8.1,88.4,0.5,8.8
2026-05-31,13.6,17.0,10.7,86.9,0.3,10.2
2026-06-07,11.5,15.1,8.7,91.7,46.1,12.0
2026-06-14,8.8,14.1,4.6,77.7,13.8,15.2
2026-06-21,8.1,13.1,4.3,75.6,0.0,14.4
2026-06-28,6.1,11.8,1.5,78.4,2.1,11.9
2026-07-05,9.1,13.3,5.3,82.7,6.3,14.0
2026-07-12,13.3,17.2,9.7,83.4,5.1,16.6
2026-07-19,11.4,14.5,8.8,85.9,28.7,15.9
2026-07-26,14.2,18.4,10.3,86.3,34.2,16.6
2026-08-02,11.9,15.1,9.0,85.3,34.9,16.9
2026-08-09,9.1,12.5,6.2,79.1,2.5,15.1
2026-08-16,10.3,14.8,6.4,74.9,0.3,16.2
2026-08-23,11.0,16.4,6.8,75.0,9.7,12.3
2026-08-30,13.1,18.6,8.5,73.7,10.1,16.9
2026-09-06,10.9,16.1,6.0,68.3,5.0,13.6
2026-09-13,13.2,19.1,7.4,64.9,0.0,13.6
2026-09-20,15.2,20.2,10.6,67.5,5.8,28.7
