week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,29.0,20.0,61.3,10.8,26.6
2022-01-09,28.7,34.2,23.8,52.1,5.7,28.1
2022-01-16,25.0,27.8,22.5,83.4,68.2,29.7
2022-01-23,22.9,26.5,19.1,77.0,15.2,21.0
2022-01-30,22.8,26.3,19.4,70.4,41.4,22.0
2022-02-06,20.2,24.7,15.6,69.3,3.7,26.1
2022-02-13,22.6,27.9,17.5,62.0,0.2,23.2
2022-02-20,21.6,25.3,17.5,80.9,73.1,22.4
2022-02-27,22.5,26.0,19.1,76.3,45.6,23.3
2022-03-06,19.9,23.6,16.1,75.0,48.0,21.3
2022-03-13,20.0,24.1,15.5,72.6,21.1,20.2
2022-03-20,18.0,21.5,14.5,79.0,43.8,31.4
2022-03-27,16.4,21.2,11.6,67.9,2.4,23.7
2022-04-03,18.2,22.4,14.2,77.4,2.8,18.5
2022-04-10,16.6,20.7,12.6,75.1,17.5,18.1
2022-04-17,17.3,20.7,13.8,76.0,2.0,19.0
2022-04-24,15.3,18.8,11.4,73.6,52.2,26.3
2022-05-01,13.4,18.2,9.1,79.7,0.0,15.0
2022-05-08,14.5,18.4,11.2,79.9,0.0,16.2
2022-05-15,11.6,15.4,8.0,72.6,0.1,25.6
2022-05-22,12.0,15.5,8.5,83.4,14.9,18.7
2022-05-29,6.8,11.1,2.9,73.3,0.0,15.9
2022-06-05,8.8,12.9,5.5,81.9,0.4,15.4
2022-06-12,10.1,14.8,5.9,75.7,0.0,18.4
2022-06-19,8.6,12.4,5.2,73.6,0.2,19.6
2022-06-26,10.0,13.7,7.0,75.9,9.6,20.6
2022-07-03,10.3,13.5,6.0,81.6,4.0,22.1
2022-07-10,10.9,13.6,8.0,79.6,8.9,25.6
2022-07-17,10.9,15.5,7.3,83.3,0.2,19.7
2022-07-24,13.8,17.3,10.8,85.4,45.2,23.0
2022-07-31,11.2,14.9,7.9,82.9,0.1,17.7
2022-08-07,11.5,14.6,8.7,80.1,1.8,20.8
2022-08-14,11.5,16.2,6.9,63.9,2.1,24.8
2022-08-21,13.5,17.7,9.4,82.6,3.8,18.0
2022-08-28,11.8,15.6,7.9,71.3,7.8,22.1
2022-09-04,13.7,18.7,8.8,69.0,16.0,22.1
2022-09-11,14.6,18.7,10.5,76.0,0.0,19.4
2022-09-18,14.3,18.2,10.5,72.4,6.0,19.1
2022-09-25,15.3,19.4,11.3,68.4,6.3,20.6
2022-10-02,16.3,21.5,11.5,64.7,3.1,27.0
2022-10-09,15.0,19.7,10.7,56.3,1.7,25.8
2022-10-16,16.5,20.0,13.5,78.9,25.3,27.6
2022-10-23,19.4,24.2,15.2,67.4,16.3,24.8
2022-10-30,16.6,21.3,11.4,62.0,1.8,26.1
2022-11-06,21.2,25.5,17.6,63.3,0.0,25.5
2022-11-13,23.0,27.7,18.3,65.1,15.6,26.8
2022-11-20,21.2,26.0,16.0,67.4,11.1,25.7
2022-11-27,23.4,27.5,19.9,67.1,16.6,23.7
2022-12-04,27.0,31.9,22.0,62.6,9.7,24.0
2022-12-11,23.4,28.7,18.6,54.6,10.8,29.0
2022-12-18,23.6,27.6,20.2,64.7,20.8,27.8
2022-12-25,23.6,28.8,17.8,52.0,0.1,23.0
2023-01-01,24.3,29.8,19.6,58.4,11.9,28.0
2023-01-08,25.1,29.9,20.9,58.7,2.4,24.7
2023-01-15,27.2,31.8,23.6,58.0,6.0,28.9
2023-01-22,25.9,30.0,22.0,67.7,19.9,24.1
2023-01-29,23.6,27.2,20.5,73.6,7.2,24.0
2023-02-05,27.1,32.1,22.1,63.3,0.4,21.7
2023-02-12,22.9,27.7,17.5,55.0,8.8,29.4
2023-02-19,23.8,28.6,19.2,61.0,4.4,21.8
2023-02-26,26.8,32.0,22.6,58.1,0.6,24.2
2023-03-05,27.5,31.5,24.3,68.3,0.1,23.3
2023-03-12,27.3,30.8,24.7,72.7,29.4,21.1
