week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.5,29.8,19.0,59.6,11.6,23.8
2022-01-09,28.8,35.6,22.5,49.7,3.1,25.0
2022-01-16,24.7,28.2,21.6,83.4,76.1,26.1
2022-01-23,22.6,27.1,17.8,76.3,9.2,18.4
2022-01-30,22.7,27.2,17.9,68.7,38.0,20.0
2022-02-06,19.9,25.3,14.6,68.3,5.3,24.0
2022-02-13,22.6,29.1,16.0,59.9,0.1,20.9
2022-02-20,21.2,26.0,16.5,80.1,64.4,20.7
2022-02-27,22.1,26.7,18.0,75.7,68.1,21.3
2022-03-06,19.4,24.0,14.6,74.4,36.3,19.1
2022-03-13,19.6,25.1,13.7,71.4,17.7,18.3
2022-03-20,17.6,21.9,13.4,78.7,38.2,29.0
2022-03-27,16.1,21.7,10.3,66.0,5.9,22.4
2022-04-03,17.9,23.9,12.4,75.0,4.5,16.1
2022-04-10,15.9,21.2,10.9,74.6,23.8,16.5
2022-04-17,16.9,21.5,12.5,74.6,4.5,17.2
2022-04-24,14.8,19.1,9.8,72.3,59.0,23.4
2022-05-01,12.6,18.8,7.3,80.1,0.1,13.9
2022-05-08,13.7,18.9,9.5,80.3,0.0,15.4
2022-05-15,11.1,15.6,6.9,72.6,0.0,24.0
2022-05-22,11.2,16.0,7.0,83.4,14.3,17.1
2022-05-29,5.9,11.3,1.4,73.6,0.0,15.5
2022-06-05,8.2,13.5,4.5,82.1,0.4,15.2
2022-06-12,9.4,15.8,4.4,76.3,0.0,17.2
2022-06-19,7.9,12.7,3.8,74.0,0.3,17.4
2022-06-26,9.3,13.8,5.8,77.6,2.6,18.6
2022-07-03,9.7,14.2,4.6,81.0,2.6,19.5
2022-07-10,10.7,13.9,7.1,78.4,3.7,23.8
2022-07-17,10.5,16.4,5.9,82.4,0.9,17.4
2022-07-24,13.9,18.4,10.5,83.7,60.3,20.9
2022-07-31,10.7,15.7,6.5,82.3,0.0,16.2
2022-08-07,11.1,15.8,7.4,79.0,1.5,18.4
2022-08-14,11.0,16.7,6.0,61.1,5.9,23.1
2022-08-21,13.7,19.9,8.3,79.0,3.6,16.6
2022-08-28,11.3,16.5,6.2,69.6,6.7,20.1
2022-09-04,13.3,19.8,7.3,66.7,17.2,21.0
2022-09-11,14.2,20.2,8.6,74.0,0.2,17.8
2022-09-18,14.0,19.1,9.2,71.9,8.2,17.7
2022-09-25,15.0,20.8,9.9,66.3,0.2,17.9
2022-10-02,16.1,22.3,10.6,63.4,4.6,24.3
2022-10-09,14.3,19.9,8.7,57.1,5.2,23.5
2022-10-16,16.4,21.0,12.4,77.1,21.2,24.3
2022-10-23,19.2,24.7,14.1,65.9,12.2,23.3
2022-10-30,16.4,22.2,10.1,60.1,1.4,23.7
2022-11-06,21.3,26.6,16.6,60.3,0.0,22.7
2022-11-13,23.5,29.6,17.9,59.4,12.1,25.0
2022-11-20,21.4,27.6,15.1,62.6,9.3,23.0
2022-11-27,23.7,28.8,19.3,64.1,22.0,22.0
2022-12-04,27.4,34.2,20.8,57.0,11.5,21.0
2022-12-11,23.2,29.5,17.3,53.3,7.6,25.4
2022-12-18,23.9,28.8,19.8,60.4,25.6,25.1
2022-12-25,23.9,30.4,16.7,46.6,0.2,20.3
2023-01-01,24.8,31.5,18.8,53.4,9.1,26.0
2023-01-08,25.1,30.9,20.0,56.4,10.0,22.0
2023-01-15,27.5,33.0,22.7,55.3,4.8,25.8
2023-01-22,25.7,30.9,21.0,67.0,17.9,20.3
2023-01-29,23.5,28.4,19.5,71.7,13.6,21.1
2023-02-05,27.3,33.9,20.8,58.0,0.8,18.6
2023-02-12,22.5,28.1,16.6,54.3,13.1,27.0
2023-02-19,23.6,29.6,17.6,58.7,4.0,20.0
2023-02-26,27.1,33.6,21.7,53.1,1.7,21.1
2023-03-05,27.9,33.3,23.4,63.9,1.5,19.7
2023-03-12,27.4,31.9,24.0,70.6,22.6,18.4
2023-03-19,22.8,26.7,19.5,69.4,34.1,22.9
2023-03-26,18.8,23.1,13.8,66.4,88.0,22.7
