week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.8,29.9,19.2,58.6,12.0,21.1
2022-01-09,29.2,35.9,22.8,47.3,1.4,22.5
2022-01-16,25.1,29.1,22.0,82.1,62.4,22.0
2022-01-23,22.7,27.0,18.0,76.3,19.7,16.7
2022-01-30,22.7,27.4,18.0,69.3,46.7,17.3
2022-02-06,20.0,25.2,14.4,68.3,5.2,20.3
2022-02-13,22.6,29.0,16.2,59.1,0.0,18.0
2022-02-20,21.4,25.9,16.6,78.7,93.5,18.3
2022-02-27,22.4,27.0,18.3,76.3,44.6,18.7
2022-03-06,19.6,24.2,15.0,75.4,41.6,16.9
2022-03-13,19.7,25.3,14.3,68.7,14.9,16.9
2022-03-20,17.7,22.1,13.3,78.7,49.0,25.7
2022-03-27,15.9,21.8,10.2,66.7,20.4,18.8
2022-04-03,18.0,23.9,12.6,75.0,1.6,14.8
2022-04-10,16.0,21.5,10.8,74.4,23.4,15.9
2022-04-17,16.8,21.6,12.0,74.7,4.1,15.5
2022-04-24,14.9,19.3,9.8,72.3,56.3,22.4
2022-05-01,12.6,18.9,7.6,80.1,0.2,13.5
2022-05-08,13.8,19.1,9.7,80.0,0.0,13.5
2022-05-15,11.2,15.6,6.8,71.7,0.2,21.9
2022-05-22,11.4,16.5,7.5,84.0,9.9,16.4
2022-05-29,6.1,11.6,1.3,74.3,0.0,13.1
2022-06-05,8.1,13.9,4.2,81.6,0.1,13.2
2022-06-12,9.6,16.3,4.6,75.3,0.0,16.2
2022-06-19,8.1,12.7,3.9,74.3,0.1,16.4
2022-06-26,9.5,14.2,6.1,77.1,8.7,16.4
2022-07-03,10.2,14.8,4.8,80.3,4.4,17.9
2022-07-10,10.7,14.1,7.0,77.3,10.1,21.8
2022-07-17,10.9,16.9,6.5,82.1,0.0,16.2
2022-07-24,14.2,18.8,10.8,82.6,29.6,19.1
2022-07-31,10.7,16.0,6.0,82.3,0.2,15.5
2022-08-07,11.4,16.6,7.3,76.9,1.5,19.1
2022-08-14,11.4,17.2,6.3,57.3,7.3,21.0
2022-08-21,14.3,20.9,8.2,75.6,10.8,14.8
2022-08-28,11.5,17.5,6.2,67.0,3.2,18.9
2022-09-04,13.6,20.9,7.1,63.6,20.9,18.7
2022-09-11,14.6,21.1,8.5,70.0,0.0,16.4
2022-09-18,14.2,19.5,9.4,70.6,14.7,17.1
2022-09-25,15.5,21.5,10.0,64.3,0.3,17.2
2022-10-02,16.5,22.6,10.9,61.1,2.1,22.8
2022-10-09,15.0,20.5,9.4,51.7,1.6,21.1
2022-10-16,16.6,21.2,13.1,77.3,27.0,23.6
2022-10-23,19.9,25.7,14.7,62.3,11.2,22.4
2022-10-30,16.8,23.1,10.2,57.0,2.1,21.8
2022-11-06,21.7,27.3,16.3,56.9,0.0,20.3
2022-11-13,23.2,29.3,17.8,61.3,22.9,22.4
2022-11-20,21.1,26.8,15.2,66.0,8.9,21.1
2022-11-27,23.6,28.9,18.7,64.9,14.6,19.7
2022-12-04,27.6,34.6,21.0,55.4,7.6,20.7
2022-12-11,23.4,29.7,17.4,53.6,12.6,22.9
2022-12-18,24.0,28.8,19.6,62.3,23.3,22.8
2022-12-25,23.1,29.3,16.5,51.9,0.1,18.4
2023-01-01,24.6,30.8,18.0,54.0,8.5,23.1
2023-01-08,25.3,31.4,19.8,54.9,2.2,19.4
2023-01-15,27.9,34.2,22.8,52.4,7.4,23.1
2023-01-22,25.9,31.8,21.1,65.4,17.0,18.9
2023-01-29,23.7,28.1,19.8,72.1,11.5,18.8
2023-02-05,27.2,33.8,20.6,56.3,0.4,16.2
2023-02-12,23.0,28.6,17.2,51.1,26.5,24.4
2023-02-19,23.5,30.0,17.2,57.3,3.0,17.9
2023-02-26,28.0,34.7,21.9,49.4,2.2,18.6
2023-03-05,29.0,35.6,23.4,57.3,0.4,18.2
2023-03-12,27.8,32.8,24.1,68.6,34.4,16.9
2023-03-19,22.8,26.5,19.8,72.0,58.9,20.1
2023-03-26,18.7,23.4,13.9,68.1,11.5,20.0
2023-04-02,19.0,23.0,15.3,78.9,25.4,15.8
2023-04-09,17.4,22.3,12.7,69.9,8.1,15.8
2023-04-16,14.7,19.6,9.8,69.7,12.7,20.0
2023-04-23,18.8,23.9,14.7,80.4,1.7,16.2
2023-04-30,15.0,20.7,10.5,74.3,24.3,20.9
2023-05-07,14.0,19.3,9.6,77.3,0.5,14.7
2023-05-14,16.4,21.9,11.3,76.9,11.6,17.4
2023-05-21,17.1,20.3,14.0,84.1,80.5,19.9
2023-05-28,13.5,18.4,9.0,83.9,7.0,13.6
2023-06-04,15.0,18.7,9.9,75.0,6.6,20.2
2023-06-11,6.6,12.5,1.5,75.9,0.1,13.1
2023-06-18,10.0,14.5,5.6,88.7,2.4,13.6
2023-06-25,11.1,16.2,7.2,80.6,1.5,14.6
2023-07-02,14.8,19.0,11.3,80.7,19.6,20.6
2023-07-09,9.7,12.6,6.4,84.0,37.1,19.2
2023-07-16,10.6,15.7,5.5,77.0,6.2,19.0
2023-07-23,10.8,14.8,7.3,77.1,5.6,19.1
2023-07-30,14.5,20.3,9.7,75.4,0.0,18.1
2023-08-06,11.7,16.2,8.0,69.1,0.6,20.9
2023-08-13,14.3,19.0,9.9,63.7,22.4,21.0
2023-08-20,10.8,15.3,6.1,69.6,18.7,16.9
2023-08-27,12.1,17.8,6.8,66.9,6.5,17.2
2023-09-03,11.6,15.3,7.6,76.0,30.2,20.1
2023-09-10,14.9,20.3,10.0,64.9,4.4,23.0
2023-09-17,14.7,18.1,11.7,78.4,5.2,22.9
2023-09-24,13.1,17.6,8.5,71.9,0.1,18.6
2023-10-01,15.2,21.4,8.9,60.4,1.2,18.8
2023-10-08,16.2,22.4,9.7,55.9,2.2,20.1
2023-10-15,17.6,22.5,13.4,68.0,5.3,19.8
2023-10-22,18.3,23.4,13.3,72.6,28.0,17.4
2023-10-29,15.3,19.1,11.5,75.4,83.3,28.1
2023-11-05,19.8,25.0,14.2,67.6,77.5,20.5
2023-11-12,18.8,23.8,13.5,63.4,3.9,21.8
2023-11-19,21.0,27.4,15.0,56.9,5.7,20.5
2023-11-26,24.0,29.4,18.3,69.9,41.1,20.7
2023-12-03,19.4,23.3,15.4,71.0,11.7,20.0
2023-12-10,25.0,29.9,20.4,72.0,11.1,20.0
2023-12-17,21.6,25.8,17.0,74.7,63.4,23.4
2023-12-24,22.3,27.5,15.9,62.6,22.2,19.2
2023-12-31,24.1,28.5,20.2,66.7,11.2,18.8
2024-01-07,24.2,29.6,18.8,68.7,12.8,17.8
2024-01-14,23.7,29.0,18.7,68.0,16.5,20.1
2024-01-21,24.1,29.5,18.7,59.0,0.0,19.3
2024-01-28,28.8,34.7,23.0,53.6,2.1,18.2
2024-02-04,27.0,32.2,23.4,70.7,40.9,20.2
2024-02-11,22.5,26.8,17.6,68.7,33.2,19.0
2024-02-18,24.7,29.2,21.0,73.1,4.4,17.2
2024-02-25,23.7,28.1,20.3,80.6,48.5,20.1
2024-03-03,20.7,25.9,15.7,65.1,8.4,17.3
2024-03-10,23.3,26.9,20.4,85.3,234.5,17.7
2024-03-17,20.5,24.5,16.8,78.0,149.6,20.4
2024-03-24,21.3,26.7,16.5,78.4,0.2,13.5
2024-03-31,18.0,22.5,13.6,76.4,20.5,16.8
2024-04-07,17.7,21.4,13.8,76.6,17.7,20.3
2024-04-14,18.9,23.0,15.1,79.0,50.2,21.7
2024-04-21,16.3,19.6,13.0,81.0,75.7,21.7
2024-04-28,13.5,18.0,8.5,74.4,5.6,16.8
2024-05-05,14.7,18.8,10.9,81.6,5.0,16.6
2024-05-12,8.9,13.8,5.0,76.7,4.6,17.0
2024-05-19,9.4,13.6,5.7,78.9,0.5,17.3
2024-05-26,11.0,15.0,7.3,83.7,2.1,15.8
2024-06-02,13.0,16.8,9.6,84.0,5.4,15.4
2024-06-09,17.6,21.6,13.4,78.1,9.6,20.0
2024-06-16,13.8,17.5,10.2,87.0,14.1,16.4
2024-06-23,8.7,12.3,5.1,70.9,2.4,20.6
2024-06-30,6.8,12.7,1.6,67.9,0.0,16.7
2024-07-07,3.3,10.0,-1.7,68.7,0.0,11.3
2024-07-14,9.5,15.0,5.1,82.4,1.8,15.6
2024-07-21,12.5,17.9,8.3,81.6,16.6,14.2
2024-07-28,13.4,18.2,9.3,69.4,22.6,22.3
2024-08-04,10.4,14.4,6.7,77.7,9.7,22.4
2024-08-11,10.5,15.7,5.7,69.4,0.0,19.5
2024-08-18,10.0,13.0,7.0,81.1,26.4,22.0
2024-08-25,10.1,14.9,6.0,83.3,66.4,19.7
2024-09-01,12.6,18.3,7.4,69.7,0.3,21.3
2024-09-08,13.7,19.1,8.5,75.9,0.5,17.4
2024-09-15,17.0,23.3,10.8,65.6,17.7,18.0
2024-09-22,16.1,21.6,10.8,69.3,1.0,22.3
2024-09-29,17.0,23.7,11.2,65.0,10.8,19.9
2024-10-06,17.6,22.2,13.4,74.7,8.7,19.3
2024-10-13,19.0,24.0,14.6,80.6,21.8,15.5
2024-10-20,20.0,24.9,15.0,74.7,54.4,24.5
2024-10-27,22.2,27.8,16.4,69.7,5.4,17.7
2024-11-03,19.5,24.4,14.2,71.0,11.7,20.7
2024-11-10,21.8,28.5,14.9,54.6,8.2,19.2
2024-11-17,19.9,24.6,15.7,71.1,15.2,17.3
2024-11-24,22.6,27.1,18.9,77.3,89.6,16.4
2024-12-01,19.4,24.6,14.2,59.4,47.3,17.5
2024-12-08,22.2,28.2,16.3,60.7,7.9,14.6
2024-12-15,21.9,27.0,17.2,62.7,5.7,14.7
2024-12-22,21.5,26.9,15.8,60.7,2.8,15.9
2024-12-29,24.0,30.1,18.4,59.0,10.9,15.1
2025-01-05,25.1,30.9,19.9,56.3,0.1,14.2
2025-01-12,27.3,33.3,21.9,55.9,5.2,14.8
2025-01-19,25.0,30.4,20.2,67.7,27.6,12.8
2025-01-26,26.0,31.9,21.0,60.7,6.3,15.2
2025-02-02,26.4,31.6,21.1,67.6,55.8,13.5
2025-02-09,24.4,29.4,20.1,71.0,40.7,15.9
2025-02-16,24.1,30.1,18.5,65.7,5.7,15.3
2025-02-23,24.6,27.8,21.8,83.1,39.7,16.2
2025-03-02,25.4,30.0,22.2,82.6,126.4,16.8
2025-03-09,17.5,22.0,13.5,72.1,0.6,12.1
2025-03-16,23.4,29.1,18.6,70.0,16.9,12.1
2025-03-23,20.6,24.8,17.2,84.4,17.1,14.6
2025-03-30,15.9,20.9,11.0,71.0,26.0,17.1
2025-04-06,18.9,22.2,16.1,82.9,32.2,18.6
2025-04-13,15.6,21.0,11.5,78.6,41.3,13.4
2025-04-20,17.2,22.2,13.1,78.0,28.3,12.0
2025-04-27,15.8,22.0,10.5,72.4,0.0,10.7
2025-05-04,18.1,21.8,15.1,85.0,49.3,14.0
2025-05-11,17.8,22.2,14.4,84.0,58.0,14.4
2025-05-18,11.8,16.1,7.9,75.6,8.0,12.1
2025-05-25,11.4,15.6,7.6,80.6,29.6,16.5
2025-06-01,10.5,16.2,5.6,79.9,0.0,10.2
2025-06-08,9.8,13.7,6.3,84.9,25.8,13.1
2025-06-15,9.4,14.7,4.8,81.9,1.3,11.6
2025-06-22,7.4,12.4,3.0,67.0,1.6,18.0
2025-06-29,5.2,10.1,1.4,76.6,0.4,14.1
2025-07-06,11.9,17.0,8.1,85.3,0.1,11.0
2025-07-13,11.6,16.7,7.3,83.3,44.2,16.1
2025-07-20,10.7,14.6,6.8,82.3,8.0,14.7
2025-07-27,12.6,17.0,9.3,76.9,21.8,17.0
2025-08-03,9.3,14.0,5.3,73.7,0.1,10.4
2025-08-10,10.0,14.8,5.7,74.6,0.3,13.4
2025-08-17,13.4,17.0,10.1,78.4,98.7,21.0
2025-08-24,14.5,20.2,9.7,73.1,0.0,15.0
2025-08-31,10.9,15.4,6.7,75.4,41.7,14.6
2025-09-07,13.9,19.7,8.5,71.3,1.1,13.1
2025-09-14,17.2,22.2,13.3,84.3,42.4,14.3
2025-09-21,13.9,18.0,9.3,74.0,16.4,19.4
2025-09-28,18.3,24.5,12.8,72.1,0.3,12.8
2025-10-05,17.4,23.5,11.5,67.3,28.8,17.0
2025-10-12,18.3,23.1,13.7,70.1,3.6,15.1
2025-10-19,19.6,24.9,14.4,66.9,39.8,19.3
2025-10-26,14.9,19.6,9.9,68.6,1.4,14.3
2025-11-02,17.3,21.2,13.9,76.7,25.1,14.2
2025-11-09,21.1,27.6,13.6,62.0,1.5,12.9
2025-11-16,18.1,23.5,12.8,65.6,28.9,19.0
2025-11-23,21.4,26.8,15.7,69.3,16.9,14.3
2025-11-30,23.6,28.8,18.1,66.0,6.6,15.1
2025-12-07,23.6,29.4,18.4,64.3,19.2,17.2
2025-12-14,22.9,28.1,17.3,59.3,11.6,17.4
2025-12-21,26.1,32.4,19.9,64.4,1.4,15.5
2025-12-28,26.5,32.5,19.9,45.4,0.0,16.7
2026-01-04,21.5,26.2,15.9,57.7,9.6,16.6
2026-01-11,26.5,33.3,19.7,60.6,30.2,14.1
2026-01-18,24.2,29.8,18.3,51.7,0.0,15.7
2026-01-25,26.3,32.1,21.4,63.4,1.6,15.6
2026-02-01,25.5,31.1,19.8,55.7,15.6,13.5
2026-02-08,25.2,30.8,19.8,50.1,0.0,15.9
2026-02-15,23.4,28.8,18.7,73.4,9.0,14.3
2026-02-22,22.9,28.4,17.5,63.7,5.8,14.4
2026-03-01,23.5,28.6,19.0,67.1,9.3,16.2
2026-03-08,21.9,26.3,17.8,67.9,0.4,15.5
2026-03-15,22.8,28.7,17.2,71.1,57.5,17.7
2026-03-22,19.2,24.7,13.7,73.7,3.8,12.0
