week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,29.6,19.0,59.1,10.7,21.6
2022-01-09,29.0,35.8,22.5,47.7,3.7,22.1
2022-01-16,24.9,28.7,21.6,82.7,63.5,22.9
2022-01-23,22.6,27.0,18.0,76.3,16.0,16.9
2022-01-30,22.6,27.3,18.0,69.0,49.7,18.2
2022-02-06,19.9,25.1,14.5,69.1,6.6,22.2
2022-02-13,22.5,29.1,16.0,59.4,0.0,19.4
2022-02-20,21.3,25.9,16.6,79.3,95.5,20.1
2022-02-27,22.2,26.9,18.1,75.9,59.5,19.7
2022-03-06,19.4,24.1,14.6,75.1,44.6,18.4
2022-03-13,19.7,25.3,13.9,68.9,25.3,17.6
2022-03-20,17.7,22.0,13.3,78.6,34.5,27.3
2022-03-27,16.1,21.9,10.3,65.6,3.6,21.0
2022-04-03,18.0,24.0,12.4,74.1,2.8,15.6
2022-04-10,16.0,21.5,10.8,74.0,19.5,16.3
2022-04-17,16.9,21.9,12.3,73.7,5.5,16.3
2022-04-24,14.8,19.3,9.7,71.6,65.6,22.1
2022-05-01,12.6,18.9,7.6,79.9,0.4,13.5
2022-05-08,13.6,19.1,9.4,79.9,0.0,13.9
2022-05-15,11.1,15.6,6.8,71.9,0.3,22.9
2022-05-22,11.3,16.4,7.3,83.3,12.3,16.3
2022-05-29,6.0,11.5,1.0,73.9,0.0,14.4
2022-06-05,8.2,13.8,4.5,81.3,0.3,14.2
2022-06-12,9.6,16.3,4.7,75.1,0.0,16.4
2022-06-19,8.0,12.7,3.8,74.1,0.2,16.9
2022-06-26,9.5,14.1,6.2,76.0,3.7,17.5
2022-07-03,10.0,14.7,4.5,79.9,2.9,18.9
2022-07-10,10.7,14.0,6.8,77.6,2.0,22.9
2022-07-17,10.7,16.9,6.0,81.9,6.8,17.1
2022-07-24,14.2,18.7,10.8,82.6,39.4,19.5
2022-07-31,10.8,15.9,6.4,81.9,0.1,15.8
2022-08-07,11.2,16.3,7.3,77.9,1.6,18.3
2022-08-14,11.2,16.9,6.3,58.9,7.3,22.3
2022-08-21,14.0,20.4,8.4,77.1,7.3,15.6
2022-08-28,11.4,17.1,6.2,68.1,3.6,19.3
2022-09-04,13.5,20.6,7.4,64.0,14.0,19.5
2022-09-11,14.5,20.9,8.5,71.4,0.0,17.1
2022-09-18,14.2,19.4,9.4,70.7,15.8,17.3
2022-09-25,15.3,21.3,9.7,64.3,0.6,17.9
2022-10-02,16.4,22.5,10.7,61.7,4.4,24.1
2022-10-09,14.6,20.4,8.8,53.7,2.7,21.9
2022-10-16,16.5,21.3,12.6,76.9,24.5,24.4
2022-10-23,19.5,25.1,14.2,64.0,15.4,23.0
2022-10-30,16.5,22.7,10.1,58.9,1.6,23.1
2022-11-06,21.6,26.9,16.6,58.7,0.0,21.3
2022-11-13,23.5,29.8,17.9,59.0,14.9,24.8
2022-11-20,21.3,27.1,15.1,63.7,10.2,22.3
2022-11-27,23.8,29.2,19.1,64.3,13.4,21.1
2022-12-04,27.6,34.5,21.0,56.0,7.6,21.2
2022-12-11,23.1,29.5,17.1,53.4,12.1,23.1
2022-12-18,24.0,28.7,19.7,61.4,30.9,24.0
2022-12-25,23.4,29.8,16.4,48.3,0.0,20.3
2023-01-01,24.7,31.1,18.6,53.4,7.5,24.0
2023-01-08,25.2,31.1,19.9,55.6,5.1,21.3
2023-01-15,27.8,33.7,22.9,53.1,5.3,25.4
2023-01-22,26.2,31.8,21.2,63.9,27.9,20.0
2023-01-29,23.6,28.4,19.6,71.3,8.2,19.9
2023-02-05,27.8,34.4,21.0,54.0,0.8,16.8
2023-02-12,22.9,28.7,16.9,50.9,9.9,25.4
2023-02-19,23.7,30.1,17.4,56.6,9.2,18.3
2023-02-26,27.8,34.6,22.0,49.7,1.4,19.4
2023-03-05,28.8,35.2,23.5,58.7,0.4,19.0
2023-03-12,27.8,32.8,24.1,68.1,37.1,17.5
2023-03-19,22.9,26.9,19.6,70.4,45.3,21.6
2023-03-26,18.8,23.4,13.8,66.0,20.5,21.6
2023-04-02,18.9,23.1,15.3,77.7,62.4,16.0
2023-04-09,17.4,22.5,12.5,68.7,4.6,16.0
2023-04-16,14.8,19.8,9.8,69.0,11.0,21.0
2023-04-23,18.8,24.2,14.7,79.7,2.6,16.6
2023-04-30,14.9,20.7,10.2,73.7,26.9,20.6
2023-05-07,13.9,19.2,9.6,76.6,0.0,15.6
2023-05-14,16.4,22.0,11.4,76.7,15.1,18.2
2023-05-21,17.1,20.2,14.1,84.0,83.8,21.8
2023-05-28,13.4,18.4,9.0,83.4,4.6,13.8
2023-06-04,14.8,18.6,9.5,75.0,6.6,21.0
2023-06-11,6.6,12.5,1.5,75.4,0.0,13.6
2023-06-18,10.1,14.5,5.8,89.1,3.8,14.0
2023-06-25,10.8,16.0,6.7,81.7,1.5,15.8
2023-07-02,14.7,18.9,11.3,81.3,6.4,21.1
2023-07-09,9.5,12.6,6.3,83.4,33.4,19.3
2023-07-16,10.6,15.7,5.5,77.4,2.2,19.7
2023-07-23,10.7,14.5,6.9,77.0,4.7,20.2
2023-07-30,14.3,20.0,9.3,75.7,0.0,19.7
2023-08-06,11.5,15.7,8.0,69.6,0.8,22.4
2023-08-13,14.2,18.8,9.9,63.6,8.3,22.8
2023-08-20,10.6,15.2,5.9,69.1,21.4,17.7
2023-08-27,12.0,17.6,6.9,67.3,4.3,17.4
2023-09-03,11.5,15.3,7.6,75.9,24.4,21.1
2023-09-10,14.9,20.2,10.0,65.0,8.3,24.5
2023-09-17,14.6,18.1,11.3,78.0,2.3,23.4
2023-09-24,12.9,17.4,8.4,72.1,1.2,18.9
2023-10-01,15.2,21.2,9.3,60.1,4.1,20.3
2023-10-08,16.3,22.4,9.8,55.4,7.6,20.9
2023-10-15,17.4,22.4,13.2,67.1,4.6,21.3
2023-10-22,18.2,23.5,13.1,71.9,12.0,18.5
2023-10-29,15.1,19.0,11.4,75.1,92.7,27.9
2023-11-05,19.7,24.9,14.3,68.1,79.1,21.1
2023-11-12,18.6,23.7,13.3,63.0,11.7,22.6
2023-11-19,20.9,27.0,14.6,56.0,6.6,21.4
2023-11-26,24.0,29.2,18.2,69.4,35.5,22.3
2023-12-03,19.2,23.2,15.3,71.0,9.6,21.5
2023-12-10,25.0,29.5,20.4,72.1,8.1,21.1
2023-12-17,21.4,25.7,16.8,74.6,59.6,23.2
2023-12-24,22.0,27.2,15.8,63.6,36.1,19.3
2023-12-31,23.9,28.0,20.2,67.7,17.4,18.7
2024-01-07,23.7,29.1,18.4,71.1,17.1,18.3
2024-01-14,23.4,28.7,18.3,69.4,17.9,21.4
2024-01-21,23.9,28.9,18.6,61.0,0.0,20.7
2024-01-28,28.4,34.0,22.9,55.7,2.7,19.2
2024-02-04,26.7,31.7,23.2,72.4,55.6,22.3
2024-02-11,22.5,26.9,17.4,68.4,26.0,20.5
2024-02-18,24.7,29.3,20.9,72.4,3.6,18.3
2024-02-25,23.6,27.9,19.8,79.7,35.2,20.9
2024-03-03,20.6,25.8,15.8,65.6,13.8,18.1
2024-03-10,23.3,27.0,20.4,84.7,208.4,18.9
2024-03-17,20.5,24.5,16.8,77.1,131.1,21.8
2024-03-24,21.3,26.7,16.7,78.1,0.7,14.4
2024-03-31,17.9,22.6,13.2,76.0,10.0,17.4
2024-04-07,17.6,21.3,13.8,76.7,18.7,21.7
2024-04-14,18.9,22.9,15.1,78.7,36.8,22.8
2024-04-21,16.3,19.5,12.8,80.3,76.0,22.8
2024-04-28,13.5,17.9,8.5,74.3,3.2,17.9
