week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.3,28.6,19.6,62.7,9.8,24.9
2022-01-09,27.5,32.3,23.1,58.3,3.9,26.0
2022-01-16,24.8,27.6,22.4,84.0,78.4,28.6
2022-01-23,22.7,26.2,18.8,76.6,12.0,20.4
2022-01-30,22.6,25.9,19.2,70.3,43.8,20.6
2022-02-06,20.0,24.3,15.3,69.3,7.2,24.5
2022-02-13,22.3,27.0,17.5,63.4,0.4,22.0
2022-02-20,21.4,25.1,17.4,80.7,66.9,20.8
2022-02-27,22.4,25.6,19.1,75.9,43.7,23.1
2022-03-06,19.9,23.6,16.0,74.6,41.0,20.2
2022-03-13,19.8,23.7,15.6,72.6,18.4,19.1
2022-03-20,17.8,21.2,14.6,78.4,43.2,29.9
2022-03-27,16.4,20.7,12.0,68.1,9.6,21.4
2022-04-03,18.2,22.2,14.2,77.1,1.8,18.1
2022-04-10,16.5,20.7,12.5,74.6,25.0,17.3
2022-04-17,17.3,20.5,13.9,75.7,2.6,19.4
2022-04-24,15.2,18.7,11.5,72.9,59.8,26.2
2022-05-01,13.5,17.5,9.4,79.9,0.0,15.3
2022-05-08,14.5,18.2,11.1,79.4,0.0,15.9
2022-05-15,11.6,15.1,8.2,73.0,0.0,25.6
2022-05-22,11.8,15.1,8.5,83.7,12.5,17.8
2022-05-29,6.5,10.9,2.7,73.0,0.0,15.8
2022-06-05,8.8,12.6,5.6,82.0,0.3,15.1
2022-06-12,10.1,14.2,6.3,77.0,0.0,18.2
2022-06-19,8.3,12.1,4.8,74.7,0.1,19.0
2022-06-26,9.7,13.1,6.8,77.7,7.8,19.7
2022-07-03,10.0,13.1,5.7,81.9,5.2,21.6
2022-07-10,11.0,13.4,8.1,78.4,7.3,25.3
2022-07-17,10.9,15.1,7.5,83.1,0.3,19.5
2022-07-24,13.7,17.0,10.8,85.3,39.2,22.4
2022-07-31,11.1,14.8,7.9,82.6,0.2,17.4
2022-08-07,11.5,14.5,9.1,79.0,1.1,20.6
2022-08-14,11.8,15.9,7.5,63.0,3.7,24.2
2022-08-21,13.5,17.6,9.5,81.7,4.7,18.5
2022-08-28,11.7,15.3,7.6,70.9,7.4,21.3
2022-09-04,13.7,18.3,9.4,69.7,15.6,21.6
2022-09-11,14.5,18.9,10.6,74.9,0.0,18.9
2022-09-18,14.2,18.0,10.5,72.9,7.0,17.8
2022-09-25,15.0,19.2,11.0,69.6,3.9,19.7
2022-10-02,15.8,20.8,11.2,68.0,7.2,25.5
2022-10-09,14.6,19.1,10.6,58.9,2.9,23.8
2022-10-16,16.2,19.6,13.2,79.3,21.0,25.8
2022-10-23,19.3,23.9,15.2,68.1,15.4,23.6
2022-10-30,16.2,20.6,11.3,64.1,1.5,25.3
2022-11-06,20.7,25.0,17.1,65.3,0.0,24.4
2022-11-13,22.9,27.5,18.4,63.7,17.9,25.5
2022-11-20,21.1,25.5,16.0,67.6,17.1,24.8
2022-11-27,23.2,27.3,19.6,67.6,17.8,22.4
2022-12-04,26.5,31.2,21.6,64.4,10.8,24.5
2022-12-11,22.6,27.8,18.1,58.7,7.6,26.3
2022-12-18,23.3,27.1,19.9,65.6,20.8,26.7
2022-12-25,23.2,28.0,17.7,53.7,1.9,21.6
2023-01-01,24.3,30.1,19.3,57.3,9.8,27.0
2023-01-08,24.7,29.6,20.5,61.1,3.6,22.9
2023-01-15,27.0,31.6,23.3,58.3,6.2,27.3
2023-01-22,25.7,29.8,21.7,68.1,16.9,22.2
2023-01-29,23.8,27.7,20.3,70.9,7.2,22.7
2023-02-05,26.8,31.6,21.9,62.6,1.1,20.2
2023-02-12,22.6,27.1,17.5,56.9,8.6,28.1
2023-02-19,23.4,28.1,18.8,62.1,3.9,19.2
2023-02-26,26.7,31.7,22.6,58.1,0.9,22.4
2023-03-05,27.2,31.2,23.9,68.9,0.8,22.4
2023-03-12,27.0,30.5,24.4,73.4,30.4,20.0
2023-03-19,23.0,25.9,20.3,70.3,38.9,24.2
2023-03-26,19.2,22.3,15.0,67.9,49.6,23.1
2023-04-02,19.4,22.1,16.7,77.0,15.0,19.8
2023-04-09,17.8,21.3,14.1,69.9,1.3,18.4
2023-04-16,15.0,18.8,11.0,71.4,10.0,21.6
2023-04-23,18.9,22.4,16.0,82.4,2.6,18.3
2023-04-30,15.4,19.6,11.3,74.7,22.4,22.3
