week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.5,28.2,20.3,63.3,10.3,26.4
2022-01-09,28.4,33.3,23.6,55.0,1.8,26.5
2022-01-16,25.4,27.8,23.4,82.9,38.1,29.3
2022-01-23,23.1,26.0,19.6,77.0,21.5,20.4
2022-01-30,22.9,26.3,19.5,71.1,31.3,20.6
2022-02-06,20.4,24.3,15.8,69.7,4.3,24.6
2022-02-13,22.6,27.2,18.0,64.7,1.0,20.9
2022-02-20,21.8,24.9,17.9,79.4,84.4,22.1
2022-02-27,22.7,26.0,19.7,77.6,48.8,23.7
2022-03-06,20.3,23.2,17.1,76.0,59.5,18.9
2022-03-13,20.2,24.3,16.0,71.1,28.6,19.4
2022-03-20,18.1,21.6,14.7,78.1,33.4,29.0
2022-03-27,16.5,21.2,11.8,68.9,2.8,20.3
2022-04-03,18.1,22.0,14.2,79.0,5.3,17.2
2022-04-10,16.7,20.5,12.6,75.6,27.6,16.7
2022-04-17,17.3,20.5,13.7,75.7,2.5,18.3
2022-04-24,15.7,18.9,11.9,73.4,51.2,26.4
2022-05-01,13.8,18.4,9.6,78.7,0.3,15.1
2022-05-08,14.9,18.3,11.9,78.7,0.0,16.2
2022-05-15,11.7,15.4,8.3,71.9,0.1,24.4
2022-05-22,12.4,16.0,9.1,83.1,36.2,19.7
2022-05-29,7.4,11.2,3.7,73.4,0.0,14.7
2022-06-05,8.7,12.9,5.3,81.3,0.1,14.4
2022-06-12,10.0,15.3,5.8,74.6,0.0,17.4
2022-06-19,9.1,12.0,6.1,74.6,0.6,20.8
2022-06-26,10.0,13.9,7.0,75.7,5.8,18.3
2022-07-03,11.0,14.2,7.1,80.4,5.2,20.6
2022-07-10,11.1,13.7,8.2,77.6,5.3,24.8
2022-07-17,11.3,15.6,8.0,82.4,1.1,18.8
2022-07-24,13.8,17.6,10.9,84.6,30.4,23.0
2022-07-31,11.5,15.0,7.7,81.9,0.7,18.4
2022-08-07,12.2,15.5,9.5,75.7,4.1,21.4
2022-08-14,12.0,17.0,7.4,58.0,2.4,23.5
2022-08-21,14.0,18.6,9.2,79.0,17.9,17.2
2022-08-28,12.1,16.2,8.0,69.6,1.5,22.0
2022-09-04,13.8,19.5,8.5,66.4,10.1,20.5
2022-09-11,14.9,19.2,10.2,71.9,0.0,19.2
2022-09-18,14.6,18.3,10.9,70.7,8.5,20.1
2022-09-25,15.6,19.2,11.7,69.1,0.4,23.2
2022-10-02,16.6,21.2,12.1,63.9,7.7,27.5
2022-10-09,15.5,19.8,10.8,52.0,5.6,25.2
2022-10-16,16.4,19.0,14.3,81.0,34.6,27.8
2022-10-23,19.7,23.9,15.6,66.9,12.9,24.6
2022-10-30,16.5,20.7,11.3,64.0,2.4,25.8
2022-11-06,20.9,24.6,17.2,66.3,0.0,24.4
2022-11-13,22.7,26.8,18.3,67.3,23.9,24.4
2022-11-20,21.1,25.3,16.3,69.6,16.3,24.4
2022-11-27,23.4,26.6,20.0,68.0,5.0,23.7
2022-12-04,27.2,32.2,22.0,60.0,8.7,27.5
2022-12-11,23.6,28.1,19.4,56.0,17.7,29.6
2022-12-18,23.5,26.6,20.3,67.6,23.5,28.0
2022-12-25,23.2,28.1,18.0,55.4,0.1,23.1
2023-01-01,24.3,29.0,19.2,57.4,8.0,26.9
2023-01-08,25.2,29.5,20.9,59.1,3.6,24.0
2023-01-15,27.3,31.7,23.7,58.6,8.4,27.9
2023-01-22,26.2,30.4,22.3,66.6,13.9,24.6
2023-01-29,24.0,26.9,20.9,72.4,33.4,25.1
2023-02-05,26.7,31.9,21.6,63.9,0.1,16.8
2023-02-12,23.1,27.9,18.0,54.6,19.2,27.3
2023-02-19,23.6,28.5,18.3,60.3,1.8,20.8
2023-02-26,27.4,32.7,22.5,53.9,0.2,23.4
2023-03-05,28.2,32.8,24.1,63.4,0.0,22.7
2023-03-12,27.8,31.1,25.3,70.3,24.8,21.6
2023-03-19,23.4,25.9,21.0,70.9,69.7,25.1
2023-03-26,19.5,22.6,15.7,69.4,11.8,25.0
2023-04-02,19.6,22.2,17.0,77.6,26.9,20.4
2023-04-09,18.1,21.4,14.4,69.3,3.5,19.4
2023-04-16,15.2,18.8,11.3,70.3,10.2,22.5
2023-04-23,19.0,22.5,16.1,81.3,1.6,18.3
2023-04-30,16.2,19.9,12.6,74.4,28.4,23.8
2023-05-07,14.6,18.9,11.1,77.1,0.0,16.0
2023-05-14,16.8,20.9,12.5,76.6,7.5,20.3
2023-05-21,17.4,19.9,14.6,84.1,96.2,24.0
2023-05-28,14.2,17.4,10.7,82.7,3.8,15.6
2023-06-04,15.6,18.5,11.6,75.3,3.9,22.3
2023-06-11,7.8,12.2,3.4,73.7,0.1,13.6
2023-06-18,10.9,14.2,7.3,86.1,2.4,16.5
2023-06-25,11.7,15.3,8.4,81.1,1.3,16.2
2023-07-02,15.1,18.2,12.1,81.3,28.2,24.6
2023-07-09,10.2,12.7,7.2,82.0,33.3,22.7
2023-07-16,11.2,15.4,6.6,76.3,1.5,21.6
2023-07-23,11.3,14.2,8.2,77.3,7.1,21.1
2023-07-30,14.9,19.7,10.6,75.6,0.0,20.5
2023-08-06,12.1,16.0,8.8,69.3,2.7,22.1
2023-08-13,14.4,19.1,10.0,64.3,29.7,23.1
2023-08-20,11.1,15.2,6.9,70.1,16.0,17.4
2023-08-27,12.6,16.9,8.4,68.0,8.6,19.7
2023-09-03,11.8,15.0,8.2,76.6,22.8,24.4
2023-09-10,15.2,20.0,10.6,66.1,10.9,23.9
2023-09-17,14.9,17.4,12.5,80.3,5.4,27.4
2023-09-24,13.5,17.0,9.3,73.0,0.0,22.0
2023-10-01,15.2,20.2,9.7,64.1,2.3,20.9
2023-10-08,16.5,21.7,10.6,57.7,1.6,22.9
2023-10-15,17.6,21.1,14.4,71.9,6.2,24.1
2023-10-22,18.4,22.6,14.2,74.7,31.1,18.7
2023-10-29,15.8,18.7,12.6,74.6,82.3,32.9
2023-11-05,20.2,24.6,15.7,68.7,51.7,23.8
2023-11-12,19.1,23.1,14.7,65.9,3.3,24.4
2023-11-19,21.4,26.4,16.5,57.4,7.6,23.2
2023-11-26,23.9,27.5,19.3,73.1,36.0,24.1
2023-12-03,19.7,22.5,16.7,70.4,12.0,24.0
2023-12-10,24.9,28.7,21.1,73.4,4.4,21.7
2023-12-17,21.9,25.3,18.0,74.9,46.1,28.8
2023-12-24,22.5,26.8,16.9,63.1,15.3,23.1
2023-12-31,24.2,27.3,21.1,67.7,14.5,21.9
2024-01-07,24.3,28.3,19.8,70.3,7.5,21.7
2024-01-14,23.9,28.0,20.0,68.7,18.1,24.0
2024-01-21,24.1,27.9,20.0,61.6,0.0,24.1
2024-01-28,28.1,32.5,23.3,58.4,1.5,22.1
2024-02-04,26.9,30.8,23.9,72.4,63.7,25.7
2024-02-11,22.9,26.1,18.8,69.6,33.6,24.0
2024-02-18,24.8,28.0,21.9,74.9,5.2,21.0
2024-02-25,23.9,26.9,21.3,81.0,44.7,25.3
2024-03-03,21.4,25.5,17.2,66.0,13.6,21.1
2024-03-10,23.6,26.5,21.4,84.6,208.2,21.3
2024-03-17,21.1,23.9,18.1,78.1,172.0,23.9
2024-03-24,21.8,25.7,17.7,77.7,0.2,15.8
2024-03-31,18.7,22.0,15.1,75.6,25.7,19.5
2024-04-07,18.3,21.0,15.2,76.3,20.9,25.0
2024-04-14,19.0,22.7,15.5,79.1,38.8,22.7
2024-04-21,16.7,19.5,13.8,80.4,92.6,25.1
2024-04-28,14.1,17.8,9.6,74.9,2.3,19.4
2024-05-05,15.2,18.2,11.9,81.6,6.1,19.4
2024-05-12,9.4,13.7,5.6,76.3,6.6,18.9
2024-05-19,10.2,13.5,6.7,76.3,0.3,19.2
2024-05-26,11.6,14.7,8.5,83.3,5.0,18.2
2024-06-02,13.1,15.9,10.3,83.6,10.7,18.6
2024-06-09,17.6,21.1,14.2,78.7,9.2,22.8
2024-06-16,14.5,17.2,11.3,85.7,15.9,19.2
2024-06-23,9.0,12.2,5.7,71.3,4.1,22.4
2024-06-30,7.2,12.7,2.4,68.3,0.0,18.6
2024-07-07,4.4,9.8,-0.3,68.7,0.0,12.1
2024-07-14,10.1,14.3,6.4,81.3,4.5,18.5
2024-07-21,12.8,17.1,8.9,82.1,5.6,15.7
2024-07-28,14.0,18.0,10.1,70.0,21.5,26.0
2024-08-04,10.8,14.1,7.4,77.7,10.5,24.4
2024-08-11,10.9,15.2,6.9,69.6,0.4,22.3
2024-08-18,10.3,12.8,7.7,81.3,34.6,25.1
2024-08-25,10.6,14.3,6.9,83.1,89.2,23.5
2024-09-01,12.8,17.9,7.8,70.6,0.3,21.9
2024-09-08,13.8,17.3,10.0,78.1,0.7,20.0
2024-09-15,17.3,23.1,11.7,66.0,13.3,20.5
2024-09-22,16.4,20.5,12.3,72.1,0.8,25.7
2024-09-29,17.3,22.9,12.6,66.7,14.8,23.1
2024-10-06,18.0,21.5,14.8,74.9,3.8,25.5
2024-10-13,19.1,23.1,15.1,80.4,14.6,17.6
2024-10-20,20.2,24.8,15.7,75.7,74.9,26.4
