week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,29.6,19.0,59.4,11.7,21.1
2022-01-09,29.0,35.7,22.6,48.0,2.3,22.2
2022-01-16,25.0,28.9,21.7,82.3,60.5,22.1
2022-01-23,22.7,27.1,18.1,76.4,11.1,16.6
2022-01-30,22.6,27.3,18.0,69.4,42.5,17.3
2022-02-06,19.9,25.1,14.5,69.0,5.8,20.9
2022-02-13,22.5,29.0,16.1,59.6,0.0,18.4
2022-02-20,21.4,25.9,16.7,78.9,88.5,19.1
2022-02-27,22.3,27.0,18.2,76.0,51.1,19.3
2022-03-06,19.5,24.1,14.8,75.3,46.1,17.7
2022-03-13,19.7,25.4,14.0,68.3,20.1,17.2
2022-03-20,17.7,22.1,13.4,78.7,42.1,26.2
2022-03-27,16.0,21.9,10.3,65.7,4.5,19.5
2022-04-03,18.0,24.0,12.5,74.3,2.4,14.9
2022-04-10,16.0,21.6,10.8,74.0,24.4,16.0
2022-04-17,16.9,21.8,12.1,73.9,2.1,15.7
2022-04-24,14.9,19.4,9.7,71.6,44.7,22.0
2022-05-01,12.6,18.9,7.6,79.9,0.2,13.6
2022-05-08,13.7,19.2,9.6,79.7,0.0,13.6
2022-05-15,11.1,15.6,6.8,71.6,0.5,22.2
2022-05-22,11.4,16.5,7.3,83.7,8.8,16.3
2022-05-29,6.0,11.6,1.2,73.9,0.0,13.9
2022-06-05,8.1,13.9,4.3,81.4,0.2,13.6
2022-06-12,9.6,16.3,4.6,75.1,0.0,16.2
2022-06-19,8.0,12.7,3.8,74.0,0.2,16.4
2022-06-26,9.6,14.2,6.2,76.6,5.5,16.7
2022-07-03,10.1,14.8,4.6,80.1,3.8,18.2
2022-07-10,10.7,14.0,6.9,77.4,5.1,22.2
2022-07-17,10.7,16.9,6.2,82.3,0.0,16.7
2022-07-24,14.2,18.7,10.7,82.7,42.3,19.0
2022-07-31,10.7,16.0,6.3,82.0,0.3,15.6
2022-08-07,11.3,16.4,7.2,77.4,1.3,18.6
2022-08-14,11.3,17.0,6.3,58.1,7.1,21.4
2022-08-21,14.1,20.6,8.3,76.4,13.0,15.1
2022-08-28,11.5,17.3,6.2,67.6,3.3,18.7
2022-09-04,13.5,20.8,7.2,63.7,16.0,19.0
2022-09-11,14.5,21.0,8.4,70.7,0.3,16.1
