week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.7,28.4,20.5,63.4,10.3,26.4
2022-01-09,28.6,33.5,23.8,55.0,1.8,26.5
2022-01-16,25.6,28.0,23.6,82.9,38.1,29.3
2022-01-23,23.2,26.2,19.8,77.0,21.5,20.4
2022-01-30,23.0,26.5,19.7,71.1,31.3,20.6
2022-02-06,20.6,24.5,16.0,69.9,4.3,24.6
2022-02-13,22.8,27.4,18.2,64.7,1.0,20.9
2022-02-20,22.0,25.1,18.1,79.4,84.4,22.1
2022-02-27,22.9,26.2,19.9,77.7,48.8,23.7
2022-03-06,20.5,23.4,17.3,76.0,59.5,18.9
2022-03-13,20.3,24.5,16.2,71.1,28.6,19.4
2022-03-20,18.2,21.8,14.9,78.1,33.4,29.0
2022-03-27,16.7,21.4,12.0,68.9,2.8,20.3
2022-04-03,18.2,22.2,14.4,79.0,5.3,17.2
2022-04-10,16.9,20.7,12.8,75.6,27.6,16.7
2022-04-17,17.4,20.7,13.9,75.9,2.5,18.3
2022-04-24,15.9,19.1,12.1,73.6,51.2,26.4
2022-05-01,14.0,18.6,9.8,78.7,0.3,15.1
2022-05-08,15.0,18.5,12.1,78.7,0.0,16.2
2022-05-15,11.9,15.6,8.5,71.9,0.1,24.4
2022-05-22,12.6,16.2,9.3,83.1,36.2,19.7
2022-05-29,7.5,11.4,3.9,73.6,0.0,14.7
2022-06-05,8.8,13.1,5.5,81.4,0.1,14.4
2022-06-12,10.2,15.5,6.0,74.6,0.0,17.4
2022-06-19,9.2,12.2,6.3,74.6,0.6,20.8
2022-06-26,10.2,14.1,7.2,75.7,5.8,18.3
2022-07-03,11.2,14.4,7.3,80.4,5.2,20.6
2022-07-10,11.3,13.9,8.4,77.6,5.3,24.8
2022-07-17,11.4,15.8,8.2,82.4,1.1,18.8
2022-07-24,14.0,17.8,11.1,84.6,30.4,23.0
2022-07-31,11.6,15.2,7.9,81.9,0.7,18.4
2022-08-07,12.4,15.7,9.7,75.7,4.1,21.4
2022-08-14,12.1,17.2,7.6,58.0,2.4,23.5
2022-08-21,14.2,18.8,9.4,79.1,17.9,17.2
2022-08-28,12.3,16.4,8.2,69.6,1.5,22.0
2022-09-04,14.0,19.7,8.7,66.4,10.1,20.5
2022-09-11,15.0,19.4,10.4,71.9,0.0,19.2
2022-09-18,14.8,18.5,11.1,70.9,8.5,20.1
2022-09-25,15.7,19.4,11.9,69.1,0.4,23.2
2022-10-02,16.7,21.4,12.3,64.0,7.7,27.5
2022-10-09,15.6,20.0,11.0,52.0,5.6,25.2
2022-10-16,16.6,19.2,14.5,81.0,34.6,27.8
2022-10-23,19.8,24.1,15.8,66.9,12.9,24.6
2022-10-30,16.6,20.9,11.5,64.4,2.4,25.8
2022-11-06,21.0,24.8,17.4,66.4,0.0,24.4
2022-11-13,22.8,27.0,18.5,67.3,23.9,24.4
2022-11-20,21.3,25.5,16.5,69.6,16.3,24.4
2022-11-27,23.6,26.8,20.2,68.0,5.0,23.7
2022-12-04,27.4,32.4,22.2,60.1,8.7,27.5
2022-12-11,23.7,28.3,19.6,56.0,17.7,29.6
2022-12-18,23.6,26.8,20.5,67.6,23.5,28.0
2022-12-25,23.3,28.3,18.2,55.4,0.1,23.1
2023-01-01,24.5,29.2,19.4,57.4,8.0,26.9
2023-01-08,25.4,29.7,21.1,59.1,3.6,24.0
2023-01-15,27.4,31.9,23.9,58.6,8.4,27.9
2023-01-22,26.3,30.6,22.5,66.6,13.9,24.6
2023-01-29,24.1,27.1,21.1,72.6,33.4,25.1
2023-02-05,26.9,32.1,21.8,63.9,0.1,16.8
2023-02-12,23.3,28.1,18.2,54.6,19.2,27.3
2023-02-19,23.7,28.7,18.5,60.3,1.8,20.8
2023-02-26,27.6,32.9,22.7,53.9,0.2,23.4
2023-03-05,28.4,33.0,24.3,63.4,0.0,22.7
2023-03-12,27.9,31.3,25.5,70.4,24.8,21.6
2023-03-19,23.6,26.1,21.2,70.9,69.7,25.1
2023-03-26,19.7,22.8,15.9,69.4,11.8,25.0
2023-04-02,19.8,22.4,17.2,77.6,26.9,20.4
2023-04-09,18.2,21.6,14.6,69.3,3.5,19.4
2023-04-16,15.4,19.0,11.5,70.4,10.2,22.5
2023-04-23,19.2,22.7,16.3,81.3,1.6,18.3
2023-04-30,16.4,20.1,12.8,74.4,28.4,23.8
2023-05-07,14.8,19.1,11.3,77.1,0.0,16.0
2023-05-14,17.0,21.1,12.7,76.6,7.5,20.3
2023-05-21,17.6,20.1,14.8,84.1,96.2,24.0
2023-05-28,14.3,17.6,10.9,82.7,3.8,15.6
2023-06-04,15.8,18.7,11.8,75.4,3.9,22.3
2023-06-11,7.9,12.4,3.6,73.9,0.1,13.6
2023-06-18,11.0,14.4,7.5,86.1,2.4,16.5
2023-06-25,11.8,15.5,8.6,81.1,1.3,16.2
2023-07-02,15.2,18.4,12.3,81.4,28.2,24.6
2023-07-09,10.4,12.9,7.4,82.0,33.3,22.7
2023-07-16,11.3,15.6,6.8,76.4,1.5,21.6
2023-07-23,11.4,14.4,8.4,77.3,7.1,21.1
2023-07-30,15.1,19.9,10.8,75.7,0.0,20.5
2023-08-06,12.3,16.2,9.0,69.4,2.7,22.1
2023-08-13,14.5,19.3,10.2,64.4,29.7,23.1
2023-08-20,11.2,15.4,7.1,70.1,16.0,17.4
2023-08-27,12.8,17.1,8.6,68.0,8.6,19.7
2023-09-03,12.0,15.2,8.4,76.6,22.8,24.4
2023-09-10,15.4,20.2,10.8,66.1,10.9,23.9
2023-09-17,15.1,17.6,12.7,80.3,5.4,27.4
2023-09-24,13.6,17.2,9.5,73.0,0.0,22.0
2023-10-01,15.3,20.4,9.9,64.1,2.3,20.9
2023-10-08,16.6,21.9,10.8,57.7,1.6,22.9
2023-10-15,17.7,21.3,14.6,71.9,6.2,24.1
2023-10-22,18.6,22.8,14.4,74.7,31.1,18.7
2023-10-29,16.0,18.9,12.8,74.6,82.3,32.9
2023-11-05,20.3,24.8,15.9,68.7,51.7,23.8
2023-11-12,19.3,23.3,14.9,65.9,3.3,24.4
2023-11-19,21.5,26.6,16.7,57.4,7.6,23.2
2023-11-26,24.0,27.7,19.5,73.3,36.0,24.1
2023-12-03,19.9,22.7,16.9,70.4,12.0,24.0
2023-12-10,25.1,28.9,21.3,73.6,4.4,21.7
2023-12-17,22.0,25.5,18.2,74.9,46.1,28.8
2023-12-24,22.6,27.0,17.1,63.1,15.3,23.1
2023-12-31,24.3,27.5,21.3,67.7,14.5,21.9
2024-01-07,24.5,28.5,20.0,70.4,7.5,21.7
2024-01-14,24.1,28.2,20.2,68.9,18.1,24.0
2024-01-21,24.3,28.1,20.2,61.6,0.0,24.1
2024-01-28,28.3,32.7,23.5,58.6,1.5,22.1
2024-02-04,27.1,31.0,24.1,72.4,63.7,25.7
2024-02-11,23.1,26.3,19.0,69.6,33.6,24.0
2024-02-18,24.9,28.2,22.1,74.9,5.2,21.0
2024-02-25,24.1,27.1,21.5,81.0,44.7,25.3
2024-03-03,21.5,25.7,17.4,66.0,13.6,21.1
2024-03-10,23.8,26.7,21.6,84.6,208.2,21.3
2024-03-17,21.2,24.1,18.3,78.1,172.0,23.9
2024-03-24,21.9,25.9,17.9,77.7,0.2,15.8
2024-03-31,18.9,22.2,15.3,75.6,25.7,19.5
2024-04-07,18.4,21.2,15.4,76.3,20.9,25.0
2024-04-14,19.2,22.9,15.7,79.1,38.8,22.7
2024-04-21,16.9,19.7,14.0,80.6,92.6,25.1
2024-04-28,14.2,18.0,9.8,75.0,2.3,19.4
2024-05-05,15.4,18.4,12.1,81.6,6.1,19.4
2024-05-12,9.5,13.9,5.8,76.3,6.6,18.9
2024-05-19,10.3,13.7,6.9,76.4,0.3,19.2
2024-05-26,11.7,14.9,8.7,83.3,5.0,18.2
2024-06-02,13.2,16.1,10.5,83.6,10.7,18.6
2024-06-09,17.7,21.3,14.4,78.9,9.2,22.8
2024-06-16,14.6,17.4,11.5,85.7,15.9,19.2
2024-06-23,9.1,12.4,5.9,71.3,4.1,22.4
2024-06-30,7.4,12.9,2.6,68.4,0.0,18.6
2024-07-07,4.5,10.0,-0.2,68.7,0.0,12.1
2024-07-14,10.3,14.5,6.6,81.3,4.5,18.5
2024-07-21,12.9,17.3,9.1,82.1,5.6,15.7
2024-07-28,14.1,18.2,10.3,70.0,21.5,26.0
2024-08-04,10.9,14.3,7.6,77.7,10.5,24.4
2024-08-11,11.0,15.4,7.1,69.6,0.4,22.3
2024-08-18,10.4,13.0,7.9,81.3,34.6,25.1
2024-08-25,10.8,14.5,7.1,83.1,89.2,23.5
2024-09-01,12.9,18.1,8.0,70.6,0.3,21.9
2024-09-08,14.0,17.5,10.2,78.3,0.7,20.0
2024-09-15,17.5,23.3,11.9,66.1,13.3,20.5
2024-09-22,16.6,20.7,12.5,72.1,0.8,25.7
2024-09-29,17.5,23.1,12.8,66.7,14.8,23.1
2024-10-06,18.1,21.7,15.0,74.9,3.8,25.5
2024-10-13,19.3,23.3,15.3,80.4,14.6,17.6
2024-10-20,20.4,25.0,15.9,75.7,74.9,26.4
2024-10-27,22.5,27.3,17.4,70.6,1.6,19.7
2024-11-03,20.1,23.6,15.5,72.1,10.2,24.0
2024-11-10,21.5,27.2,15.7,59.0,9.7,23.3
2024-11-17,20.3,23.6,16.9,71.3,6.6,24.6
2024-11-24,22.8,26.4,19.9,77.0,82.3,22.1
2024-12-01,19.9,24.6,15.2,59.1,35.3,20.8
2024-12-08,21.7,26.0,17.1,66.6,14.3,17.5
2024-12-15,21.8,25.4,18.2,66.6,6.3,19.7
2024-12-22,21.0,25.5,16.5,65.9,2.7,16.2
2024-12-29,23.1,27.4,18.8,67.3,13.7,18.9
2025-01-05,23.5,26.9,20.4,68.1,0.0,18.7
2025-01-12,25.9,29.9,22.3,67.7,15.9,19.9
2025-01-19,24.9,29.1,21.2,69.3,42.8,18.5
