week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,29.3,19.3,60.7,6.9,24.4
2022-01-09,28.9,35.4,23.0,50.3,1.7,23.5
2022-01-16,25.0,28.3,22.1,83.3,69.4,25.2
2022-01-23,22.8,27.0,18.4,76.1,13.4,19.0
2022-01-30,22.7,27.0,18.6,69.4,38.7,19.8
2022-02-06,20.0,25.0,14.8,69.6,4.8,24.2
2022-02-13,22.6,28.7,16.4,60.4,0.0,21.7
2022-02-20,21.4,25.7,16.9,80.1,82.6,20.9
2022-02-27,22.3,26.5,18.4,76.3,56.7,21.1
2022-03-06,19.5,23.8,14.9,75.3,57.4,19.8
2022-03-13,19.7,25.0,14.3,70.6,25.6,19.0
2022-03-20,17.7,21.9,13.7,78.9,35.1,29.6
2022-03-27,16.1,21.7,10.5,66.3,1.9,22.6
2022-04-03,18.0,23.4,12.7,76.0,3.3,16.6
2022-04-10,16.1,21.2,11.1,74.0,15.3,17.1
2022-04-17,17.0,21.4,12.8,74.6,2.0,17.1
2022-04-24,14.9,19.1,10.1,72.1,55.0,24.0
2022-05-01,12.7,18.8,7.7,80.6,0.1,14.2
2022-05-08,13.9,19.0,9.8,80.0,0.0,15.1
2022-05-15,11.1,15.6,7.1,72.1,0.3,24.0
2022-05-22,11.4,16.1,7.5,83.9,9.9,17.4
2022-05-29,6.0,11.3,1.3,74.3,0.0,15.5
2022-06-05,8.2,13.5,4.6,82.0,0.3,15.0
2022-06-12,9.5,15.8,4.8,76.3,0.0,17.2
2022-06-19,8.1,12.6,4.0,74.6,0.1,18.2
2022-06-26,9.6,14.0,6.3,76.4,5.3,18.9
2022-07-03,10.0,14.3,5.0,81.0,3.5,20.3
2022-07-10,10.7,13.9,7.1,78.4,8.4,24.3
2022-07-17,10.7,16.5,6.4,82.6,16.1,18.1
2022-07-24,14.0,18.4,10.6,83.6,36.2,21.2
2022-07-31,10.9,15.5,6.9,82.3,0.2,16.9
2022-08-07,11.3,15.7,7.8,78.3,1.6,19.6
2022-08-14,11.2,16.7,6.3,60.1,3.3,23.5
2022-08-21,13.7,19.4,8.6,80.1,5.4,16.8
2022-08-28,11.5,16.5,6.6,69.4,7.0,20.6
2022-09-04,13.4,20.0,7.6,65.9,18.7,20.6
2022-09-11,14.4,20.0,9.1,73.4,0.1,18.3
2022-09-18,14.2,19.0,9.5,71.7,14.4,18.3
2022-09-25,15.3,20.5,10.4,66.7,0.6,19.8
2022-10-02,16.3,22.2,11.0,63.4,4.3,26.5
2022-10-09,14.8,20.0,9.5,54.7,2.8,23.8
2022-10-16,16.5,20.8,13.1,77.7,23.2,26.7
2022-10-23,19.5,24.9,14.5,64.9,18.1,24.6
2022-10-30,16.5,22.1,10.3,60.9,2.4,24.2
2022-11-06,21.4,26.3,17.0,61.1,0.0,22.8
2022-11-13,23.3,29.1,17.9,61.0,13.9,26.7
2022-11-20,21.3,27.1,15.4,64.1,13.2,24.6
2022-11-27,23.7,28.7,19.5,64.9,16.1,22.9
2022-12-04,27.5,33.9,21.5,58.0,5.5,23.3
2022-12-11,23.2,29.1,17.7,55.0,9.1,26.1
2022-12-18,23.7,28.1,20.0,63.6,25.5,26.8
2022-12-25,23.4,29.4,16.6,49.9,1.1,21.7
2023-01-01,24.5,30.5,18.8,55.9,7.5,26.8
2023-01-08,25.2,30.7,20.3,57.0,6.1,23.9
2023-01-15,27.6,32.9,23.1,55.3,4.3,27.4
2023-01-22,26.0,31.1,21.4,66.1,26.0,20.9
2023-01-29,23.6,27.8,19.9,72.7,11.1,22.1
2023-02-05,27.5,33.7,21.2,57.7,1.6,19.0
2023-02-12,22.9,28.5,17.2,52.4,5.5,27.1
2023-02-19,23.8,29.7,18.1,58.1,3.6,20.4
2023-02-26,27.7,34.0,22.3,51.3,0.7,21.4
2023-03-05,28.3,33.8,24.0,62.3,0.7,21.8
2023-03-12,27.7,32.1,24.3,69.4,39.2,19.5
2023-03-19,23.0,26.7,19.9,70.6,45.2,23.0
2023-03-26,18.9,23.0,13.9,67.3,27.8,22.4
2023-04-02,19.1,22.7,15.8,78.0,63.8,17.5
2023-04-09,17.6,22.3,12.9,69.0,7.3,17.4
2023-04-16,14.7,19.5,10.0,71.1,12.4,21.4
2023-04-23,18.8,23.8,15.2,80.6,2.0,18.0
2023-04-30,15.1,20.4,10.4,74.4,24.9,22.3
2023-05-07,14.0,19.0,9.8,76.9,0.0,16.4
2023-05-14,16.4,21.6,11.9,77.3,19.0,19.2
2023-05-21,17.0,20.0,14.1,84.3,95.9,23.8
2023-05-28,13.5,17.9,9.3,83.9,3.3,15.0
2023-06-04,14.8,18.5,9.7,75.3,10.2,22.0
2023-06-11,6.6,12.4,1.4,75.6,0.1,15.0
2023-06-18,10.1,14.2,5.9,88.9,3.3,15.2
2023-06-25,10.8,15.7,7.0,82.7,2.2,16.5
2023-07-02,14.6,18.7,11.3,81.9,10.1,22.7
2023-07-09,9.6,12.7,6.4,83.7,28.0,20.6
2023-07-16,10.7,15.6,5.7,78.0,1.0,21.2
2023-07-23,10.7,14.5,6.9,78.0,6.3,21.2
2023-07-30,14.2,19.9,9.3,76.3,0.0,20.8
2023-08-06,11.6,15.6,8.2,70.0,10.2,23.8
2023-08-13,14.1,19.0,9.4,63.9,18.9,24.0
2023-08-20,10.5,15.2,5.8,69.7,15.5,19.5
2023-08-27,12.2,17.3,7.3,67.9,4.4,19.1
2023-09-03,11.5,15.2,7.5,77.0,24.0,22.5
2023-09-10,14.9,20.4,9.9,65.4,3.7,26.3
2023-09-17,14.5,18.2,11.4,78.7,3.0,25.6
2023-09-24,12.9,17.2,8.3,73.1,0.8,20.5
2023-10-01,15.1,21.1,9.0,61.1,1.8,22.5
2023-10-08,16.4,22.5,9.8,55.9,9.6,22.6
2023-10-15,17.5,22.4,13.4,67.7,3.9,23.0
2023-10-22,18.3,23.7,13.2,71.9,23.1,20.5
2023-10-29,15.2,18.9,11.5,75.6,86.4,30.5
2023-11-05,19.8,24.8,14.5,68.3,68.2,23.2
2023-11-12,18.7,23.7,13.4,64.4,17.3,24.2
2023-11-19,20.9,26.9,14.7,56.1,4.4,23.6
2023-11-26,24.0,29.3,18.4,70.4,39.4,24.1
2023-12-03,19.3,23.0,15.6,71.4,14.2,23.2
2023-12-10,25.1,29.4,20.7,72.4,15.3,22.9
2023-12-17,21.5,25.8,16.9,74.6,59.2,25.1
2023-12-24,22.0,27.1,15.6,64.3,23.6,20.8
