week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,24.6,28.4,20.3,64.1,7.4,28.1
2022-01-09,28.3,33.0,23.9,57.6,0.8,27.2
2022-01-16,25.3,27.8,23.3,83.6,58.5,30.4
2022-01-23,23.2,26.3,19.7,76.0,8.5,21.5
2022-01-30,23.0,26.4,19.8,70.7,37.5,22.0
2022-02-06,20.4,24.5,16.1,70.1,4.3,27.1
2022-02-13,22.5,27.0,18.0,66.0,0.2,23.8
2022-02-20,21.8,25.0,18.1,80.6,83.7,23.0
2022-02-27,22.8,26.1,19.8,77.6,46.3,24.3
2022-03-06,20.3,23.7,16.8,76.1,71.7,21.3
2022-03-13,20.2,24.2,16.2,73.9,26.5,20.2
2022-03-20,18.2,21.7,14.9,78.4,30.0,32.2
2022-03-27,16.7,21.3,12.2,68.6,1.9,22.8
2022-04-03,18.2,21.9,14.7,80.0,4.9,19.1
2022-04-10,16.8,20.6,13.1,76.7,10.9,18.0
2022-04-17,17.4,20.5,14.2,77.1,1.5,19.6
2022-04-24,15.7,18.9,12.1,74.1,63.7,27.0
2022-05-01,13.8,18.3,9.8,79.9,0.0,15.3
2022-05-08,14.9,18.5,11.7,80.0,0.0,17.3
2022-05-15,11.8,15.4,8.3,72.9,0.2,26.1
2022-05-22,12.3,15.8,9.1,84.1,15.2,20.0
2022-05-29,7.1,11.1,3.5,74.3,0.0,16.4
2022-06-05,8.8,12.8,5.6,82.4,1.0,15.3
2022-06-12,10.2,14.9,6.4,76.7,0.0,18.6
2022-06-19,8.9,12.2,5.5,74.9,0.6,20.5
2022-06-26,10.1,13.8,7.4,76.1,8.9,20.3
2022-07-03,10.7,13.8,6.8,81.9,5.7,22.4
2022-07-10,11.1,13.6,8.1,79.0,9.9,27.0
2022-07-17,11.2,15.4,7.9,83.6,3.8,20.1
2022-07-24,13.8,17.2,11.0,85.7,45.9,24.6
2022-07-31,11.6,14.7,8.4,82.9,0.8,19.1
2022-08-07,12.0,14.7,9.6,78.9,2.1,22.5
2022-08-14,11.9,16.4,7.6,63.1,2.1,25.5
2022-08-21,13.6,17.4,9.5,82.1,7.4,17.7
2022-08-28,12.0,15.6,8.2,72.4,8.0,23.2
2022-09-04,13.9,18.9,9.0,69.3,15.6,22.0
2022-09-11,14.8,18.4,11.0,75.6,0.0,19.8
2022-09-18,14.5,18.0,10.9,73.0,13.4,20.5
2022-09-25,15.4,19.0,11.9,71.3,4.3,23.9
2022-10-02,16.4,21.0,12.0,66.6,7.4,28.2
2022-10-09,15.3,19.4,11.3,56.9,2.8,26.3
2022-10-16,16.4,19.3,14.1,81.6,22.8,29.2
2022-10-23,19.6,23.9,15.7,68.3,14.0,26.3
2022-10-30,16.5,20.6,11.6,65.9,2.2,27.1
2022-11-06,21.0,24.4,17.7,67.4,0.0,26.2
2022-11-13,22.8,27.2,18.6,67.4,16.8,27.8
2022-11-20,21.2,25.6,16.5,69.9,19.0,26.3
2022-11-27,23.4,26.6,20.2,70.0,15.8,24.5
2022-12-04,26.9,31.1,22.5,65.1,3.5,27.5
2022-12-11,23.3,27.8,19.3,59.0,17.9,30.9
2022-12-18,23.3,26.4,20.5,69.0,22.3,29.7
2022-12-25,23.2,27.9,18.1,58.0,0.8,24.3
2023-01-01,24.1,28.9,19.7,60.6,6.9,29.0
2023-01-08,24.8,28.9,21.0,62.4,1.7,24.8
2023-01-15,26.8,30.4,23.8,62.7,3.3,28.9
2023-01-22,25.8,29.6,22.3,70.7,22.6,24.5
