week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,-3.4,0.6,-7.5,62.0,3.4,22.2
2022-01-09,-1.9,1.9,-5.7,63.9,12.0,20.8
2022-01-16,-3.8,-0.1,-7.5,61.7,10.2,19.8
2022-01-23,-6.4,-2.3,-10.9,66.6,7.5,18.8
2022-01-30,-3.2,1.6,-6.8,72.3,57.1,17.7
2022-02-06,-1.6,3.9,-7.4,76.0,3.2,18.3
2022-02-13,-0.6,3.7,-5.8,59.1,43.7,23.9
2022-02-20,3.0,9.5,-1.7,65.9,45.0,21.8
2022-02-27,4.1,11.9,-2.3,60.0,0.2,19.9
2022-03-06,4.3,9.7,-0.6,68.9,35.3,23.1
2022-03-13,8.7,15.7,1.7,68.6,17.8,20.3
2022-03-20,8.5,12.4,4.6,69.0,24.3,23.6
2022-03-27,3.8,9.3,-1.8,59.1,6.1,25.6
2022-04-03,6.3,10.6,2.2,78.3,29.7,21.8
2022-04-10,12.0,17.7,6.2,66.4,37.0,24.5
2022-04-17,9.2,14.7,3.4,65.1,17.3,22.2
2022-04-24,12.1,17.8,6.5,59.9,9.1,19.6
2022-05-01,14.6,19.4,11.0,77.0,54.4,22.1
2022-05-08,18.2,24.5,11.5,61.1,9.1,14.8
2022-05-15,19.9,25.6,15.0,68.0,38.4,19.2
2022-05-22,17.9,22.4,13.9,75.4,30.3,18.5
2022-05-29,21.4,26.9,15.6,66.4,24.3,16.7
2022-06-05,19.6,25.1,14.3,67.4,23.2,18.3
2022-06-12,25.1,30.0,20.3,69.4,26.2,19.8
2022-06-19,22.9,29.4,15.6,53.4,0.5,13.6
2022-06-26,23.7,29.9,17.6,52.1,2.7,17.1
2022-07-03,24.4,29.8,19.8,66.7,28.4,15.2
2022-07-10,23.4,28.7,17.9,64.4,34.1,14.9
2022-07-17,24.7,29.3,20.5,76.6,46.5,19.6
2022-07-24,23.4,27.3,19.5,74.3,34.8,16.8
2022-07-31,24.1,29.3,20.0,79.4,34.8,16.5
2022-08-07,22.4,26.8,18.2,76.6,27.2,14.6
2022-08-14,20.8,25.8,16.2,74.3,16.3,12.6
2022-08-21,21.6,27.0,16.8,75.9,28.9,12.1
2022-08-28,22.9,28.3,18.3,73.1,19.5,15.0
2022-09-04,20.7,25.3,17.1,80.1,47.7,13.6
2022-09-11,19.0,24.4,14.5,78.4,11.3,13.3
2022-09-18,19.0,24.5,14.1,67.9,25.5,17.5
2022-09-25,13.3,17.4,9.7,68.6,7.0,21.7
2022-10-02,12.1,18.1,6.5,64.3,0.0,16.4
2022-10-09,12.4,17.9,7.7,56.9,15.9,21.8
2022-10-16,8.4,14.0,3.8,56.7,5.6,24.2
2022-10-23,12.4,18.7,6.6,65.7,1.8,15.6
2022-10-30,14.4,19.9,10.0,79.1,5.9,18.1
2022-11-06,11.5,16.2,7.5,60.6,36.7,17.8
2022-11-13,0.2,2.7,-2.4,64.6,3.3,20.3
2022-11-20,2.9,9.0,-2.3,56.1,2.8,16.6
2022-11-27,5.0,10.1,-0.2,70.1,40.1,27.2
2022-12-04,4.8,8.3,1.7,78.3,8.8,11.6
2022-12-11,2.9,5.4,-0.1,74.4,14.1,18.6
2022-12-18,-5.9,0.6,-9.9,65.0,15.9,18.7
2022-12-25,-0.2,3.4,-4.4,77.4,10.5,18.0
2023-01-01,6.6,10.4,2.8,84.7,44.0,19.0
2023-01-08,0.8,4.6,-2.5,82.1,26.2,18.0
2023-01-15,3.0,7.3,-0.5,71.3,29.7,21.8
2023-01-22,0.3,3.8,-3.3,80.1,29.8,21.5
2023-01-29,-2.7,1.8,-6.6,54.0,5.3,19.4
2023-02-05,4.7,9.6,-0.6,70.9,7.3,22.9
2023-02-12,5.2,12.7,-0.1,64.3,14.7,24.2
2023-02-19,6.3,12.0,1.1,64.9,9.2,24.0
2023-02-26,6.8,13.1,1.4,76.9,45.7,24.1
2023-03-05,3.9,9.4,-0.4,67.4,4.4,20.3
2023-03-12,1.4,5.5,-3.3,63.4,13.0,21.8
2023-03-19,5.8,11.6,1.0,66.4,88.8,25.0
2023-03-26,7.1,13.3,0.9,66.9,30.6,22.8
2023-04-02,10.1,16.6,5.0,67.3,23.8,19.5
2023-04-09,14.2,21.2,6.4,59.3,4.0,12.7
2023-04-16,11.8,17.7,5.6,62.6,22.4,23.9
2023-04-23,8.6,13.8,3.4,63.4,20.7,16.8
2023-04-30,9.4,14.0,4.4,71.3,22.8,22.2
2023-05-07,17.4,23.4,11.9,71.3,36.0,15.0
2023-05-14,16.3,21.6,10.7,59.6,13.9,16.4
2023-05-21,17.0,23.7,10.2,55.3,0.0,15.2
2023-05-28,22.6,29.2,15.8,51.7,0.3,14.5
2023-06-04,19.3,25.6,12.4,46.3,0.0,15.7
2023-06-11,17.4,22.7,12.5,72.4,65.1,21.7
