week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,-2.6,1.6,-6.9,61.7,4.2,21.8
2022-01-09,-1.3,2.6,-5.0,63.6,10.7,20.0
2022-01-16,-3.4,0.4,-7.1,62.6,12.7,19.6
2022-01-23,-5.3,-0.9,-9.7,62.1,6.7,18.9
2022-01-30,-2.4,2.2,-6.4,71.1,63.2,16.1
2022-02-06,-0.6,6.0,-6.1,71.3,2.7,18.5
2022-02-13,0.1,4.5,-4.9,57.6,56.1,24.5
2022-02-20,3.7,10.2,-0.9,64.0,51.6,21.5
2022-02-27,4.8,12.8,-1.7,59.7,2.6,20.7
2022-03-06,5.2,10.4,0.3,69.1,31.8,25.2
2022-03-13,8.8,16.2,1.6,69.6,15.5,20.2
2022-03-20,8.9,13.4,4.8,68.6,22.0,24.0
2022-03-27,4.4,9.9,-1.3,58.6,6.9,25.2
2022-04-03,6.8,11.1,2.6,77.0,27.8,21.1
2022-04-10,12.6,18.2,6.9,65.7,27.8,23.7
2022-04-17,9.7,15.5,4.0,64.7,15.2,22.1
2022-04-24,12.5,18.4,6.9,60.6,12.5,20.3
2022-05-01,15.2,20.2,11.6,76.1,69.4,21.8
2022-05-08,18.3,24.9,11.2,62.4,3.2,14.3
2022-05-15,20.5,26.5,15.5,66.7,31.3,19.3
2022-05-22,18.4,23.0,14.4,74.7,34.9,18.4
2022-05-29,21.8,27.5,15.9,67.0,6.9,16.3
2022-06-05,20.0,25.6,15.0,68.7,40.1,17.2
2022-06-12,25.5,30.6,20.6,69.1,33.4,19.4
2022-06-19,23.1,30.0,15.5,54.4,0.7,13.0
2022-06-26,23.9,30.0,18.2,53.4,2.8,16.6
2022-07-03,24.8,30.1,20.1,67.3,32.1,14.7
2022-07-10,23.8,29.3,18.5,65.3,23.1,13.9
2022-07-17,24.9,29.8,20.5,76.9,36.8,18.8
2022-07-24,23.9,27.9,20.0,74.3,27.7,15.5
2022-07-31,24.3,29.7,20.2,78.9,37.9,16.8
2022-08-07,22.9,27.7,18.5,77.3,31.8,14.8
2022-08-14,21.1,26.4,16.3,75.3,11.8,13.1
2022-08-21,22.0,27.5,17.2,76.1,37.2,12.5
