week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,-3.0,1.1,-7.3,62.1,3.8,22.6
2022-01-09,-1.5,2.4,-5.3,64.0,11.2,20.9
2022-01-16,-3.5,0.2,-7.0,61.6,11.4,20.5
2022-01-23,-5.6,-1.3,-10.0,62.6,6.2,20.6
2022-01-30,-2.8,2.0,-6.7,72.0,62.0,17.6
2022-02-06,-0.7,5.4,-5.8,73.3,2.1,19.4
2022-02-13,-0.1,4.2,-5.3,57.6,52.5,25.4
2022-02-20,3.4,9.9,-1.2,65.3,50.0,22.8
2022-02-27,4.6,12.4,-1.9,60.4,5.1,21.5
2022-03-06,4.8,10.0,-0.1,69.1,28.9,25.4
2022-03-13,8.8,15.8,2.0,69.4,15.1,20.3
2022-03-20,8.7,12.9,5.0,68.6,16.2,24.4
2022-03-27,4.1,9.7,-1.6,59.7,8.2,26.4
2022-04-03,6.6,10.8,2.4,78.0,24.7,21.9
2022-04-10,12.3,17.8,6.7,66.9,29.8,24.8
2022-04-17,9.4,15.0,4.0,65.9,14.7,22.9
2022-04-24,12.2,17.8,6.9,61.3,10.4,21.1
2022-05-01,14.9,19.8,11.3,77.6,67.0,22.5
2022-05-08,17.9,24.3,10.9,64.9,4.8,15.4
2022-05-15,20.3,26.0,15.5,67.6,31.7,19.7
2022-05-22,18.1,22.6,14.1,75.9,34.0,19.3
2022-05-29,21.6,27.0,16.0,67.0,8.7,16.5
2022-06-05,19.8,25.2,14.7,69.3,31.5,16.9
2022-06-12,25.4,30.2,20.6,69.3,28.4,19.8
2022-06-19,23.0,29.8,15.7,54.1,0.9,13.6
2022-06-26,23.8,29.7,17.8,52.0,3.9,17.5
2022-07-03,24.5,29.7,20.0,67.6,38.5,15.3
2022-07-10,23.6,29.1,18.4,65.4,14.1,14.8
2022-07-17,24.8,29.5,20.6,76.6,36.8,19.7
2022-07-24,23.7,27.7,20.0,74.0,20.5,16.6
2022-07-31,24.3,29.6,20.3,78.3,26.3,16.8
2022-08-07,22.7,27.3,18.5,77.3,17.5,15.2
2022-08-14,21.0,25.9,16.2,75.3,11.6,13.9
