week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,-3.6,0.5,-7.9,62.4,3.4,24.7
2022-01-09,-1.9,2.0,-5.8,64.3,15.6,22.3
2022-01-16,-3.8,-0.1,-7.4,61.7,9.3,21.6
2022-01-23,-6.3,-2.2,-10.7,64.6,6.5,21.2
2022-01-30,-3.4,1.4,-7.0,73.0,56.8,20.0
2022-02-06,-1.6,3.7,-6.5,76.3,3.2,19.7
2022-02-13,-0.6,3.8,-5.8,59.3,48.3,26.8
2022-02-20,3.1,9.5,-1.5,65.7,43.8,24.6
2022-02-27,4.1,12.1,-2.4,61.3,0.3,21.9
2022-03-06,4.2,9.6,-0.7,70.0,37.4,25.7
2022-03-13,8.8,15.8,1.9,68.9,15.5,22.2
2022-03-20,8.4,12.4,4.7,69.3,37.6,25.7
2022-03-27,3.6,9.3,-2.0,60.6,6.1,27.8
2022-04-03,6.3,10.5,2.1,78.7,25.8,23.6
2022-04-10,12.0,17.7,6.1,67.1,38.4,27.4
2022-04-17,9.0,14.7,3.4,66.9,17.9,23.9
2022-04-24,11.9,17.6,6.5,61.4,11.6,21.5
2022-05-01,14.4,19.4,10.7,77.9,57.6,23.7
2022-05-08,17.8,24.3,11.0,64.7,7.4,16.0
2022-05-15,20.1,25.8,15.2,67.3,40.9,21.5
2022-05-22,17.8,22.6,13.8,75.6,35.2,20.4
2022-05-29,21.4,26.9,15.3,66.4,26.3,17.9
2022-06-05,19.6,25.3,14.1,67.7,20.0,18.8
2022-06-12,25.2,30.2,20.4,68.7,31.2,21.9
2022-06-19,23.2,30.0,15.5,51.0,0.6,14.8
2022-06-26,24.2,30.2,18.2,48.0,2.6,18.1
2022-07-03,24.5,29.9,20.0,65.4,32.2,17.5
2022-07-10,23.2,28.7,17.7,65.3,20.9,15.7
2022-07-17,24.7,29.4,20.4,76.1,38.4,21.6
2022-07-24,23.4,27.5,19.5,73.6,14.1,19.0
2022-07-31,24.2,29.5,20.1,78.3,32.9,17.5
2022-08-07,22.5,27.1,18.3,75.3,9.5,15.6
2022-08-14,21.0,26.2,16.0,72.6,7.8,14.5
2022-08-21,21.6,27.2,16.8,74.6,32.6,14.1
2022-08-28,22.9,28.4,18.1,73.0,17.0,17.4
2022-09-04,20.5,25.3,16.8,81.0,58.2,14.5
2022-09-11,19.0,24.4,14.7,77.4,13.6,13.6
2022-09-18,19.1,24.6,14.0,67.4,17.2,18.6
2022-09-25,13.3,17.6,9.5,67.9,5.2,24.4
2022-10-02,12.1,18.3,6.1,62.9,0.0,18.1
2022-10-09,12.5,18.2,7.5,54.9,20.0,24.0
2022-10-16,8.6,14.4,3.9,54.4,4.6,26.9
2022-10-23,12.5,19.2,6.4,63.4,3.6,17.5
2022-10-30,14.5,20.3,10.0,77.6,9.3,20.8
2022-11-06,11.6,16.8,7.3,58.3,28.9,19.7
2022-11-13,0.0,2.7,-2.7,64.6,2.5,22.1
2022-11-20,3.0,9.3,-2.2,54.7,2.1,17.9
2022-11-27,4.9,10.2,-0.4,70.0,37.0,30.7
2022-12-04,4.7,8.5,1.7,77.9,7.7,12.6
2022-12-11,2.8,5.4,-0.3,74.9,13.3,20.4
2022-12-18,-6.1,0.2,-10.1,65.4,13.9,21.0
