week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,-2.9,1.2,-7.1,62.1,3.7,22.0
2022-01-09,-1.6,2.1,-5.3,64.9,22.0,20.3
2022-01-16,-3.6,0.0,-7.2,62.6,12.0,19.7
2022-01-23,-5.9,-1.7,-10.6,64.7,7.1,18.1
2022-01-30,-2.8,1.7,-6.8,72.3,60.4,17.3
2022-02-06,-1.2,4.7,-6.5,74.6,2.7,18.0
2022-02-13,-0.3,4.0,-5.2,60.3,47.3,24.2
2022-02-20,3.2,9.8,-1.3,66.3,44.2,21.4
2022-02-27,4.3,12.3,-2.0,61.0,0.0,19.4
2022-03-06,4.8,10.0,-0.1,68.7,38.0,24.0
2022-03-13,8.8,15.9,2.2,69.7,19.1,20.3
2022-03-20,8.7,12.8,4.8,69.4,17.3,23.6
2022-03-27,4.0,9.4,-1.5,59.7,7.5,25.2
2022-04-03,6.5,10.8,2.7,78.6,29.9,21.3
2022-04-10,12.2,17.9,6.5,67.3,34.3,24.5
2022-04-17,9.4,15.1,3.7,65.4,17.2,22.2
2022-04-24,12.3,18.3,6.8,60.3,4.6,20.3
2022-05-01,14.9,19.8,11.4,76.7,56.6,21.6
2022-05-08,18.5,24.9,11.8,60.3,10.4,14.7
2022-05-15,20.3,26.2,15.1,66.9,31.9,18.7
2022-05-22,18.2,22.7,14.1,75.3,31.2,18.7
2022-05-29,21.7,27.3,15.9,66.7,18.8,16.8
2022-06-05,19.8,25.3,14.7,68.1,20.4,18.5
2022-06-12,25.2,30.3,20.3,69.7,27.1,19.8
2022-06-19,23.1,29.9,16.0,52.9,0.0,14.1
2022-06-26,24.1,30.3,18.2,51.4,7.5,16.8
2022-07-03,24.7,30.2,20.1,65.9,31.7,15.0
2022-07-10,23.5,29.0,18.3,65.3,36.3,14.5
2022-07-17,24.8,29.6,20.7,76.6,33.6,20.4
2022-07-24,23.6,27.6,19.7,74.3,35.3,16.1
2022-07-31,24.2,29.6,20.2,78.7,49.2,16.6
2022-08-07,22.7,27.3,18.7,76.3,26.8,14.8
2022-08-14,21.1,26.1,16.5,73.7,10.8,12.6
2022-08-21,21.9,27.5,17.1,75.4,31.1,12.4
2022-08-28,23.1,28.5,18.5,73.0,21.7,14.7
