week_start,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_mean,precipitation_sum_mm,wind_speed_max_kmh
2022-01-02,-3.2,1.0,-7.4,63.0,3.9,22.6
2022-01-09,-1.7,2.3,-5.5,64.6,14.2,20.9
2022-01-16,-3.6,0.2,-7.1,61.6,10.8,20.3
2022-01-23,-5.8,-1.5,-10.3,63.6,6.2,20.2
2022-01-30,-3.0,1.7,-6.9,72.6,60.3,17.5
2022-02-06,-1.5,5.0,-6.7,75.3,2.0,19.3
2022-02-13,-0.3,4.0,-5.4,58.9,51.7,25.4
2022-02-20,3.3,9.9,-1.4,66.0,42.9,22.9
2022-02-27,4.3,12.4,-2.2,61.7,0.6,20.8
2022-03-06,4.6,10.0,-0.4,70.0,32.6,25.2
2022-03-13,8.6,15.8,1.4,70.6,14.0,21.1
2022-03-20,8.5,12.8,4.6,69.9,17.4,24.3
2022-03-27,3.9,9.5,-1.7,60.9,9.3,26.4
2022-04-03,6.5,10.7,2.2,78.6,25.5,22.1
2022-04-10,12.1,17.9,6.4,67.9,32.7,25.2
2022-04-17,9.3,15.0,3.6,66.9,15.1,22.8
2022-04-24,12.1,17.9,6.6,62.0,7.6,21.0
2022-05-01,14.8,19.7,11.1,77.7,73.4,22.5
2022-05-08,17.8,24.5,10.7,65.3,5.4,15.2
2022-05-15,20.2,26.0,15.3,68.1,33.0,19.8
2022-05-22,18.0,22.7,14.0,76.1,34.6,19.6
2022-05-29,21.5,27.2,15.4,67.7,14.8,16.8
2022-06-05,19.7,25.3,14.3,69.6,27.7,17.5
2022-06-12,25.3,30.2,20.4,70.0,33.7,20.1
2022-06-19,23.0,29.9,15.5,54.6,1.1,13.7
2022-06-26,23.9,30.0,17.7,51.3,2.6,17.8
2022-07-03,24.7,30.0,20.1,66.1,28.8,15.3
2022-07-10,23.5,29.2,18.0,65.6,19.1,15.3
2022-07-17,24.8,29.6,20.5,76.6,38.8,20.7
2022-07-24,23.6,27.8,19.7,74.1,24.9,17.2
2022-07-31,24.3,29.9,20.2,78.1,29.5,16.6
2022-08-07,22.7,27.6,18.3,76.9,24.1,15.3
2022-08-14,21.1,26.3,16.1,73.7,14.7,14.1
2022-08-21,22.0,27.6,17.1,74.0,30.8,13.6
2022-08-28,23.0,28.6,18.1,73.1,27.5,16.0
2022-09-04,20.9,25.7,17.1,80.4,48.5,13.2
2022-09-11,19.2,24.7,14.7,77.6,29.5,13.7
2022-09-18,19.2,24.8,14.0,68.4,16.8,18.0
2022-09-25,13.5,17.9,9.8,67.6,6.5,23.2
2022-10-02,12.3,18.6,6.5,63.7,0.0,16.8
2022-10-09,12.6,18.4,7.4,56.1,14.9,22.0
2022-10-16,8.5,14.6,3.8,56.0,4.1,25.1
2022-10-23,12.3,18.9,6.2,66.1,1.4,15.9
2022-10-30,14.5,20.3,9.9,78.9,3.9,18.8
2022-11-06,11.8,17.0,7.7,59.7,31.2,18.4
2022-11-13,0.3,3.0,-2.3,64.7,3.2,20.9
2022-11-20,2.8,9.2,-2.4,56.6,1.9,17.1
2022-11-27,5.2,10.4,-0.1,70.1,36.0,28.5
2022-12-04,5.0,8.6,1.9,79.1,7.8,11.4
2022-12-11,3.1,5.7,0.1,74.3,14.1,18.8
2022-12-18,-5.8,0.8,-9.9,65.7,14.6,19.3
2022-12-25,-0.1,3.6,-4.9,77.0,12.3,17.6
2023-01-01,6.8,10.6,2.5,84.6,47.6,20.1
2023-01-08,0.8,5.0,-2.8,82.4,28.4,18.4
2023-01-15,3.2,7.5,-0.4,71.6,24.3,21.2
2023-01-22,0.4,3.9,-3.5,80.7,26.0,22.2
2023-01-29,-2.3,2.1,-6.2,55.0,4.2,19.9
2023-02-05,4.9,9.8,-0.3,71.3,6.4,23.1
2023-02-12,5.3,13.1,-0.3,65.0,13.4,24.2
2023-02-19,6.7,12.5,1.2,65.4,11.7,25.5
2023-02-26,7.2,13.7,1.5,77.0,54.2,27.2
2023-03-05,4.1,9.7,-0.4,67.6,4.6,20.2
2023-03-12,1.6,5.8,-3.2,64.0,11.6,22.5
2023-03-19,6.0,12.0,1.2,67.1,86.4,26.0
2023-03-26,7.3,13.7,0.8,68.1,17.4,23.9
2023-04-02,10.1,16.9,5.0,68.9,20.9,20.3
2023-04-09,14.0,21.1,6.1,61.7,3.3,13.0
2023-04-16,12.0,18.0,5.8,63.7,29.4,24.9
2023-04-23,8.7,14.1,3.5,65.0,30.9,17.2
2023-04-30,9.6,14.1,4.4,71.6,20.5,23.4
2023-05-07,17.2,23.6,11.2,74.1,58.4,16.0
2023-05-14,16.4,21.9,10.9,60.6,15.5,16.9
2023-05-21,17.1,24.1,9.8,56.4,0.0,15.9
2023-05-28,22.9,29.6,15.7,50.7,0.2,15.6
2023-06-04,19.6,26.0,12.4,45.9,0.2,15.8
2023-06-11,17.5,23.0,12.5,73.3,61.7,23.3
2023-06-18,20.4,24.9,16.3,76.1,34.4,14.7
2023-06-25,22.4,27.5,17.6,75.1,34.9,20.0
2023-07-02,23.6,28.5,19.6,79.6,76.8,14.8
2023-07-09,23.2,28.4,18.5,70.4,24.0,15.1
2023-07-16,22.8,28.4,18.3,75.4,24.6,14.5
2023-07-23,24.5,30.6,19.6,74.0,13.8,19.2
2023-07-30,23.2,29.3,16.9,63.6,0.4,14.7
2023-08-06,22.9,28.8,18.7,74.4,41.1,19.1
2023-08-13,20.8,25.7,16.2,75.4,37.2,16.9
2023-08-20,24.6,30.4,19.7,75.4,13.1,15.7
2023-08-27,19.9,26.1,13.7,67.4,0.0,13.5
2023-09-03,23.6,29.0,19.2,73.0,9.5,16.5
2023-09-10,17.5,23.3,12.0,71.9,4.2,11.6
2023-09-17,18.3,24.7,12.4,63.0,2.3,12.1
2023-09-24,18.3,22.9,14.3,80.3,21.0,11.3
2023-10-01,18.8,24.5,13.2,69.4,9.1,15.3
2023-10-08,12.7,18.0,7.8,61.3,10.1,18.8
2023-10-15,11.1,15.0,7.6,75.6,23.6,18.6
2023-10-22,14.6,19.5,10.2,69.7,25.0,17.3
2023-10-29,6.8,11.3,3.0,64.3,36.6,19.0
2023-11-05,10.8,16.4,5.4,68.6,0.7,19.6
2023-11-12,7.5,13.7,1.7,67.1,16.0,15.9
2023-11-19,4.4,8.5,1.0,74.1,18.3,16.1
2023-11-26,2.8,6.9,-0.7,70.1,12.0,20.9
2023-12-03,5.7,9.5,2.0,75.3,24.5,21.5
2023-12-10,1.7,7.5,-2.6,69.4,0.0,14.9
2023-12-17,3.1,7.1,0.0,70.7,10.9,17.5
2023-12-24,7.0,9.9,4.6,83.9,22.0,17.4
2023-12-31,-0.2,3.4,-3.3,76.1,6.2,16.4
2024-01-07,1.5,5.8,-1.9,77.6,38.5,30.9
2024-01-14,-8.6,-5.0,-11.8,50.3,7.2,20.9
2024-01-21,2.9,6.5,-0.0,82.1,48.9,16.9
2024-01-28,2.4,6.2,-1.2,84.3,21.6,17.7
2024-02-04,5.4,11.7,0.5,70.7,2.9,17.6
2024-02-11,0.8,6.0,-3.3,70.7,6.0,20.4
2024-02-18,1.6,8.5,-3.6,71.9,18.5,18.8
2024-02-25,5.6,12.2,-0.6,69.7,8.9,20.3
2024-03-03,10.6,16.0,5.3,84.9,33.6,19.8
2024-03-10,8.9,15.1,2.6,63.7,23.9,22.7
2024-03-17,2.5,7.1,-2.5,56.7,6.4,24.0
2024-03-24,7.6,13.8,1.4,65.0,18.4,22.8
2024-03-31,9.0,14.4,5.0,75.7,66.6,19.9
2024-04-07,12.8,18.3,8.0,74.0,46.8,22.7
2024-04-14,15.7,21.2,9.8,62.9,25.3,21.3
2024-04-21,10.8,16.4,4.9,62.6,5.7,18.9
2024-04-28,19.7,25.5,14.4,74.3,39.4,16.7
2024-05-05,17.6,22.3,13.6,77.0,19.9,19.4
2024-05-12,17.7,23.1,13.0,76.3,51.1,15.8
2024-05-19,21.9,27.6,16.2,73.1,16.3,15.0
2024-05-26,17.6,23.2,11.8,69.0,26.2,19.8
2024-06-02,21.1,25.9,16.0,71.0,38.4,18.2
2024-06-09,19.7,25.1,13.3,61.9,10.5,15.4
2024-06-16,25.9,31.4,20.0,66.9,6.9,12.1
2024-06-23,24.0,28.7,19.4,68.3,21.2,18.8
2024-06-30,23.4,28.7,18.2,70.0,14.6,18.2
2024-07-07,24.5,29.8,18.7,69.1,5.2,15.2
2024-07-14,23.7,28.9,19.1,69.3,15.5,17.9
2024-07-21,22.5,28.1,17.3,68.6,19.2,14.4
2024-07-28,25.0,30.2,20.3,76.4,68.6,14.6
2024-08-04,23.9,29.1,19.3,74.6,12.6,15.6
2024-08-11,21.7,27.8,16.2,67.6,25.5,14.6
2024-08-18,19.4,25.2,14.1,66.1,4.0,14.8
2024-08-25,26.6,32.6,21.1,65.0,4.4,12.7
2024-09-01,19.7,26.1,14.4,56.3,8.1,17.2
2024-09-08,19.8,27.0,12.6,56.4,0.0,11.9
2024-09-15,23.0,29.5,16.7,56.4,3.6,11.7
2024-09-22,20.8,25.1,18.0,82.7,70.1,17.8
2024-09-29,17.8,22.6,13.9,81.6,29.0,14.3
2024-10-06,14.6,21.0,9.0,61.6,0.0,15.3
2024-10-13,10.5,15.8,6.0,67.3,9.9,17.5
2024-10-20,13.2,20.5,7.3,65.7,0.8,15.4
2024-10-27,13.0,19.3,8.0,68.9,1.6,19.6
2024-11-03,14.1,19.2,9.4,67.7,7.1,19.1
2024-11-10,9.6,13.1,6.4,77.3,52.9,18.1
2024-11-17,7.8,11.7,4.7,85.3,7.5,20.6
2024-11-24,3.3,7.3,0.4,73.4,26.4,16.8
2024-12-01,-2.6,1.8,-6.1,59.6,2.4,19.7
