week,region,epiweek,wili,ili,release
2010-01-03,hhs1,201001,0.781851543996557,0.870992173693512,last
2010-01-10,hhs1,201002,0.632695585961501,0.708492869848352,last
2010-01-17,hhs1,201003,0.790783702207014,0.801984768059081,last
2010-01-24,hhs1,201004,0.783798864414654,0.808351177730193,last
2010-01-31,hhs1,201005,0.854759255767951,0.939017233100357,last
2010-02-07,hhs1,201006,0.800756828302453,0.916839567094712,last
2010-02-14,hhs1,201007,0.989387167468909,1.10330690621891,last
2010-02-21,hhs1,201008,0.81910555302019,0.811519062244639,last
2010-02-28,hhs1,201009,0.658078800681888,0.663340514797596,last
2010-03-07,hhs1,201010,0.76008623760335,0.67286409915892,last
2010-03-14,hhs1,201011,0.509446552025,0.560404225999081,last
2010-03-21,hhs1,201012,0.516423973844147,0.54297862560331,last
2010-03-28,hhs1,201013,0.573967915888988,0.575786808151453,last
2010-04-04,hhs1,201014,0.627147302227601,0.724469013674716,last
2010-04-11,hhs1,201015,0.480885886130161,0.488716400747449,last
2010-04-18,hhs1,201016,0.446048357068623,0.41994039555676,last
2010-04-25,hhs1,201017,0.403117751179232,0.377453447408153,last
2010-05-02,hhs1,201018,0.544570689443685,0.556227327690447,last
2010-05-09,hhs1,201019,0.381844940032214,0.401064507665205,last
2010-05-16,hhs1,201020,0.440723648885978,0.44827179426684,last
2010-05-23,hhs1,201021,0.498855362929491,0.494587910974176,last
2010-05-30,hhs1,201022,0.528898825609342,0.531013444808496,last
2010-06-06,hhs1,201023,0.44087937606723,0.475258596589321,last
2010-06-13,hhs1,201024,0.453755785911518,0.458144514715403,last
2010-06-20,hhs1,201025,0.434431812194491,0.441105186621425,last
2010-06-27,hhs1,201026,0.381214024843223,0.397664351152723,last
2010-07-04,hhs1,201027,0.446610913197843,0.490024501225061,last
2010-07-11,hhs1,201028,0.335783157120536,0.360109473279877,last
2010-07-18,hhs1,201029,0.389146721898565,0.426367730190668,last
2010-07-25,hhs1,201030,0.412654268431902,0.397744436612627,last
2010-08-01,hhs1,201031,0.356796464217753,0.41119721651115,last
2010-08-08,hhs1,201032,0.420547285788688,0.464593863276663,last
2010-08-15,hhs1,201033,0.324615183003329,0.369310793237971,last
2010-08-22,hhs1,201034,0.26672275485035,0.342789010879825,last
2010-08-29,hhs1,201035,0.240130688027999,0.273722627737226,last
2010-09-05,hhs1,201036,0.423525939390855,0.380453579722318,last
2010-09-12,hhs1,201037,0.404255999536257,0.417424367664077,last
