service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS12026-hba16011-Weekday-02,1,1,1,1,1,0,0,20260304,20260403
BUS12026-hbb16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
BUS12026-hbc16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
BUS12026-hbf16011-Weekday-02,1,1,1,1,1,0,0,20260304,20260403
BUS12026-hbg16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
BUS12026-hbl16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
BUS12026-hbq16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
BUS12026-hbs16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
BUS12026-hbt16fr1-Weekday-02,0,0,0,0,1,0,0,20260306,20260403
Boat-EastBoston-Saturday-Summer-26,0,0,0,0,0,1,0,20260404,20260404
Boat-EastBoston-Weekday-Summer-26,1,1,1,1,1,0,0,20260330,20260403
Boat-F1-Weekday-Fall-25,1,1,1,1,1,0,0,20260304,20260403
Boat-F4-Saturday-Fall-25,0,0,0,0,0,1,0,20260307,20260404
Boat-F4-Sunday-Fall-25,0,0,0,0,0,0,1,20260308,20260329
Boat-F4-Weekday-Fall-25,1,1,1,1,1,0,0,20260304,20260403
CR-FoxboroWalpoleShuttle-Weekday,1,1,1,1,1,0,0,20260304,20260403
CR-TowerAShuttle,0,0,0,0,0,1,1,20260307,20260329
DIV20261-hmo16bf1-Weekday-01,0,0,1,1,0,0,0,20260304,20260305
DIV20261-hmo16bh1-Weekday-01,0,0,0,0,1,0,0,20260306,20260306
DIV20261-hms16cf1-Weekday-01-1,0,0,0,0,1,0,0,20260313,20260327
DIV20261-hms16cs6-Saturday-01-1,0,0,0,0,0,1,0,20260314,20260328
DIV20261-hms16cs7-Sunday-01-1,0,0,0,0,0,0,1,20260315,20260322
DIV20261-hms16cw1-Weekday-01-1,1,1,1,1,0,0,0,20260312,20260326
DIV20261-hms16df1-Weekday-01,0,0,0,0,1,0,0,20260306,20260306
DIV20261-hms16ds6-Saturday-01,0,0,0,0,0,1,0,20260307,20260307
DIV20261-hms16ds7-Sunday-01,0,0,0,0,0,0,1,20260308,20260308
DIV20261-hms16dw1-Weekday-01,1,1,1,1,0,0,0,20260304,20260311
FALL 2025-NORTHSS-Weekend-10,0,0,0,0,0,1,1,20260307,20260329
FALL 2025-NORTHSS-Weekend-10-S6561ad1d,0,0,0,0,0,1,1,20260307,20260329
FALL 2025-NORTHSS-Weekend-10-S7d8482ee,0,0,0,0,0,1,1,20260307,20260329
FALL 2025-NORTHSS-Weekend-10-S9d378dcf,0,0,0,0,0,1,1,20260307,20260329
FALL 2025-SOUTHSS-Weekend-1A-BsUpd,0,0,0,0,0,1,1,20260307,20260404
FALL 2025-SOUTHSS-Weekend-66a,0,0,0,0,0,1,0,20260314,20260314
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-S86,0,0,0,0,0,1,1,20260307,20260404
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sb4,0,0,0,0,0,1,1,20260307,20260404
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sb6,0,0,0,0,0,1,1,20260307,20260404
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sc0,0,0,0,0,0,1,1,20260307,20260404
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sc5,0,0,0,0,0,1,1,20260307,20260404
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sd5,0,0,0,0,0,1,1,20260307,20260404
Fall/WinterSaturday,0,0,0,0,0,1,0,20260314,20260314
Fall/WinterWeekday,1,1,1,1,1,0,0,20260304,20260403
LRV12026-hlb16fr1-Weekday-01,0,0,0,0,1,0,0,20260306,20260403
LRV12026-hlm16fr1-Weekday-01,0,0,0,0,1,0,0,20260306,20260403
PRIV12026-hpa16011-Weekday-01,1,1,1,1,1,0,0,20260304,20260403
PRIV12026-hpj16011-Weekday-01,1,1,1,1,1,0,0,20260304,20260403
PRIV12026-hpp16011-Weekday-01,1,1,1,1,1,0,0,20260304,20260403
Parade-Shuttle-Bus,0,0,0,0,0,0,0,20260315,20260315
RTL12026-hmb16bf1-Weekday-01,0,0,0,0,1,0,0,20260306,20260403
RTL12026-hmo16011-Weekday-01,1,1,1,1,0,0,0,20260309,20260402
RTL12026-hmo16fr1-Weekday-01,0,0,0,0,1,0,0,20260313,20260403
RTL12026-hms16011-Weekday-01,1,1,1,1,0,0,0,20260330,20260402
RTL12026-hms16016-Saturday-01,0,0,0,0,0,1,0,20260404,20260404
RTL12026-hms16017-Sunday-01,0,0,0,0,0,0,1,20260329,20260329
RTL12026-hms16fr1-Weekday-01,0,0,0,0,1,0,0,20260403,20260403
St.PatricksDayParade,0,0,0,0,0,0,0,20260315,20260315
WinterSaturday,0,0,0,0,0,1,0,20260307,20260404
WinterSunday,0,0,0,0,0,0,1,20260308,20260329
WinterWeekday,1,1,1,1,0,0,0,20260304,20260402
canonical,0,0,0,0,0,0,0,20260304,20260404
fare_regular,1,1,1,1,1,1,1,20260304,20260404
