service_id,date,exception_type,holiday_name
CR-TowerAShuttle,20260314,2,
FALL 2025-NORTHSS-Weekend-10,20260314,2,
FALL 2025-NORTHSS-Weekend-10-S6561ad1d,20260314,2,
FALL 2025-NORTHSS-Weekend-10-S7d8482ee,20260314,2,
FALL 2025-NORTHSS-Weekend-10-S9d378dcf,20260314,2,
CR-TowerAShuttle,20260315,2,
FALL 2025-NORTHSS-Weekend-10,20260315,2,
FALL 2025-NORTHSS-Weekend-10-S6561ad1d,20260315,2,
FALL 2025-NORTHSS-Weekend-10-S7d8482ee,20260315,2,
FALL 2025-NORTHSS-Weekend-10-S9d378dcf,20260315,2,
FALL 2025-SOUTHSS-Weekend-1A-BsUpd,20260315,2,
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-S86,20260315,2,
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sb4,20260315,2,
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sb6,20260315,2,
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sc0,20260315,2,
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sc5,20260315,2,
FLL 2025-SOUTHSS-Wnd-1A-BaseUpdated-Sd5,20260315,2,
Parade-Shuttle-Bus,20260315,1,
St.PatricksDayParade,20260315,1,
Fall/WinterSaturday,20260404,1,
