route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Red-3-0,Red,0,Alewife - Braintree,,1,100100000,canonical-Red-C1-0,1
Red-1-0,Red,0,Alewife - Ashmont,,1,100100001,canonical-Red-C2-0,1
Red-3-1,Red,1,Braintree - Alewife,,1,100101040,canonical-Red-C1-1,1
Red-1-1,Red,1,Ashmont - Alewife,,1,100101041,canonical-Red-C2-1,1
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,100110000,canonical-Mattapan-C1-0,1
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,100111000,canonical-Mattapan-C1-1,1
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,100200000,canonical-Orange-C1-0,1
Orange-A-0,Orange,0,Oak Grove - Back Bay,,3,100200040,75301610,2
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,100201000,canonical-Orange-C1-1,1
Orange-A-1,Orange,1,Back Bay - Oak Grove,,3,100201040,75301758,2
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,100320000,canonical-Green-B-C1-0,1
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,100320040,73221468,2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,100321000,canonical-Green-B-C1-1,1
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,100321040,73221467,2
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,100330000,canonical-Green-C-C1-0,1
Green-C-836-0,Green-C,0,Medford/Tufts - Cleveland Circle,Mornings only,3,100330040,73221512,2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,100331000,canonical-Green-C-C1-1,1
Green-C-836-1,Green-C,1,Cleveland Circle - Medford/Tufts,Early mornings only,3,100331040,73221498,2
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,100340000,canonical-Green-D-C1-0,1
Green-D-845-0,Green-D,0,Union Square - Reservoir,Weekday late nights only,3,100340040,73221141,2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,100341000,canonical-Green-D-C1-1,1
Green-D-845-1,Green-D,1,Reservoir - Union Square,Weekday early mornings only,3,100341040,73221521,2
Green-E-886-0,Green-E,0,Medford/Tufts - Heath Street,,1,100350000,canonical-Green-E-C1-0,1
Green-E-885-0,Green-E,0,Union Square - Heath Street,Early mornings only,3,100350040,73221557,2
Green-E-886-1,Green-E,1,Heath Street - Medford/Tufts,,1,100351000,canonical-Green-E-C1-1,1
Green-E-86-1,Green-E,1,East Somerville - Medford/Tufts,,3,100351040,73221450,2
Blue-6-0,Blue,0,Wonderland - Bowdoin,,1,100400000,canonical-Blue-C1-0,1
Blue-8-0,Blue,0,Orient Heights - Bowdoin,Early mornings only,3,100400040,74360715,2
Blue-6-1,Blue,1,Bowdoin - Wonderland,,1,100401000,canonical-Blue-C1-1,1
Blue-8-1,Blue,1,Bowdoin - Orient Heights,Weekday middays only,3,100401040,74360824,2
741-_-0,741,0,South Station - Logan Airport Terminals,,1,100510000,73765749,0
741-_-1,741,1,Logan Airport Terminals - South Station,,1,100511000,73765751,0
741-2-1,741,1,Logan Airport Terminals - South Station (Surface Route),Late nights only,3,100511040,73766033,0
742-3-0,742,0,South Station - Design Center (PM Route),,1,100520000,73765793,0
742-3-1,742,1,Design Center - South Station (PM - Omits 88 Black Falcon Ave),,1,100521000,73765775,0
743-_-0,743,0,South Station - Chelsea Station,,1,100530000,73766681,0
743-_-1,743,1,Chelsea Station - South Station,,1,100531000,73766680,0
743-1-1,743,1,Chelsea Station - South Station (Surface Route),Late nights only,3,100531040,73766813,0
751-_-0,751,0,South Station - Nubian Station,,1,100550000,73765796,0
751-_-1,751,1,Nubian Station - South Station,,1,100551000,73765829,0
749-_-0,749,0,Temple Place - Nubian Station,,1,100560000,73766918,0
749-_-1,749,1,Nubian Station - Temple Place,,1,100561000,73766917,0
746-_-0,746,0,South Station - Silver Line Way,,1,100570000,73765750,0
746-_-1,746,1,Silver Line Way - South Station,,1,100571000,73765757,0
CR-Fairmount-195ea3c8-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,200010000,canonical-CR-Fairmount-C1-0,1
CR-Fairmount-3914aae7-0,CR-Fairmount,0,South Station - Fairmount,,2,200010020,BasewUpdatedWalpoleTurns-772901-1625,2
CR-Fairmount-ff9cd1ee-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,200011000,canonical-CR-Fairmount-C1-1,1
CR-Fairmount-6ae938c4-1,CR-Fairmount,1,Fairmount - South Station,,2,200011020,BasewUpdatedWalpoleTurns-772907-1636,2
CR-NewBedford-54a95b41-0,CR-NewBedford,0,South Station - Fall River Depot,,1,200020000,BasewUpdatedWalpoleTurns-772965-1905,2
CR-NewBedford-165b7060-0,CR-NewBedford,0,South Station - New Bedford,,1,200020010,BasewUpdatedWalpoleTurns-772997-2021,2
CR-NewBedford-5b8e7ed3-0,CR-NewBedford,0,East Taunton - New Bedford,,2,200020020,BasewUpdatedWalpoleTurns-773011-2055,2
CR-NewBedford-e455f611-0,CR-NewBedford,0,South Station - Fall River Depot,,2,200020060,BasewUpdatedWalpoleTurns-772973-1925,2
CR-NewBedford-b4734423-0,CR-NewBedford,0,South Station - New Bedford,,2,200020080,BasewUpdatedWalpoleTurns-773008-2041,2
CR-NewBedford-9fc9851a-0,CR-NewBedford,0,East Taunton - Fall River Depot,,3,200020100,BasewUpdatedWalpoleTurns-772981-1971,2
CR-NewBedford-C1-0,CR-NewBedford,0,South Station - New Bedford,,5,200020991,canonical-CR-NewBedford-C1-0,1
CR-NewBedford-C2-0,CR-NewBedford,0,South Station - Fall River,,5,200020993,canonical-CR-NewBedford-C2-0,1
CR-NewBedford-13a8ca2f-1,CR-NewBedford,1,New Bedford - South Station,,1,200021000,BasewUpdatedWalpoleTurns-772998-2022,2
CR-NewBedford-e9976f77-1,CR-NewBedford,1,Fall River Depot - South Station,,1,200021010,BasewUpdatedWalpoleTurns-772966-1906,2
CR-NewBedford-b00adf4a-1,CR-NewBedford,1,Fall River Depot - East Taunton,,2,200021030,BasewUpdatedWalpoleTurns-772979-1960,2
CR-NewBedford-1cac316b-1,CR-NewBedford,1,New Bedford - South Station,,2,200021050,BasewUpdatedWalpoleTurns-772993-2002,2
CR-NewBedford-5ff68651-1,CR-NewBedford,1,Fall River Depot - South Station,,2,200021080,BasewUpdatedWalpoleTurns-772977-1942,2
CR-NewBedford-646c0880-1,CR-NewBedford,1,New Bedford - East Taunton,,3,200021100,BasewUpdatedWalpoleTurns-773014-2062,2
CR-NewBedford-3e804e27-1,CR-NewBedford,1,Fall River Depot - South Station,,3,200021120,BasewUpdatedWalpoleTurns-772975-1936,2
CR-NewBedford-C1-1,CR-NewBedford,1,New Bedford - South Station,,5,200021992,canonical-CR-NewBedford-C1-1,1
CR-NewBedford-C2-1,CR-NewBedford,1,Fall River - South Station,,5,200021994,canonical-CR-NewBedford-C2-1,1
CR-Fitchburg-2a5f6366-0,CR-Fitchburg,0,North Station - Wachusett,,1,200030000,Base-772407-405,2
CR-Fitchburg-acb28c6e-0,CR-Fitchburg,0,North Station - Littleton/Route 495,,2,200030020,Base-772454-1401,2
CR-Fitchburg-6a596c03-0,CR-Fitchburg,0,Porter - Wachusett,,3,200030040,TowerAZone1WKND-783285-5447,2
CR-Fitchburg-13aa81f2-0,CR-Fitchburg,0,North Station - Wachusett,,3,200030060,canonical-CR-Fitchburg-C1-0,1
CR-Fitchburg-8294748d-0,CR-Fitchburg,0,North Station - Wachusett,,3,200030080,Base-772421-429,2
CR-Fitchburg-d82ea33a-1,CR-Fitchburg,1,Wachusett - North Station,,1,200031000,Base-772405-400,2
CR-Fitchburg-6528076d-1,CR-Fitchburg,1,Littleton/Route 495 - North Station,,2,200031020,Base-772455-1408,2
CR-Fitchburg-d538772d-1,CR-Fitchburg,1,Wachusett - Porter,,3,200031030,TowerAZone1WKND-783286-5438,2
CR-Fitchburg-745cb51d-1,CR-Fitchburg,1,Wachusett - North Station,,3,200031050,canonical-CR-Fitchburg-C1-1,1
CR-Fitchburg-94972bc9-1,CR-Fitchburg,1,Wachusett - North Station,,3,200031060,Base-772408-406,2
CR-Worcester-b5dda27b-0,CR-Worcester,0,South Station - Worcester,,1,200040000,canonical-CR-Worcester-C1-0,1
CR-Worcester-6436caf7-0,CR-Worcester,0,South Station - Worcester,,2,200040020,BasewUpdatedWalpoleTurns-772653-503,2
CR-Worcester-b7d67732-0,CR-Worcester,0,South Station - Framingham,,3,200040040,BasewUpdatedWalpoleTurns-772880-1551,2
CR-Worcester-b7d1e6e8-0,CR-Worcester,0,South Station - Worcester,,3,200040050,BasewUpdatedWalpoleTurns-772675-553,2
CR-Worcester-bbf42cea-0,CR-Worcester,0,South Station - Framingham,,3,200040080,BasewUpdatedWalpoleTurns-772878-1517,2
CR-Worcester-15b1f0b8-0,CR-Worcester,0,South Station - Worcester,,3,200040090,BasewUpdatedWalpoleTurns-772673-549,2
CR-Worcester-b65b9e75-0,CR-Worcester,0,South Station - Framingham,,3,200040110,BasewUpdatedWalpoleTurns-772875-1511,2
CR-Worcester-a512d591-0,CR-Worcester,0,South Station - Worcester,,3,200040120,BasewUpdatedWalpoleTurns-772652-509,2
CR-Worcester-2fe54abd-0,CR-Worcester,0,South Station - Worcester,,3,200040130,BasewUpdatedWalpoleTurns-772654-515,2
CR-Worcester-6fbe3217-0,CR-Worcester,0,South Station - Worcester,,3,200040140,BasewUpdatedWalpoleTurns-772659-519,2
CR-Worcester-02498220-0,CR-Worcester,0,South Station - Worcester,,3,200040150,BasewUpdatedWalpoleTurns-772680-565,2
CR-Worcester-d18892dd-0,CR-Worcester,0,South Station - Framingham,,3,200040160,BasewUpdatedWalpoleTurns-772883-1561,2
CR-Worcester-3c40051f-0,CR-Worcester,0,South Station - Worcester,,3,200040190,BasewUpdatedWalpoleTurns-772687-581,2
CR-Worcester-b463475c-0,CR-Worcester,0,South Station - Worcester,,3,200040210,BasewUpdatedWalpoleTurns-772671-545,2
CR-Worcester-647db84d-1,CR-Worcester,1,Worcester - South Station,,1,200041000,BasewUpdatedWalpoleTurns-772649-502,2
CR-Worcester-a814f00c-1,CR-Worcester,1,Worcester - South Station,,2,200041020,BasewUpdatedWalpoleTurns-772668-538,2
CR-Worcester-cb9d6625-1,CR-Worcester,1,Framingham - South Station,,2,200041040,BasewUpdatedWalpoleTurns-772877-1516,2
CR-Worcester-72c8dfb6-1,CR-Worcester,1,Worcester - South Station,,3,200041060,BasewUpdatedWalpoleTurns-772651-510,2
CR-Worcester-16491f70-1,CR-Worcester,1,Worcester - South Station,,3,200041070,BasewUpdatedWalpoleTurns-772677-556,2
CR-Worcester-8171c73d-1,CR-Worcester,1,Framingham - South Station,,3,200041100,BasewUpdatedWalpoleTurns-772884-1562,2
CR-Worcester-16e1833f-1,CR-Worcester,1,Worcester - South Station,,3,200041120,BasewUpdatedWalpoleTurns-772658-520,2
CR-Worcester-257727ec-1,CR-Worcester,1,Worcester - South Station,,3,200041130,BasewUpdatedWalpoleTurns-772681-568,2
CR-Worcester-6874ed14-1,CR-Worcester,1,Framingham - South Station,,3,200041140,BasewUpdatedWalpoleTurns-772876-1512,2
CR-Worcester-8e925022-1,CR-Worcester,1,Framingham - South Station,,3,200041150,BasewUpdatedWalpoleTurns-772882-1558,2
CR-Worcester-38ca01ee-1,CR-Worcester,1,Worcester - South Station,,3,200041160,BasewUpdatedWalpoleTurns-772676-554,2
CR-Worcester-6f1296d4-1,CR-Worcester,1,Worcester - South Station,,3,200041170,BasewUpdatedWalpoleTurns-772684-576,2
CR-Worcester-C1-1,CR-Worcester,1,Worcester - South Station,,5,200041991,canonical-CR-Worcester-C1-1,1
CR-Franklin-b8c4a7ca-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,1,200050000,BasewUpdatedWalpoleTurns-772734-735,2
CR-Franklin-35c1126a-0,CR-Franklin,0,South Station - Foxboro via Fairmount,,1,200050010,BasewUpdatedWalpoleTurns-772945-1709,2
CR-Franklin-807421e2-0,CR-Franklin,0,South Station - Forge Park/495 via Fairmount,,2,200050020,BasewUpdatedWalpoleTurns-772751-793,2
CR-Franklin-512734e4-0,CR-Franklin,0,South Station - Foxboro via Back Bay,,2,200050040,BasewUpdatedWalpoleTurns-772947-1719,2
CR-Franklin-3badde55-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,3,200050080,BasewUpdatedWalpoleTurns-772730-721,2
CR-Franklin-78461397-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,3,200050120,BasewUpdatedWalpoleTurns-772740-759,2
CR-Franklin-36a30c21-0,CR-Franklin,0,South Station - Forge Park/495 via Back Bay,,3,200050150,BasewUpdatedWalpoleTurns-772742-763,2
