trip_id,trip_property_id,value
73236411,note,Waits at Ashmont for last Red Line train
73236411,trip_type,wait
73236418,note,Waits at Ashmont for last Red Line train
73236418,trip_type,wait
73236805,note,Waits at Ashmont for last Red Line train
73236805,trip_type,wait
73237162,note,Waits at Ashmont for last Red Line train
73237162,trip_type,wait
73257436,note,Waits at Orient Heights for last Blue Line train
73257436,trip_type,wait
73257710,note,Waits at Orient Heights for last Blue Line train
73257710,trip_type,wait
73384347,note,Waits at Ruggles for last Orange Line train
73384347,trip_type,wait
73384625,note,Waits at W Broadway @ Broadway Station for last Red Line train
73384625,trip_type,wait
73384840,note,Waits at Nubian for last Silver Line bus
73384840,trip_type,wait
73384850,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
73384850,trip_type,wait
73384949,note,Waits at Boylston St @ Dartmouth St for last Green Line train
73384949,trip_type,wait
73385030,note,Waits at Andrew for last Red Line train
73385030,trip_type,wait
73385313,note,Waits at Nubian for last Silver Line bus
73385313,trip_type,wait
73389781,note,Waits at W Broadway @ Broadway Station for last Red Line train
73389781,trip_type,wait
73391351,note,Waits at Nubian for last Silver Line bus
73391351,trip_type,wait
73391356,note,Waits at Ruggles for last Orange Line train
73391356,trip_type,wait
73391359,note,Waits at Ashmont for last Red Line train
73391359,trip_type,wait
73391362,note,Waits at Kenmore for last Green Line train
73391362,trip_type,wait
73391364,note,Waits at Nubian for last Silver Line bus
73391364,trip_type,wait
73391365,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
73391365,trip_type,wait
73542319,note,Waits at W Broadway @ Broadway Station for last Red Line train
73542319,trip_type,wait
73542345,note,Does not run during school vacation
73542345,trip_type,supplemental
73542781,note,Does not run during school vacation
73542781,trip_type,supplemental
73543000,note,Does not run during school vacation
73543000,trip_type,supplemental
73543001,note,Does not run during school vacation
73543001,trip_type,supplemental
73543054,note,Does not run during school vacation
73543054,trip_type,supplemental
73543061,note,Does not run during school vacation
73543061,trip_type,supplemental
73543065,note,Does not run during school vacation
73543065,trip_type,supplemental
73543066,note,Does not run during school vacation
73543066,trip_type,supplemental
73543067,note,Does not run during school vacation
73543067,trip_type,supplemental
73543069,note,Does not run during school vacation
73543069,trip_type,supplemental
73543080,note,Does not run during school vacation
73543080,trip_type,supplemental
73543083,note,Does not run during school vacation
73543083,trip_type,supplemental
73543177,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
73543177,trip_type,wait
73543351,note,Does not run during school vacation
73543351,trip_type,supplemental
73543445,note,Waits at Ruggles for last Orange Line train
73543445,trip_type,wait
73543450,note,Waits at Ruggles for last Orange Line train
73543450,trip_type,wait
73543563,note,Does not run during school vacation
73543563,trip_type,supplemental
73543702,note,Does not run during school vacation
73543702,trip_type,supplemental
73543941,note,Waits at Andrew for last Red Line train
73543941,trip_type,wait
73543943,note,Waits at Boylston St @ Dartmouth St for last Green Line train
73543943,trip_type,wait
73543950,note,Waits at Forest Hills for last Orange Line train
73543950,trip_type,wait
73543985,note,Does not run during school vacation
73543985,trip_type,supplemental
73543992,note,Does not run during school vacation
73543992,trip_type,supplemental
73544000,note,Does not run during school vacation
73544000,trip_type,supplemental
73544010,note,Does not run during school vacation
73544010,trip_type,supplemental
73544063,note,Does not run during school vacation
73544063,trip_type,supplemental
73544098,note,Does not run during school vacation
73544098,trip_type,supplemental
73544250,note,Does not run during school vacation
73544250,trip_type,supplemental
73544339,note,Waits at Green St @ Pearl St for last Red Line train
73544339,trip_type,wait
73544447,note,Does not run during school vacation
73544447,trip_type,supplemental
73544982,note,Does not run during school vacation
73544982,trip_type,supplemental
73545088,note,Waits at Ashmont for last Red Line train
73545088,trip_type,wait
73545092,note,Waits at Ruggles for last Orange Line train
73545092,trip_type,wait
73545096,note,Waits at Kenmore for last Green Line train
73545096,trip_type,wait
73545098,note,Waits at Nubian for last Silver Line bus
73545098,trip_type,wait
73545100,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
73545100,trip_type,wait
73545107,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
73545107,trip_type,wait
73545109,note,Waits at Nubian for last Silver Line bus
73545109,trip_type,wait
73545256,note,Waits at Ruggles for last Orange Line train
73545256,trip_type,wait
73583774,note,Does not run during school vacation
73583774,trip_type,supplemental
73583776,note,Does not run during school vacation
73583776,trip_type,supplemental
73583793,note,Does not run during school vacation
73583793,trip_type,supplemental
73583818,note,Does not run during school vacation
73583818,trip_type,supplemental
73583819,note,Does not run during school vacation
73583819,trip_type,supplemental
73583822,note,Does not run during school vacation
73583822,trip_type,supplemental
73583825,note,Does not run during school vacation
73583825,trip_type,supplemental
73583826,note,Does not run during school vacation
73583826,trip_type,supplemental
73583827,note,Does not run during school vacation
73583827,trip_type,supplemental
73583828,note,Does not run during school vacation
73583828,trip_type,supplemental
73583829,note,Does not run during school vacation
73583829,trip_type,supplemental
73583831,note,Does not run during school vacation
73583831,trip_type,supplemental
73583868,note,Does not run during school vacation
73583868,trip_type,supplemental
73583911,note,Does not run during school vacation
73583911,trip_type,supplemental
73584089,note,Does not run during school vacation
73584089,trip_type,supplemental
73584246,note,Does not run during school vacation
73584246,trip_type,supplemental
73584477,note,Does not run during school vacation
73584477,trip_type,supplemental
73584479,note,Does not run during school vacation
73584479,trip_type,supplemental
73584490,note,Does not run during school vacation
73584490,trip_type,supplemental
73584621,note,Does not run during school vacation
73584621,trip_type,supplemental
73584625,note,Does not run during school vacation
73584625,trip_type,supplemental
73584738,note,Does not run during school vacation
73584738,trip_type,supplemental
73601574,note,Waits at W Broadway @ Broadway Station for last Red Line train
73601574,trip_type,wait
73601600,note,Does not run during school vacation
73601600,trip_type,supplemental
73601925,note,Waits at Nubian for last Silver Line bus
73601925,trip_type,wait
73602036,note,Does not run during school vacation
73602036,trip_type,supplemental
73602160,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
73602160,trip_type,wait
73602255,note,Does not run during school vacation
73602255,trip_type,supplemental
73602256,note,Does not run during school vacation
73602256,trip_type,supplemental
73602309,note,Does not run during school vacation
73602309,trip_type,supplemental
73602316,note,Does not run during school vacation
73602316,trip_type,supplemental
73602320,note,Does not run during school vacation
73602320,trip_type,supplemental
73602321,note,Does not run during school vacation
73602321,trip_type,supplemental
73602322,note,Does not run during school vacation
73602322,trip_type,supplemental
73602324,note,Does not run during school vacation
73602324,trip_type,supplemental
73602335,note,Does not run during school vacation
73602335,trip_type,supplemental
73602338,note,Does not run during school vacation
73602338,trip_type,supplemental
73602606,note,Does not run during school vacation
73602606,trip_type,supplemental
73602700,note,Waits at Ruggles for last Orange Line train
73602700,trip_type,wait
73602705,note,Waits at Ruggles for last Orange Line train
73602705,trip_type,wait
