,Allston/Brighton,Back Bay/Beacon Hill/Downtown/North End/West End,Charlestown,Dorchester,East Boston,Fenway,Hyde Park,Jamaica Plain,Mattapan,Roslindale,Roxbury,South Boston,South End,West Roxbury
Allston/Brighton,0.0,0.0030209452201933407,0.0,0.0,0.0,0.1934076262083781,0.0,0.0,0.0,0.0,0.0,0.0,0.004027926960257788,0.0
Back Bay/Beacon Hill/Downtown/North End/West End,0.0030209452201933407,0.0,0.26980397422126745,0.03705692803437164,0.221468850698174,0.6464151450053706,0.0003356605800214823,0.0,0.0,0.0,0.05061761546723953,1.0,0.8035714285714286,0.0
Charlestown,0.0,0.26980397422126745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorchester,0.0,0.03705692803437164,0.0,0.0,0.0,0.0,0.0,0.0,0.32344253490870034,0.0,0.7176423200859291,0.7489930182599356,0.0,0.0
East Boston,0.0,0.221468850698174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21307733619763694,0.0,0.0
Fenway,0.1934076262083781,0.6464151450053706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9326664876476907,0.0,0.20186627282491945,0.0
Hyde Park,0.0,0.0003356605800214823,0.0,0.0,0.0,0.0,0.0,0.004027926960257788,0.08451933404940924,0.23818474758324382,0.021146616541353382,0.0,0.0,0.08136412459720731
Jamaica Plain,0.0,0.0,0.0,0.0,0.0,0.0,0.004027926960257788,0.0,0.07881310418904404,0.42387218045112784,0.9595193340494093,0.0,0.0,0.02121374865735768
Mattapan,0.0,0.0,0.0,0.32344253490870034,0.0,0.0,0.08451933404940924,0.07881310418904404,0.0,0.021817937701396346,0.0,0.0,0.0,0.0
Roslindale,0.0,0.0,0.0,0.0,0.0,0.0,0.23818474758324382,0.42387218045112784,0.021817937701396346,0.0,0.006914607948442535,0.0,0.0,0.17830290010741137
Roxbury,0.0,0.05061761546723953,0.0,0.7176423200859291,0.0,0.9326664876476907,0.021146616541353382,0.9595193340494093,0.0,0.006914607948442535,0.0,0.016044575725026853,0.540749194414608,0.0
South Boston,0.0,1.0,0.0,0.7489930182599356,0.21307733619763694,0.0,0.0,0.0,0.0,0.0,0.016044575725026853,0.0,0.14500537056928034,0.0
South End,0.004027926960257788,0.8035714285714286,0.0,0.0,0.0,0.20186627282491945,0.0,0.0,0.0,0.0,0.540749194414608,0.14500537056928034,0.0,0.0
West Roxbury,0.0,0.0,0.0,0.0,0.0,0.0,0.08136412459720731,0.02121374865735768,0.0,0.17830290010741137,0.0,0.0,0.0,0.0
