"Topic: Age",,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020, 2024, and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,,,,,
"Download type: geographically disaggregated",,,,,,,,
,,,,,,,,
"GEOID","YEAR","0-9 years","10-19 years","20-34 years","35-54 years","55-64 years","65 years and over","Share of population aged 20-34"
"Allston","1950","2988","2122","5317","5882","2315","2137","0.256105197244834"
"Allston","1960","2849","2132","4870","4372","2355","2499","0.255281228704723"
"Allston","1970","1744","3240","7934","2724","1643","2312","0.404857886411185"
"Allston","1980","1158","3011","11177","2280","1004","1700","0.549778652238072"
"Allston","1990","1604","2649","13365","3257","918","1262","0.579700715679896"
"Allston","2000","1363","3296","13509","3359","844","1143","0.574508803266139"
"Allston","2010","1092","3701","16585","3162","1089","1084","0.620858757908135"
"Allston","2020","1131","3385","19607","3226","1089","1230","0.660875276510341"
"Allston","2024","1060","3342","20845","3889","988","1461","0.659965173341776"
"Allston","2025","1046","3326","21407","3533","955","1543","0.672964476579692"
"Back Bay","1950","1040","1422","6696","6038","2661","3371","0.315432447710571"
"Back Bay","1960","576","1793","6260","3918","2495","3112","0.344827586206897"
"Back Bay","1970","462","2799","8329","2704","1575","2248","0.45973395153723"
"Back Bay","1980","321","1979","9945","3151","1141","1799","0.542375654450262"
"Back Bay","1990","441","1218","8706","3879","1071","1390","0.52116132894343"
"Back Bay","2000","491","1380","7653","4243","1432","1482","0.458785444517715"
"Back Bay","2010","713","1149","7501","3593","1689","1977","0.451269401997353"
"Back Bay","2020","730","1533","7999","3579","2094","2949","0.423581950633018"
"Back Bay","2024","691","1430","7786","3623","1912","3620","0.408456615255482"
"Back Bay","2025","648","1434","8140","3391","1856","3514","0.428804720012643"
"Beacon Hill","1950","1155","930","4311","4078","1896","1790","0.304449152542373"
"Beacon Hill","1960","587","716","3781","2875","1761","1926","0.324660827752018"
"Beacon Hill","1970","504","611","4970","1869","1006","1351","0.482009504412763"
"Beacon Hill","1980","353","617","5580","2363","677","951","0.529361540650792"
"Beacon Hill","1990","349","308","4456","2562","629","838","0.487420695690221"
"Beacon Hill","2000","375","274","4237","2359","916","809","0.472352285395764"
"Beacon Hill","2010","493","284","4590","1816","905","935","0.508699988917212"
"Beacon Hill","2020","447","364","4605","1833","896","1296","0.487747309033371"
"Beacon Hill","2024","424","325","4332","1910","835","1548","0.462129293791338"
"Beacon Hill","2025","407","324","4471","1752","838","1535","0.479360994960866"
"Brighton","1950","6633","5001","10509","14188","5359","4737","0.226355353565813"
"Brighton","1960","6905","5299","9705","10823","6215","6258","0.214688640637098"
"Brighton","1970","4681","5372","14363","7568","4710","7366","0.32598729005901"
"Brighton","1980","2462","4244","22344","5701","3354","6828","0.497273718647764"
"Brighton","1990","2906","3291","24999","7678","2503","5854","0.529292202155364"
"Brighton","2000","2612","2445","24698","8594","2379","5406","0.535353535353535"
"Brighton","2010","2339","2851","27759","7535","2886","4914","0.574910943583796"
"Brighton","2020","2815","2747","30231","8127","3019","5977","0.571314038634367"
"Brighton","2024","2584","2724","31307","9251","3001","6375","0.566724593606314"
"Brighton","2025","2533","2737","32148","8682","3056","6713","0.575417392531955"
"Charlestown","1950","5523","5531","9621","6458","2097","2102","0.307066258138644"
"Charlestown","1960","4232","3623","3872","4592","1826","2002","0.192187422445029"
"Charlestown","1970","2687","3125","3007","3307","1525","1702","0.195857487136065"
"Charlestown","1980","1435","2212","3863","2859","1336","1659","0.289060161628255"
"Charlestown","1990","1485","1211","5441","3490","1311","1610","0.374003299422601"
"Charlestown","2000","1661","1413","5043","4217","1218","1643","0.331885488647581"
"Charlestown","2010","1806","1108","5494","4668","1679","1684","0.334205243627958"
"Charlestown","2020","2278","1450","6204","5149","2073","2334","0.318360025423626"
"Charlestown","2024","2120","1407","5500","5328","2121","2804","0.285269709543568"
"Charlestown","2025","2083","1397","5472","5457","2041","2782","0.284519961477495"
"Chinatown","1950","300","241","620","928","392","321","0.221270521056388"
"Chinatown","1960","303","235","590","656","332","350","0.239253852392539"
"Chinatown","1970","147","131","509","356","162","196","0.33910726182545"
"Chinatown","1980","302","388","975","677","285","445","0.3173828125"
"Chinatown","1990","264","293","687","683","335","543","0.244919786096257"
"Chinatown","2000","177","516","867","669","209","615","0.283982967572879"
"Chinatown","2010","181","909","1259","809","370","535","0.309869554516367"
"Chinatown","2020","432","783","2627","1340","618","628","0.408691462731625"
"Chinatown","2024","379","750","2591","1348","584","712","0.407133878064111"
"Chinatown","2025","373","751","2653","1344","614","636","0.416418144718255"
"Dorchester","1950","27774","21294","36403","44340","16633","15601","0.224647474466969"
"Dorchester","1960","30155","23305","28063","36179","16412","18012","0.184472082352787"
"Dorchester","1970","31352","27434","29401","28278","12257","15580","0.203746309822456"
"Dorchester","1980","17086","22083","28748","21141","9201","11214","0.2626035643492"
"Dorchester","1990","18823","16372","33131","25507","7799","10500","0.295464274248207"
"Dorchester","2000","19249","19961","29798","31422","8509","9936","0.250666666666667"
"Dorchester","2010","15545","17210","28444","30941","11366","10743","0.248964979999825"
"Dorchester","2020","13971","17095","34718","30372","13283","15160","0.278637205069943"
"Dorchester","2024","12236","16216","34449","29549","13523","16587","0.28107865535248"
"Dorchester","2025","12461","16169","33290","31083","12879","17174","0.270526437214361"
"Downtown","1950","349","330","967","1301","682","498","0.23431063726678"
"Downtown","1960","209","190","474","875","534","563","0.166608084358524"
"Downtown","1970","145","131","679","469","229","271","0.352910602910603"
"Downtown","1980","263","331","1464","1118","482","678","0.337638376383764"
"Downtown","1990","272","264","1501","1358","522","883","0.312708333333333"
"Downtown","2000","351","729","2046","1877","642","1293","0.294897665033151"
"Downtown","2010","468","1546","3367","2390","1149","1479","0.323781132801231"
"Downtown","2020","554","2261","4612","2661","1585","2583","0.323476971422254"
"Downtown","2024","556","2379","5265","2896","1522","3129","0.334349399885693"
"Downtown","2025","562","2361","5519","2841","1475","2994","0.350368207211783"
"East Boston","1950","9702","7513","13990","11968","4350","3629","0.273498592430404"
"East Boston","1960","8488","6981","8824","11388","3740","4388","0.20141979958456"
"East Boston","1970","6448","6713","7648","9323","4191","4550","0.196743240809817"
"East Boston","1980","3380","4902","7728","6693","4279","5196","0.240164087264591"
"East Boston","1990","4190","3376","10149","7034","2931","5261","0.308096293373"
"East Boston","2000","5346","4750","10917","10225","2479","4696","0.284200661234478"
"East Boston","2010","5554","4508","12476","11478","2960","3532","0.307988545472499"
"East Boston","2020","4445","5100","14820","11980","3946","3943","0.335039423043015"
"East Boston","2024","4506","5165","15259","12046","4227","4834","0.331450789582293"
"East Boston","2025","4492","5214","15477","12886","4225","4598","0.330056271427427"
"Fenway","1950","1543","1806","8509","7852","3140","2942","0.329908498759305"
"Fenway","1960","791","3341","7740","4700","3186","3640","0.330797504060176"
"Fenway","1970","652","7498","12897","2251","1615","2770","0.465881587978182"
"Fenway","1980","441","6860","14871","1834","918","1690","0.558766062974374"
"Fenway","1990","723","6800","17076","2976","738","1384","0.575007576522881"
"Fenway","2000","423","7141","17420","2904","748","1520","0.577662820002653"
