"Topic: Apartment Rent",,,,,,,
"Geographic Extent: City of Boston",,,,,,,
"Year(s): 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,,,,
"Note: Only one neighborhood at a time can be selected. Jan 2016 and Q4 2024 listings are missing; 2017 data are suppressed (Jan-Jun missing). Neighborhoods with <5 listings in any year for a given unit type are suppressed for all years. Listings <1 SD below the city mean (rooms, parking, non-units) are excluded.",,,,,,,
"Source: Mayor's Office of Housing using Craigslist rental listings recieved from MAPC, City of Boston Planning Department Research Division analysis",,,,,,,
"Download type: geographically disaggregated",,,,,,,
,,,,,,,
"GEOID","YEAR","Studio","1-bed","2-bed","3-bed","4-bed","Studio median monthly rent (nominal dollars)"
"Allston","2016","1475","1740","2175","2700","3600","1475"
"Allston","2018","1575","1825","2275","2850","3800","1575"
"Allston","2019","1625","1875","2300","2850","3700","1625"
"Allston","2020","1625","1850","2200","2638","3600","1625"
"Allston","2021","1550","1750","2125","2700","3600","1550"
"Allston","2022","1675","2000","2495","3195","4300","1675"
"Allston","2023","1895","2300","2800","3700","5000","1895"
"Allston","2024","2000","2350","2885","3559","5000","2000"
"Back Bay","2016","1845","2500","3700","5000","4250","1845"
"Back Bay","2018","1900","2700","4000","4850","5000","1900"
"Back Bay","2019","1995","2800","4200","4800","4900","1995"
"Back Bay","2020","1850","2495","3392","4400",,"1850"
"Back Bay","2021","1700","2300","2658","3900",,"1700"
"Back Bay","2022","2350","2995","5000","5250",,"2350"
"Back Bay","2023","2588","3195","4858","6900",,"2587.5"
"Back Bay","2024","2550","3150","4800","6675",,"2550"
"Beacon Hill","2016","1875","2300","2900","3900","12500","1875"
"Beacon Hill","2018","1995","2450","3000","4100","4550","1995"
"Beacon Hill","2019","2050","2475","3095","4150","4700","2050"
"Beacon Hill","2020","1900","2300","2850","3850","5575","1900"
"Beacon Hill","2021","1725","2200","2795","3750",,"1725"
"Beacon Hill","2022","2100","2725","3250","3900",,"2100"
"Beacon Hill","2023","2350","2895","3900","4512",,"2350"
"Beacon Hill","2024","2400","3000","3650","4700",,"2400"
"Brighton","2016","1500","1750","2050","2700","3400","1500"
"Brighton","2018","1600","1890","2200","2800","3400","1600"
"Brighton","2019","1625","1900","2250","2820","3500","1625"
"Brighton","2020","1650","1825","2200","2700","3400","1650"
"Brighton","2021","1500","1750","2100","2700","3325","1500"
"Brighton","2022","1675","2095","2495","2975","4000","1675"
"Brighton","2023","1900","2325","2795","3500","4000","1900"
"Brighton","2024","1995","2300","2895","3500","4300","1995"
"Charlestown","2016","2250","2400","3095","3300","3000","2250"
"Charlestown","2018","2329","2700","3375","3350","4400","2329"
"Charlestown","2019","2464","2810","3390","3900","4300","2463.5"
"Charlestown","2020","2278","2425","2850","3300","4400","2277.5"
"Charlestown","2021","2435","2231","2600","3300","4000","2435"
"Charlestown","2022","2552","2950","3749","3500","4200","2551.5"
"Charlestown","2023",,"2700","3445","3600","4500",
"Charlestown","2024",,"2600","3490",,,
"Chinatown","2016","2462","2685","3655","5650",,"2462"
"Chinatown","2018","2760","3130","4120","6080","4600","2760"
"Chinatown","2019","3039","3400","4480","6415","4300","3039"
"Chinatown","2020","1695","2295","3200","3000",,"1695"
"Chinatown","2021","1600","2155","2275",,,"1600"
"Chinatown","2022","3338","3640","5362",,,"3338"
"Chinatown","2023","3129","2500","4822",,,"3129"
"Chinatown","2024",,"2550","3900",,,
"Dorchester","2016","1835","1995","2100","2300","2800","1835"
"Dorchester","2018","2050","2150","2200","2450","2850","2050"
"Dorchester","2019","2225","2250","2300","2475","2950","2225"
"Dorchester","2020","1895","2000","2200","2600","2900","1895"
"Dorchester","2021","2393","1898","2200","2600","3075","2393"
"Dorchester","2022","2684","2150","2500","2900","3950","2684.5"
"Dorchester","2023","1872","2200","2650","3100","3612","1872.5"
"Dorchester","2024","2000","2225","2800","3250","3795","2000"
"Downtown","2016","2314","2825","3760","5058","5200","2314"
"Downtown","2018","2439","2900","3800","4548","5100","2439"
"Downtown","2019","2650","3375","4246","4810","5450","2650"
"Downtown","2020","2400","2670","3000","4400","5750","2400"
"Downtown","2021","2000","2300","2750","3000","3925","2000"
"Downtown","2022","2500","3000","3800","4000","4895","2500"
"Downtown","2023","2500","3100","3800","2800","6500","2500"
"Downtown","2024","2450","2825","4100","3900","6900","2450"
"East Boston","2016","2220","1750","2100","2400","2950","2220"
"East Boston","2018","2268","2400","2394","2550","3100","2267.5"
"East Boston","2019","2354","2527","2400","2700","3200","2354"
"East Boston","2020","2300","2000","2250","2700","3200","2300"
"East Boston","2021","1895","1800","2395","3000","3600","1895"
"East Boston","2022","2554","2467","2940","3300","4200","2554"
"East Boston","2023","2424","2262","3112","3325","4200","2424.5"
"East Boston","2024","2395","2275","3000","3375","4050","2395"
"Fenway","2016","1695","2200","2900","3800","5400","1695"
"Fenway","2018","1800","2300","3120","3995","5200","1800"
"Fenway","2019","1850","2395","3100","4000","5250","1850"
"Fenway","2020","1795","2250","2995","3700","3498","1795"
"Fenway","2021","1695","2104","2500","3400",,"1695"
"Fenway","2022","2025","2550","3272","3850","6000","2025"
"Fenway","2023","2350","2725","3600","4500","7750","2350"
"Fenway","2024","2350","2895","3695","4400","6000","2350"
"Hyde Park","2016","1950","1525","1800","2000","3550","1949.5"
"Hyde Park","2018","1738","1625","1850","2400","2850","1737.5"
"Hyde Park","2019","2000","1625","1900","2400","2800","2000"
"Hyde Park","2020","2000","2048","2175","2500",,"2000"
"Hyde Park","2021","1500","1700","2100","2695",,"1500"
"Hyde Park","2022",,"1800","2395","2895","3600",
"Hyde Park","2023",,"2200","2635","3000","4200",
"Hyde Park","2024",,"2150","2800","3362",,
"Jamaica Plain","2016","1855","1750","2200","2725","3500","1855"
"Jamaica Plain","2018","2145","2098","2400","3000","3700","2145"
"Jamaica Plain","2019","2090","2100","2450","3000","3695","2090"
"Jamaica Plain","2020","2279","2000","2400","3000","3500","2279"
"Jamaica Plain","2021","1700","2100","2400","2800","3400","1700"
"Jamaica Plain","2022","2250","2400","2966","3000","4150","2250"
