"Topic: Children by Poverty Status",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1980-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Below poverty line","Above poverty line","Share of children below poverty line"
"Allston","1990","512","1993","0.20439121756487"
"Allston","2000","678","1364","0.332027424094025"
"Allston","2010","323","878","0.268942547876769"
"Allston","2020","359","1263","0.221219864637956"
"Allston","2025","261","1103","0.191642251466276"
"Back Bay","1990","6","538","0.0110294117647059"
"Back Bay","2000","16","622","0.0250783699059561"
"Back Bay","2010","30","902","0.0321888412017167"
"Back Bay","2020","641","1354","0.321302181768866"
"Back Bay","2025","25","1039","0.0234962406015038"
"Beacon Hill","1990","53","495","0.0967153284671533"
"Beacon Hill","2000","9","545","0.0162454873646209"
"Beacon Hill","2010","34","964","0.0340681362725451"
"Beacon Hill","2020","0","745","0"
"Beacon Hill","2025","0","696","0"
"Brighton","1990","650","3641","0.151479841528781"
"Brighton","2000","865","3287","0.208333333333333"
"Brighton","2010","529","2759","0.160888077858881"
"Brighton","2020","959","3394","0.220215158499745"
"Brighton","2025","812","3020","0.211929017223382"
"Charlestown","1990","504","1873","0.212031973075305"
"Charlestown","2000","1031","1742","0.371799495131626"
"Charlestown","2010","1357","1843","0.4240625"
"Charlestown","2020","401","3007","0.117563911585477"
"Charlestown","2025","271","3141","0.0794376937280187"
"Chinatown","1990","174","258","0.402777777777778"
"Chinatown","2000","132","179","0.42443729903537"
"Chinatown","2010","32","282","0.101910828025478"
"Chinatown","2020","651","429","0.602619221179367"
"Chinatown","2025","212","406","0.34269571197411"
"Dorchester","1990","9859","21134","0.318104088019875"
"Dorchester","2000","10166","25038","0.28877400295421"
"Dorchester","2010","8668","20919","0.292966505559874"
"Dorchester","2020","7146","18370","0.280044765472674"
"Dorchester","2025","6847","16209","0.296970117253643"
"Downtown","1990","170","242","0.412621359223301"
"Downtown","2000","174","286","0.378260869565217"
"Downtown","2010","41","700","0.0553306342780027"
"Downtown","2020","0","1218","0"
"Downtown","2025","60","688","0.0800684532085561"
"East Boston","1990","2153","4284","0.334472580394594"
"East Boston","2000","2200","6688","0.247524752475248"
"East Boston","2010","1758","6805","0.205301880182179"
"East Boston","2020","1518","6517","0.188913989675921"
"East Boston","2025","1502","6856","0.179699253254367"
"Fenway","1990","335","420","0.443708609271523"
"Fenway","2000","59","518","0.102253032928943"
"Fenway","2010","79","273","0.224431818181818"
"Fenway","2020","393","2202","0.151347857807942"
"Fenway","2025","103","859","0.106777546777547"
"Hyde Park","1990","541","6285","0.0792557866979197"
"Hyde Park","2000","1092","7214","0.131471225620034"
"Hyde Park","2010","799","6146","0.1150467962563"
"Hyde Park","2020","684","5872","0.104275226280824"
"Hyde Park","2025","416","6167","0.0631281623423971"
"Jamaica Plain","1990","2778","5540","0.333974513104112"
"Jamaica Plain","2000","2011","5271","0.276160395495743"
"Jamaica Plain","2010","1868","4680","0.285277947464875"
"Jamaica Plain","2020","1064","4635","0.186773696097653"
"Jamaica Plain","2025","965","4684","0.170833053637812"
"Longwood","1990","156","133","0.539792387543253"
"Longwood","2000","229","132","0.634349030470914"
"Longwood","2010","16","60","0.210526315789474"
"Longwood","2020","0","18","0"
"Longwood","2025","0","23","0"
"Mattapan","1990","1918","4596","0.29444273871661"
"Mattapan","2000","1646","5472","0.231244731666198"
"Mattapan","2010","1608","4051","0.28414914295812"
"Mattapan","2020","1779","2929","0.377948516511744"
"Mattapan","2025","1550","3350","0.316252414081633"
"Mission Hill","1990","1133","1829","0.382511816340311"
"Mission Hill","2000","852","994","0.461538461538462"
"Mission Hill","2010","726","1050","0.408783783783784"
"Mission Hill","2020","1687","1283","0.567972725187705"
"Mission Hill","2025","606","1045","0.367001380981223"
"North End","1990","117","323","0.265909090909091"
"North End","2000","23","333","0.0646067415730337"
"North End","2010","0","518","0"
"North End","2020","93","430","0.177812159079116"
"North End","2025","60","362","0.142433981042654"
"Roslindale","1990","824","5080","0.139566395663957"
"Roslindale","2000","1108","5665","0.163590727890152"
"Roslindale","2010","1135","5012","0.184642915243208"
"Roslindale","2020","493","4713","0.0946462799447722"
"Roslindale","2025","504","4557","0.0996486567871962"
"Roxbury","1990","5823","7473","0.437951263537906"
"Roxbury","2000","4035","8044","0.334050832022518"
"Roxbury","2010","5641","5603","0.501689790110281"
"Roxbury","2020","4979","6871","0.420177003360257"
"Roxbury","2025","3863","6497","0.372842108021236"
"South Boston","1990","1432","3844","0.271417740712661"
"South Boston","2000","1726","3554","0.326893939393939"
"South Boston","2010","2083","2674","0.437881017447971"
"South Boston","2020","1111","3149","0.260772988204742"
"South Boston","2025","1121","2783","0.287104157530738"
"South Boston Waterfront","1990","8","27","0.228571428571429"
"South Boston Waterfront","2000","2","39","0.0487804878048781"
"South Boston Waterfront","2010","0","69","0"
"South Boston Waterfront","2020","0","174","0"
"South Boston Waterfront","2025","6","519","0.0108843542857143"
"South End","1990","1055","2250","0.319213313161876"
"South End","2000","906","1943","0.318006318006318"
"South End","2010","1140","2876","0.283864541832669"
"South End","2020","961","2750","0.258992536031383"
"South End","2025","677","2895","0.189400513717805"
"West End","1990","1","121","0.00819672131147541"
"West End","2000","32","289","0.0996884735202492"
"West End","2010","0","321","0"
"West End","2020","23","830","0.0271006417199693"
"West End","2025","13","530","0.0242041565377532"
"West Roxbury","1990","170","4427","0.036980639547531"
