"Topic: Commute Mode",,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,
"Year(s): 1990, 2000, 2010, 2020, 2025",,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 1990-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,,,
"Download type: geographically disaggregated",,,,,,,,
,,,,,,,,
"GEOID","YEAR","Car, truck, or van - drove alone","Car, truck, or van - carpooled","Public transit","Walked","Taxi, motorcycle, bike, other","Worked from home","Share of commuters (16+) taking public transit"
"Allston","1990","4011","1059","5105","1659","438","131","0.415987614080834"
"Allston","2000","3782","816","5164","1500","317","276","0.44597979100095"
"Allston","2010","3187","609","5307","2895","680","452","0.41859914813062"
"Allston","2020","4703","553","4678","2942","1316","3068","0.329687522574157"
"Allston","2025","4989","693","4979","3095","1564","4170","0.325005005970021"
"Back Bay","1990","2648","432","2753","4218","368","640","0.264228812745945"
"Back Bay","2000","3131","307","2586","3426","479","597","0.26044918924363"
"Back Bay","2010","2927","482","2499","3469","344","767","0.257072317662792"
"Back Bay","2020","2044","170","1857","4224","483","2427","0.211553440049513"
"Back Bay","2025","2027","121","1603","4003","678","3156","0.190142815550633"
"Beacon Hill","1990","1231","156","1304","3283","175","288","0.212067002764677"
"Beacon Hill","2000","1259","131","1302","3061","132","282","0.221240441801189"
"Beacon Hill","2010","1058","73","1164","3640","203","352","0.189638318670577"
"Beacon Hill","2020","815","36","1070","2815","191","1822","0.21715690193117"
"Beacon Hill","2025","865","46","858","2722","251","1884","0.180873152586586"
"Brighton","1990","12161","2782","10836","1847","398","431","0.386668569797317"
"Brighton","2000","13145","2296","9933","1247","498","548","0.3662745676463"
"Brighton","2010","11088","1617","8338","2415","639","1324","0.346018176536498"
"Brighton","2020","12096","2601","10298","2316","1020","5912","0.363549187711692"
"Brighton","2025","12637","3034","10887","2196","1063","7561","0.365134501020389"
"Charlestown","1990","3430","666","2527","1213","155","246","0.316230759604555"
"Charlestown","2000","3855","537","2427","992","97","283","0.30690440060698"
"Charlestown","2010","4314","906","2452","1200","171","384","0.271148954992812"
"Charlestown","2020","3895","594","2728","1847","1007","2360","0.270936011479358"
"Charlestown","2025","3613","798","2337","1691","984","2985","0.248006718631049"
"Chinatown","1990","155","172","237","437","58","49","0.223796033994334"
"Chinatown","2000","150","178","358","525","41","41","0.28594249201278"
"Chinatown","2010","247","108","441","861","35","130","0.26063829787234"
"Chinatown","2020","341","117","590","1438","59","760","0.231643518382115"
"Chinatown","2025","423","119","598","1471","42","1037","0.22545835194498"
"Dorchester","1990","22719","6673","14760","1900","843","539","0.314745708497708"
"Dorchester","2000","21545","6246","14832","1565","784","768","0.329805212131993"
"Dorchester","2010","23644","5531","18869","2289","720","1093","0.369596301882358"
"Dorchester","2020","27003","5002","17507","3162","2408","6267","0.317890042348503"
"Dorchester","2025","27796","5337","17439","3590","2400","7949","0.308315367425549"
"Downtown","1990","478","174","484","1148","97","92","0.20327593448131"
