"Topic: Educational Attainment",,,,,,
"Geographic Extent: City of Boston",,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,,,
,,,,,,
"Source: U.S. Census Bureau, 1950-2000 Decennial Censuses, 2008-2012 American Community Survey, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,,,
"Download type: geographically disaggregated",,,,,,
,,,,,,
"GEOID","YEAR","Less than high school","High school or some equivalent","Some college","Bachelor's or more","Share of population (25+) with bachelor's or more"
"Allston","1950","6383","4809","973","1472","0.107941629390628"
"Allston","1960","5993","3663","1029","1412","0.116723154501116"
"Allston","1970","3804","3090","1101","1579","0.164925840818884"
"Allston","1980","2205","2812","1666","3381","0.335949920508744"
"Allston","1990","2458","2203","1780","6006","0.482525909857797"
"Allston","2000","2249","2213","1511","5828","0.493856452842979"
"Allston","2010","1510","2237","1368","6357","0.55413179916318"
"Allston","2020","434","2070","1643","12744","0.754492073416528"
"Allston","2025","529","2595","1695","13522","0.737264435048859"
"Back Bay","1950","4735","4445","2355","2870","0.199236376258244"
"Back Bay","1960","3823","3049","2236","3450","0.274725274725275"
"Back Bay","1970","1649","2630","1914","3606","0.367996734360649"
"Back Bay","1980","831","1675","2111","7420","0.616432665946664"
"Back Bay","1990","407","751","1788","8698","0.746994160082446"
"Back Bay","2000","337","717","1287","10051","0.811087798579729"
"Back Bay","2010","241","674","921","11166","0.858790955237656"
"Back Bay","2020","164","526","976","12354","0.88115747815913"
"Back Bay","2025","169","718","807","12541","0.880992690919425"
"Beacon Hill","1950","3892","2766","1269","1996","0.201148846115086"
"Beacon Hill","1960","3022","1721","1317","2677","0.306398077143184"
"Beacon Hill","1970","1249","1452","1145","2947","0.433828941557486"
"Beacon Hill","1980","427","952","1563","4650","0.612486828240253"
"Beacon Hill","1990","245","400","958","5426","0.771944800113814"
"Beacon Hill","2000","225","401","935","5859","0.789622641509434"
"Beacon Hill","2010","107","172","495","6348","0.891322662173547"
