"Topic: Housing Sales",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",,,,
"Note: Only one neighborhood at a time can be selected for median price variables.",,,,
"Source: Mayor's Office of Housing, The Warren Group, City of Boston Planning Department Research Division analysis",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Single-family","Condominium","Median condo unit price (nominal dollars)"
"Allston","1990","12","86","115000"
"Allston","1991","10","87","74000"
"Allston","1992","7","61","45000"
"Allston","1993","8","82","38250"
"Allston","1994","22","74","70000"
"Allston","1995","23","96","67575"
"Allston","1996","14","92","65500"
"Allston","1997","12","100","105000"
"Allston","1998","21","168","110250"
"Allston","1999","26","173","117000"
"Allston","2000","15","121","145000"
"Allston","2001","12","142","174950"
"Allston","2002","17","134","197450"
"Allston","2003","18","161","225000"
"Allston","2004","18","208","250000"
"Allston","2005","23","257","310000"
"Allston","2006","11","179","3e+05"
"Allston","2007","7","130","272500"
"Allston","2008","9","80","254500"
"Allston","2009","8","89","277000"
"Allston","2010","8","96","240724"
"Allston","2011","15","82","252500"
"Allston","2012","14","96","226500"
"Allston","2013","11","114","275000"
"Allston","2014","15","95","306000"
"Allston","2015","2","110","375000"
"Allston","2016","10","85","415000"
"Allston","2017","9","94","417500"
"Allston","2018","12","92","554900"
"Allston","2019","20","69","448000"
"Allston","2020","7","65","530000"
"Allston","2021","6","103","505000"
"Allston","2022","15","81","499000"
"Allston","2023","10","102","576500"
"Allston","2024","5","75","585000"
"Allston","2025","10","63","549900"
"Back Bay","1990","3","336","215000"
"Back Bay","1991","1","332","210800"
"Back Bay","1992","4","310","2e+05"
"Back Bay","1993","3","359","2e+05"
"Back Bay","1994","4","443","232000"
"Back Bay","1995","2","401","220000"
