"Topic: Housing Tenure",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Owner-occupied","Renter-occupied","Owner occupancy rate"
"Allston","1950","1079","5329","0.168383270911361"
"Allston","1960","1170","5609","0.172591827703201"
"Allston","1970","1059","6378","0.142396127470754"
"Allston","1980","865","7532","0.103012980826486"
"Allston","1990","1110","7759","0.125155034389446"
"Allston","2000","1005","8158","0.109680235730656"
"Allston","2010","1107","8499","0.11524047470331"
"Allston","2020","1002","9025","0.0999301884910741"
"Allston","2025","1468","9690","0.131554855336035"
"Back Bay","1950","521","5835","0.0819697923222152"
"Back Bay","1960","569","8172","0.0650955268275941"
"Back Bay","1970","388","8818","0.0421464262437541"
"Back Bay","1980","1812","8231","0.180424176043015"
"Back Bay","1990","2780","6890","0.287487073422958"
"Back Bay","2000","3097","6956","0.308067243608873"
"Back Bay","2010","3230","6599","0.328619391596297"
"Back Bay","2020","3100","6906","0.30981411153308"
"Back Bay","2025","3592","6574","0.353306113230591"
"Beacon Hill","1950","565","3967","0.124669020300088"
"Beacon Hill","1960","600","5497","0.0984090536329342"
"Beacon Hill","1970","587","5497","0.096482577251808"
"Beacon Hill","1980","1033","4932","0.173176865046102"
"Beacon Hill","1990","1555","3979","0.280990242139501"
"Beacon Hill","2000","1763","3857","0.313701067615658"
"Beacon Hill","2010","1836","3614","0.336880733944954"
"Beacon Hill","2020","1740","3745","0.317228805834093"
"Beacon Hill","2025","2544","2960","0.462253891253773"
"Brighton","1950","3397","11310","0.230978445638131"
"Brighton","1960","3843","12115","0.240819651585412"
"Brighton","1970","3677","13432","0.214916126015547"
"Brighton","1980","3638","16092","0.184389254941713"
"Brighton","1990","4990","15568","0.24272789181827"
"Brighton","2000","4975","16367","0.233108424702465"
"Brighton","2010","5328","15676","0.253665968386974"
"Brighton","2020","4515","18020","0.200355003328156"
"Brighton","2025","4714","19930","0.1912828371465"
"Charlestown","1950","1589","5149","0.235826654793707"
"Charlestown","1960","1672","4306","0.279692204750753"
"Charlestown","1970","1561","3257","0.323993358239934"
"Charlestown","1980","1685","3567","0.320830159939071"
"Charlestown","1990","2259","4582","0.330214880865371"
"Charlestown","2000","3039","4311","0.413469387755102"
"Charlestown","2010","3719","4314","0.462965268268393"
"Charlestown","2020","4012","4920","0.449171518137035"
"Charlestown","2025","4688","4322","0.520306091655465"
"Chinatown","1950","81","525","0.133663366336634"
"Chinatown","1960","80","893","0.0822199383350462"
"Chinatown","1970","35","621","0.0533536585365854"
"Chinatown","1980","42","1102","0.0367132867132867"
"Chinatown","1990","130","1089","0.106644790812141"
"Chinatown","2000","124","1002","0.1101243339254"
"Chinatown","2010","296","1182","0.200270635994587"
"Chinatown","2020","177","2760","0.0602655771195097"
"Chinatown","2025","271","2792","0.0885468173305227"
"Dorchester","1950","13465","29987","0.309882168829973"
"Dorchester","1960","14374","29924","0.324484175357804"
"Dorchester","1970","13369","29839","0.309410294389928"
"Dorchester","1980","11720","25114","0.318184286257262"
"Dorchester","1990","12828","24917","0.339859584050868"
"Dorchester","2000","13423","27166","0.330705363522137"
"Dorchester","2010","14201","27036","0.344375197031792"
"Dorchester","2020","15035","29788","0.335430470963568"
"Dorchester","2025","17573","28225","0.383712574288081"
"Downtown","1950","83","691","0.107235142118863"
"Downtown","1960","76","1788","0.0407725321888412"
"Downtown","1970","39","975","0.0384615384615385"
"Downtown","1980","236","2021","0.104563579973416"
"Downtown","1990","611","1907","0.242652899126291"
"Downtown","2000","826","2396","0.256362507759156"
"Downtown","2010","1392","3231","0.301103179753407"
"Downtown","2020","2045","3339","0.37982912332838"
"Downtown","2025","2219","3932","0.360793701264585"
"East Boston","1950","3565","10123","0.260447106954997"
"East Boston","1960","3889","9405","0.292537987061832"
"East Boston","1970","3944","8909","0.30685443087217"
"East Boston","1980","3901","9054","0.301119258973369"
"East Boston","1990","3929","9488","0.292837445032422"
"East Boston","2000","4029","10297","0.281236911908418"
"East Boston","2010","4028","10623","0.274930038905194"
"East Boston","2020","4333","12362","0.259538784067086"
"East Boston","2025","4889","13377","0.267639854976261"
"Fenway","1950","339","9461","0.0345918367346939"
"Fenway","1960","344","10124","0.0328620557890715"
"Fenway","1970","207","10586","0.0191790975632354"
"Fenway","1980","240","10324","0.0227186671715259"
"Fenway","1990","1019","10362","0.0895351902293296"
"Fenway","2000","1376","10481","0.116049590958927"
"Fenway","2010","1412","11471","0.10960180082279"
"Fenway","2020","1263","12010","0.0951555789949522"
"Fenway","2025","1274","13400","0.086796035711864"
"Hyde Park","1950","3571","3161","0.530451574569222"
"Hyde Park","1960","4834","3272","0.596348383913151"
"Hyde Park","1970","5897","4906","0.545866888827178"
"Hyde Park","1980","5922","4855","0.549503572422752"
