"Topic: Housing Vacancy",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020 and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Occupied","Vacant","Housing vacancy rate"
"Allston","1950","6408","83","0.0127869357572023"
"Allston","1960","6779","319","0.0449422372499296"
"Allston","1970","7437","321","0.0413766434648105"
"Allston","1980","8397","641","0.0709227705244523"
"Allston","1990","8869","512","0.0545784031553139"
"Allston","2000","9163","131","0.0140951151280396"
"Allston","2010","9606","343","0.0344758267162529"
"Allston","2020","10027","721","0.067082247860067"
"Allston","2025","11158","600","0.051"
"Back Bay","1950","6356","233","0.0353619669145546"
"Back Bay","1960","8741","637","0.0679249306888462"
"Back Bay","1970","9206","782","0.078293952743292"
"Back Bay","1980","10043","1051","0.0947358932756445"
"Back Bay","1990","9670","1230","0.112844036697248"
"Back Bay","2000","10053","739","0.0684766493699036"
"Back Bay","2010","9829","1510","0.133168709762766"
"Back Bay","2020","10006","1518","0.131725095452968"
"Back Bay","2025","10166","1546","0.132"
"Beacon Hill","1950","4532","178","0.037791932059448"
"Beacon Hill","1960","6097","488","0.0741078208048595"
"Beacon Hill","1970","6084","461","0.0704354469060351"
"Beacon Hill","1980","5965","496","0.0767683021204148"
"Beacon Hill","1990","5534","687","0.110432406365536"
"Beacon Hill","2000","5620","427","0.0706135273689433"
"Beacon Hill","2010","5450","563","0.0936304673208049"
"Beacon Hill","2020","5483","552","0.0914664457332229"
"Beacon Hill","2025","5504","564","0.093"
"Brighton","1950","14707","178","0.0119583473295264"
"Brighton","1960","15958","470","0.0286096907718529"
"Brighton","1970","17109","457","0.0260161675964932"
"Brighton","1980","19730","783","0.038170916004485"
"Brighton","1990","20558","923","0.0429682044597551"
"Brighton","2000","21342","352","0.0162256845210657"
"Brighton","2010","21004","959","0.0436643445795201"
"Brighton","2020","22535","1118","0.0472667314928339"
"Brighton","2025","24644","1161","0.045"
"Charlestown","1950","6738","219","0.0314790858128504"
"Charlestown","1960","5978","465","0.072171348750582"
"Charlestown","1970","4818","301","0.0588005469818324"
"Charlestown","1980","5252","870","0.142110421430905"
"Charlestown","1990","6841","911","0.117518059855521"
"Charlestown","2000","7350","405","0.0522243713733075"
"Charlestown","2010","8033","615","0.0711147086031452"
"Charlestown","2020","8932","593","0.062257217847769"
"Charlestown","2025","9010","647","0.067"
"Chinatown","1950","606","23","0.0365659777424483"
"Chinatown","1960","973","103","0.095724907063197"
"Chinatown","1970","656","99","0.13112582781457"
"Chinatown","1980","1144","128","0.10062893081761"
"Chinatown","1990","1219","145","0.106304985337243"
"Chinatown","2000","1126","58","0.0489864864864865"
"Chinatown","2010","1478","205","0.121806298276887"
"Chinatown","2020","2937","335","0.102383863080685"
"Chinatown","2025","3063","386","0.112"
"Dorchester","1950","43452","445","0.0101373670182473"
"Dorchester","1960","44298","1572","0.034270765206017"
"Dorchester","1970","43208","2992","0.0647619047619048"
"Dorchester","1980","36834","5167","0.123020880455227"
"Dorchester","1990","37745","4116","0.0983254102864241"
"Dorchester","2000","40589","2368","0.0551248923341947"
"Dorchester","2010","41237","3903","0.0864643331856447"
"Dorchester","2020","44823","3142","0.0655060981966017"
"Dorchester","2025","45798","3767","0.076"
"Downtown","1950","774","38","0.0467980295566502"
"Downtown","1960","1864","235","0.11195807527394"
"Downtown","1970","1014","126","0.110526315789474"
"Downtown","1980","2257","211","0.0854943273905997"
"Downtown","1990","2518","471","0.157577785212446"
"Downtown","2000","3222","285","0.0812660393498717"
"Downtown","2010","4623","798","0.147205312672939"
"Downtown","2020","5384","1220","0.1847365233192"
"Downtown","2025","6152","1224","0.166"
"East Boston","1950","13688","255","0.0182887470415262"
"East Boston","1960","13294","696","0.0497498213009292"
"East Boston","1970","12853","856","0.0624407323655992"
"East Boston","1980","12955","1608","0.110416809723271"
"East Boston","1990","13417","1393","0.0940580688723835"
"East Boston","2000","14326","752","0.0498739885926515"
"East Boston","2010","14651","1203","0.0758799041251419"
"East Boston","2020","16664","1316","0.0731924360400445"
"East Boston","2025","18266","1481","0.075"
"Fenway","1950","9800","152","0.0152733118971061"
"Fenway","1960","10468","672","0.0603231597845601"
"Fenway","1970","10793","865","0.0741979756390461"
"Fenway","1980","10564","928","0.0807518273581622"
"Fenway","1990","11381","1316","0.103646530676538"
"Fenway","2000","11857","443","0.0360162601626016"
"Fenway","2010","12883","669","0.0493654073199528"
"Fenway","2020","13272","1352","0.0924507658643326"
"Fenway","2025","14674","1121","0.071"
"Hyde Park","1950","6732","106","0.0155016086575022"
"Hyde Park","1960","8106","210","0.0252525252525253"
"Hyde Park","1970","10803","244","0.0220874445550828"
"Hyde Park","1980","10777","439","0.0391405135520685"
"Hyde Park","1990","11407","531","0.04447981236388"
"Hyde Park","2000","11619","400","0.0332806389882686"
